Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Honoré,accident,1,Le Quotidien - Groupe Capitales Médias,Violent accident à Saint-Honoré: un homme de 61 ans perd la vie,2021-04-21,211,https://www.lequotidien.com/2021/04/21/violent-accident-a-saint-honore-un-homme-de-61-ans-perd-la-vie-77652fb4a841f8bb4e10e0c976f6d7e0,2021-11-18 08:25:57,local
Saint-Honoré,accident,2,Le Quotidien - Groupe Capitales Médias,Un accident fait deux blessés à Saint-Honoré,2021-06-29,142,https://www.lequotidien.com/2021/06/29/un-accident-fait-deux-blesses-a-saint-honore-24d1ca75e0070b6f50aa26887304ef0b,2021-11-18 08:25:57,local
Saint-Honoré,accident,3,Info Dimanche,La voiture d'un jeune homme en état d'ébriété entre en collision avec un poids lourd à Saint-Honoré | infodimanche.com,2021-10-11,38,https://www.infodimanche.com/actualites/faits-divers/439779/la-voiture-dun-jeune-homme-en-etat-debriete-entre-en-collision-avec-un-poids-lourd-a-saint-honore,2021-11-18 08:25:57,local
Saint-Honoré,accident,4,Le Journal du Centre,"Coup de vent, accidents, vol par ruse... les faits divers de la Nièvre en bref",2021-10-21,28,https://www.lejdc.fr/nevers-58000/actualites/coup-de-vent-accidents-vol-par-ruse-les-faits-divers-de-la-nievre-en-bref_14033014/,2021-11-18 08:25:58,local
Saint-Honoré,accident,5,Le Quotidien - Groupe Capitales Médias,Un autre accident à Saint-Honoré | Justice et faits divers | Actualités,,,https://www.lequotidien.com/2019/04/04/un-autre-accident-a-saint-honore-973c2a86df43f58e82b0dc72b93b8b54,2021-11-18 08:25:58,local
Saint-Honoré,accident,6,Paris Match,"Saint-Tropez : le musée de la Citadelle honore un voilier mythique, le Virtuelle",2021-11-15,3,https://www.parismatch.com/Actu/Sport/Saint-Tropez-le-musee-de-la-Citadelle-honore-un-voilier-mythique-le-Virtuelle-1769877,2021-11-18 08:25:58,local
Saint-Honoré,accident,7,Le Quotidien - Groupe Capitales Médias,Des billots de bois perturbent la circulation à Saint-Honoré; constats pour facultés affaiblies à Saguenay,2021-06-15,156,https://www.lequotidien.com/actualites/justice-et-faits-divers/des-billots-de-bois-perturbent-la-circulation-a-saint-honore-constats-pour-facultes-affaiblies-a-saguenay-3b4d495a5e5589ebe47a17568d99f338,2021-11-18 08:25:58,local
Saint-Honoré,accident,8,CIMT-CHAU,Autoroute Claude-Béchard (A-85) : un premier tronçon ouvre à Saint-Antonin,2021-11-02,16,https://cimtchau.ca/nouvelles/autoroute-claude-bechard-a-85-un-premier-troncon-ouvre-a-saint-antonin/,2021-11-18 08:25:58,local
Saint-Honoré,accident,9,Info Dimanche,Accident mortel à Saint-Honoré-de-Témiscouata | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/322351/accident-mortel-a-saint-honore-de-temiscouata,2021-11-18 08:25:59,local
Saint-Honoré,accident,10,ICI.Radio-Canada.ca,Une femme meurt dans un accident sur le boulevard Martel à Chicoutimi,,,https://ici.radio-canada.ca/nouvelle/1102162/femme-morte-accident-collision-frontale-deces-blesses,2021-11-18 08:25:59,local
Saint-Honoré,accident,11,Zone911,Deux décès dans un accident sur la route 170 à St-Gédéon (Saguenay-Lac-Saint-Jean),2021-08-16,94,https://zone911.com/accidents/31255-deux-deces-dans-un-accident-sur-la-route-170-a-st-gedeon-saguenay-lac-saint-jean,2021-11-18 08:25:59,local
Saint-Honoré,accident,12,Le Quotidien - Groupe Capitales Médias,L'enquête concernant l'accident survenu sur le boulevard Talbot se poursuit,2021-05-03,199,https://www.lequotidien.com/2021/05/03/lenquete-concernant-laccident-survenu-sur-le-boulevard-talbot-se-poursuit-3126dfb34deb3e42b4c10397ad47c135,2021-11-18 08:25:59,local
Saint-Honoré,accident,13,Le Quotidien - Groupe Capitales Médias,Un violent accident fait deux blessés sur le boulevard Talbot,2021-05-01,201,https://www.lequotidien.com/2021/05/01/un-violent-accident-fait-deux-blesses-sur-le-boulevard-talbot-c5bd9f057d3abfdd2517b28e9df842ee,2021-11-18 08:25:59,local
Saint-Honoré,accident,14,TVA Nouvelles,Un mort dans un grave accident à Saint-Honoré,,,https://www.tvanouvelles.ca/2018/05/02/grave-accident-a-saint-honore,2021-11-18 08:26:00,local
Saint-Honoré,accident,15,Le Quotidien - Groupe Capitales Médias,Deux décès dans l'accident de Saint-Ambroise,2021-10-15,34,https://www.lequotidien.com/2021/10/15/deux-deces-dans-laccident-de-saint-ambroise-39b7d1e6f6f99a30c73a5f6760b43b53,2021-11-18 08:26:00,local
Saint-Honoré,accident,16,Le Quotidien - Groupe Capitales Médias,Deux accidents entre Saint-Gédéon et Alma samedi matin,2021-06-05,166,https://www.lequotidien.com/2021/06/05/deux-accidents-entre-saint-gedeon-et-alma-samedi-matin-5ee90b0f73dad22c86a984313a110af1,2021-11-18 08:26:00,local
Saint-Honoré,accident,17,La Nouvelle Union,Accident mortel : victime identifiée,2021-10-04,45,https://www.lanouvelle.net/2021/10/04/accident-mortel-victime-identifiee-9/,2021-11-18 08:26:00,local
Saint-Honoré,accident,18,La Nouvelle Union,Une jeune Ludovicienne meurt dans un accident,2021-10-16,33,https://www.lanouvelle.net/2021/10/16/une-jeune-ludovicienne-meurt-dans-un-accident/,2021-11-18 08:26:01,local
Saint-Honoré,accident,19,Le Quotidien - Groupe Capitales Médias,Accident mortel à Saint-Félicien: la victime était un homme d'affaires bien connu,2021-02-03,288,https://www.lequotidien.com/2021/02/03/accident-mortel-a-saint-felicien-la-victime-etait-un-homme-daffaires-bien-connu-d6c5aafd695e8acb77a6d108fb89bc81,2021-11-18 08:26:01,local
Saint-Honoré,accident,20,TVA Nouvelles,Cinq véhicules incendiés à Saint-Honoré,2021-09-23,56,https://www.tvanouvelles.ca/2021/09/23/incendie-suspect-a-saint-honore,2021-11-18 08:26:01,local
Saint-Honoré,accident,21,Zone911,DERNIÈRE HEURE - Grave accident sur la route 365 dans la région de Portneuf,2021-10-11,38,https://zone911.com/accidents/31648-derniere-heure-grave-accident-sur-la-route-365-dans-la-region-de-portneuf,2021-11-18 08:26:01,local
