Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Hyacinthe,accident,1,Le Droit,Un adolescent meurt à la suite d'un accident de scooter en Montérégie,2021-10-25,24,https://www.ledroit.com/2021/10/25/un-adolescent-meurt-a-la-suite-dun-accident-de-scooter-en-monteregie-89155ef36dd5fe42904b3d626fba4446,2021-11-18 08:29:14,local
Saint-Hyacinthe,accident,2,La Presse,Montérégie | Un adolescent meurt après un accident de scooter,2021-10-24,25,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-10-24/monteregie/un-adolescent-meurt-apres-un-accident-de-scooter.php,2021-11-18 08:29:15,local
Saint-Hyacinthe,accident,3,TVA Nouvelles,Son application lui a appris la mort de son ado en scooter,2021-10-29,20,https://www.tvanouvelles.ca/2021/10/29/son-application-lui-a-appris-la-mort-de-son-ado-en-scooter-1,2021-11-18 08:29:15,local
Saint-Hyacinthe,accident,4,Le Journal de Montréal,Son application lui a appris la mort de son ado de 15 ans en scooter,2021-10-29,20,https://www.journaldemontreal.com/2021/10/29/son-application-lui-a-appris-la-mort-de-son-ado-en-scooter,2021-11-18 08:29:15,local
Saint-Hyacinthe,accident,5,iHeartRadio,MONTÉRÉGIE: accident mortel sur la R-116 à Saint-Marie-Madeleine,2021-10-25,24,https://www.iheartradio.ca/boom/boom-1041/nouvelles/monteregie-accident-mortel-sur-la-r-116-a-saint-marie-madeleine-1.16347140,2021-11-18 08:29:15,local
Saint-Hyacinthe,accident,6,VINGT 55 Média web,Une voiture percutée par un train près de Drummondville,2021-11-02,16,https://vingt55.ca/une-voiture-percutee-par-un-train-pres-de-drummondville/,2021-11-18 08:29:15,local
Saint-Hyacinthe,accident,7,Le Journal de Montréal,Face-à-face à Saint-Hyacinthe: l'automobiliste succombe à ses blessures,2021-08-31,79,https://www.journaldemontreal.com/2021/08/30/face-a-face-a-saint-hyacinthe-un-automobiliste-dans-un-etat-critique,2021-11-18 08:29:16,local
Saint-Hyacinthe,accident,8,TVA Nouvelles,Un adolescent dans un état critique après une collision,2021-10-14,35,https://www.tvanouvelles.ca/2021/10/14/un-adolescent-dans-un-etat-critique-apres-une-collision-1,2021-11-18 08:29:16,local
Saint-Hyacinthe,accident,9,Zone911,Accident sur la route 116 à Saint-Hyacinthe - Actualités - ZONE911 (média collaboratif),2021-09-28,51,https://zone911.com/accidents/31541-accident-sur-la-route-116-a-saint-hyacinthe,2021-11-18 08:29:16,local
Saint-Hyacinthe,accident,10,Zone911,Grave accident à Saint-Hyacinthe et accident mortel à Sainte-Mélanie,2021-10-16,33,https://zone911.com/accidents/31690-grave-accident-a-saint-hyacinthe-et-accident-mortel-a-sainte-melanie,2021-11-18 08:29:16,local
