Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Pierre-de-l'Île-d'Orléans,accident,1,Le Journal de Québec,Île-d'Orléans: une conductrice d'âge mineur blessée dans un accident de VTT,2021-05-22,180,https://www.journaldequebec.com/2021/05/22/ile-dorleans--une-conductrice-mineure-blessee-dans-un-accident-de-vtt,2021-11-18 08:42:23,local
Saint-Pierre-de-l'Île-d'Orléans,accident,2,Zone911,Grave accident de VTT à Saint-Pierre-de-l'Île-d'Orléans,2021-05-22,180,https://zone911.com/accidents/30846-grave-accident-de-vtt-a-st-pierre-de-l-ile-d-orleans,2021-11-18 08:42:23,local
Saint-Pierre-de-l'Île-d'Orléans,accident,3,La Presse,Une ado lutte pour sa vie après un accident de VTT,2021-05-22,180,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-22/une-ado-lutte-pour-sa-vie-apres-un-accident-de-vtt.php,2021-11-18 08:42:24,local
Saint-Pierre-de-l'Île-d'Orléans,accident,4,Le Soleil - Groupe Capitales Médias,Une mineure blessée gravement après une collision en VTT,2021-05-22,180,https://www.lesoleil.com/2021/05/22/une-mineure-blessee-gravement-apres-une-collision-en-vtt-1c577fa9756607209f84fef624d4197c,2021-11-18 08:42:24,local
Saint-Pierre-de-l'Île-d'Orléans,accident,5,Zone911,"Deux grands excès de vitesse, dont un sur le pont de l'Île d'Orléans",2021-05-11,191,https://zone911.com/scenes-policieres/30789-deux-grands-exces-de-vitesse-dont-un-sur-le-pont-de-l-ile-d-orleans,2021-11-18 08:42:24,local
Saint-Pierre-de-l'Île-d'Orléans,accident,6,Le Journal de Québec,Accident mortel sur le pont de l'Île-d'Orléans: l'identité de la victime révélée,,,https://www.journaldequebec.com/2019/01/03/accident-le-pont-de-lile-dorleans-ferme-a-la-circulation,2021-11-18 08:42:24,local
Saint-Pierre-de-l'Île-d'Orléans,accident,7,Zone911,DERNIÈRE HEURE - Carambolage sur l'autoroute Dufferin Montmorency,,,https://zone911.com/blogue/29005-derniere-heure-carambolage-sur-l-autoroute-dufferin-montmorency,2021-11-18 08:42:24,local
Saint-Pierre-de-l'Île-d'Orléans,accident,8,Le Journal de Québec,Les maires de L'Île-d'Orléans enchantés par le design du futur pont,,,https://www.journaldequebec.com/2020/10/23/les-maires-de-lile-dorleans-enchantes-par-le-design-du-futur-pont,2021-11-18 08:42:25,local
Saint-Pierre-de-l'Île-d'Orléans,accident,9,La Presse,La popote roulante mexicaine de l'île d'Orléans,,,https://www.lapresse.ca/actualites/regional/2020-06-28/la-popote-roulante-mexicaine-de-l-ile-d-orleans.php,2021-11-18 08:42:25,local
Saint-Pierre-de-l'Île-d'Orléans,accident,10,TVA Nouvelles,Île-d'Orléans: l'identité de la victime révélée,,,https://www.tvanouvelles.ca/2019/01/04/ile-dorleans-lidentite-de-la-victime-revelee,2021-11-18 08:42:25,local
Saint-Pierre-de-l'Île-d'Orléans,décès OR mort,1,ICI.Radio-Canada.ca,Les résultats dans la Capitale-Nationale et Chaudière-Appalaches,2021-11-07,11,https://ici.radio-canada.ca/nouvelle/1838012/elections-resultats-chaudiere-appalaches-capitale-nationale,2021-11-18 08:43:01,local
