Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Anne-des-Monts,élection OR campagne,1,Le Soleil,Mélange de nouveau visages et de continuité en Gaspésie,2021-11-08,10,https://www.lesoleil.com/2021/11/08/melange-de-nouveau-visages-et-de-continuite-en-gaspesie-6a41bd5d8e94969cee5e96f9dcb8816c,2021-11-18 09:40:59,mixte
Sainte-Anne-des-Monts,élection OR campagne,2,L’Avantage gaspésien,Un débat à la préfecture animé à Sainte-Anne-des-Monts,2021-10-27,22,https://www.lavantagegaspesien.com/article/2021/10/27/un-debat-a-la-prefecture-anime-a-sainte-anne-des-monts,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,3,ICI.Radio-Canada.ca,Les candidatures jeunes bien présentes en Gaspésie,2021-11-05,13,https://ici.radio-canada.ca/nouvelle/1836410/daniel-cote-jeune-election-candidat-jeunesse-municipal,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,4,Le Soleil,"Saint-Alexis-des-Monts: attirer les jeunes, garder nos aînés",2021-11-05,13,https://www.lesoleil.com/2021/11/05/saint-alexis-des-monts-attirer-les-jeunes-garder-nos-aines-e5f21023e928673fa3c8c7af23f6b185,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,5,Mon Matane,Éphémérides du 29 octobre : l'Association des chasseurs dénonce la parade des carcasses d'orignaux en 2003,2021-10-29,20,https://monmatane.com/ephemerides-du-29-octobre-lassociation-des-chasseurs-denonce-la-parade-des-carcasses-dorignaux-en-2003/,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,6,Le Nouvelliste,MRC de Maskinongé : dix courses à la mairie [VIDÉO],2021-11-01,17,https://www.lenouvelliste.ca/2021/11/01/mrc-de-maskinonge--dix-courses-a-la-mairie-video-a857fc4a277c7b7156758a17cde00da2,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,7,Le Nouvelliste,Vote par anticipation: record battu à Trois-Rivières et à Shawinigan,2021-11-01,17,https://www.lenouvelliste.ca/2021/11/01/vote-par-anticipation-record-battu-a-trois-rivieres-et-a-shawinigan-1061128e59ac32b4a79a28b56d8c92a5,2021-11-18 09:41:00,mixte
Sainte-Anne-des-Monts,élection OR campagne,8,TVA Nouvelles,"Son père tué devant ses yeux, elle veut redonner aux suivants",2021-10-21,28,https://www.tvanouvelles.ca/2021/10/21/son-pere-tue-devant-ses-yeux-elle-veut-redonner-aux-suivants,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,9,ICI.Radio-Canada.ca,"Jacques Mimeault, candidat à la préfecture, à la MRC de la Haute-Gaspésie | Élections municipales au Québec 2021",2021-10-04,45,https://ici.radio-canada.ca/nouvelle/1829109/elections-municpales-prefet-villages-sainte-anne-des-monts-cap-chat,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,10,ICI.Radio-Canada.ca,Municipales 2021 : plusieurs maires déjà connus en Gaspésie et sur la Côte-Nord,2021-10-01,48,https://ici.radio-canada.ca/nouvelle/1828627/candidature-mairie-est-quebec-gaspesie-bas-saint-laurent-cote-nord-elections-municipales,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,11,Le Journal de Québec,Dubois trouve ses repères à Winnipeg | JDQ,2021-11-04,14,https://www.journaldequebec.com/2021/11/04/dubois-trouve-ses-reperes-a-winnipeg,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,12,L’Avantage gaspésien,Maxime Blanchette tentera sa chance à la mairie de Cap-Chat,2021-05-17,185,https://www.lavantagegaspesien.com/article/2021/05/17/maxime-blanchette-tentera-sa-chance-a-la-mairie-de-cap-chat,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,13,ICI.Radio-Canada.ca,Course à deux à la mairie des Îles-de-la-Madeleine | Élections municipales au Québec 2021,2021-10-07,42,https://ici.radio-canada.ca/nouvelle/1829793/elections-municipales-mairie-iles-madeleine-jonathan-lapierre-lise-deveau,2021-11-18 09:41:01,mixte
Sainte-Anne-des-Monts,élection OR campagne,14,Gaspésie Nouvelles,Un premier débat ce 2 septembre,2021-08-31,79,https://www.gaspesienouvelles.com/article/2021/08/31/un-premier-debat-ce-2-septembre,2021-11-18 09:41:02,mixte
Sainte-Anne-des-Monts,élection OR campagne,15,ICI.Radio-Canada.ca,La moitié des municipalités et villes du Bas-Saint-Laurent connaissent leur prochain maire,2021-10-01,48,https://ici.radio-canada.ca/nouvelle/1828657/elections-municipales-2021-bas-saint-laurent-elus-sans-opposition,2021-11-18 09:41:02,mixte
Sainte-Anne-des-Monts,élection OR campagne,16,ICI.Radio-Canada.ca,Sprint final avant le lancement de la campagne électorale municipale,2021-09-14,65,https://ici.radio-canada.ca/nouvelle/1824095/sprint-final-avant-lancement-campagne-electorale-municipale,2021-11-18 09:41:02,mixte
Sainte-Anne-des-Monts,élection OR campagne,17,Gaspésie Nouvelles,Un dernier débat mardi à Grande-Rivière,2021-09-10,69,https://www.gaspesienouvelles.com/article/2021/09/10/un-dernier-debat-mardi-a-grande-riviere,2021-11-18 09:41:02,mixte
Sainte-Anne-des-Monts,élection OR campagne,18,ICI.Radio-Canada.ca,Deux visions pour la mairie de Grosses-Roches | Élections municipales au Québec 2021,2021-08-29,81,https://ici.radio-canada.ca/nouvelle/1820104/elections-municipales-grosses-roches-mairie-victoire-marin-jonathan-masse,2021-11-18 09:41:02,mixte
Sainte-Anne-des-Monts,élection OR campagne,19,Gaspésie Nouvelles,Le Bloc fait du phare de Cap-des-Rosiers une priorité,2021-09-13,66,https://www.gaspesienouvelles.com/article/2021/09/13/le-bloc-fait-du-phare-de-cap-des-rosiers-une-priorite,2021-11-18 09:41:03,mixte
Sainte-Anne-des-Monts,élection OR campagne,20,Le Soleil - Groupe Capitales Médias,Sainte-Anne-des-Monts exhibe son énorme chandail pour encourager le Canadien,2021-07-02,139,https://www.lesoleil.com/2021/07/02/sainte-anne-des-monts-exhibe-son-enorme-chandail-pour-encourager-le-canadien-25afd4c60daa5c90fc8b7d02b8651017,2021-11-18 09:41:03,mixte
Sainte-Anne-des-Monts,élection OR campagne,21,ICI.Radio-Canada.ca,Le préfet Allen Cormier sollicite un quatrième mandat en Haute-Gaspésie,2021-09-01,78,https://ici.radio-canada.ca/nouvelle/1820773/allen-cormier-mrc-haute-gaspesie-prefet-mandat-elections,2021-11-18 09:41:03,mixte
Sainte-Anne-des-Monts,élection OR campagne,22,L’Avantage gaspésien,Opération sauvetage en mer réussie à Sainte-Anne-des-Monts,2021-08-03,107,https://www.lavantagegaspesien.com/article/2021/08/03/operation-sauvetage-en-mer-reussie-a-sainte-anne-des-monts,2021-11-18 09:41:03,mixte
Sainte-Anne-des-Monts,élection OR campagne,23,ICI.Radio-Canada.ca,La mairesse de Cap-Chat ne sollicitera pas de second mandat,2021-06-17,154,https://ici.radio-canada.ca/nouvelle/1802215/marie-gratton-mairesse-cap-chat-pas-candidate-elections-municipales,2021-11-18 09:41:04,mixte
Sainte-Anne-des-Monts,élection OR campagne,24,ICI.Radio-Canada.ca,Reprise des visites à l'hôpital de Sainte-Anne-des-Monts,2021-06-21,150,https://ici.radio-canada.ca/nouvelle/1803393/covid-19-visiteurs-hopital-sainte-anne-des-monts-depistage-haute-gaspesie-coronavirus,2021-11-18 09:41:04,mixte
Sainte-Anne-des-Monts,élection OR campagne,25,L’Avantage gaspésien,Alexandre Poulin en spectacle à Sainte-Anne-des-Monts et Matane,2021-09-30,49,https://www.lavantagegaspesien.com/article/2021/09/30/alexandre-poulin-en-spectacle-a-sainte-anne-des-monts-et-matane,2021-11-18 09:41:04,mixte
Sainte-Anne-des-Monts,député,1,L’Avantage gaspésien,Pascal Bérubé reçoit la visite du ministre de la Santé à Matane,2021-11-16,2,https://www.lavantagegaspesien.com/article/2021/11/16/pascal-berube-recoit-la-visite-du-ministre-de-la-sante-a-matane,2021-11-18 09:41:45,mixte
Sainte-Anne-des-Monts,député,2,Mon Matane,Éphémérides du 29 octobre : l'Association des chasseurs dénonce la parade des carcasses d'orignaux en 2003,2021-10-29,20,https://monmatane.com/ephemerides-du-29-octobre-lassociation-des-chasseurs-denonce-la-parade-des-carcasses-dorignaux-en-2003/,2021-11-18 09:41:45,mixte
Sainte-Anne-des-Monts,député,3,Mon Matane,Éphémérides du 27 octobre : Ry Uy et sa famille cambodgienne baptisés à Sainte-Félicité en 1985,2021-10-27,22,https://monmatane.com/ephemerides-du-27-octobre-ry-uy-et-sa-famille-cambodgienne-baptises-a-sainte-felicite-en-1985/,2021-11-18 09:41:46,mixte
Sainte-Anne-des-Monts,député,4,Mon Matane,Éphémérides du 21 octobre : Anthony Tomasino accusé de possession de 480 kilos de cocaïne en 1998,2021-10-21,28,https://monmatane.com/ephemerides-du-21-octobre-anthony-tomasino-accuse-de-possession-de-480-kilos-de-cocaine-en-1998/,2021-11-18 09:41:46,mixte
Sainte-Anne-des-Monts,député,5,Le Droit,"Saint-Alexis-des-Monts: attirer les jeunes, garder nos aînés",2021-11-05,13,https://www.ledroit.com/2021/11/05/saint-alexis-des-monts-attirer-les-jeunes-garder-nos-aines-e5f21023e928673fa3c8c7af23f6b185,2021-11-18 09:41:46,mixte
Sainte-Anne-des-Monts,député,6,ICI.Radio-Canada.ca,Le PQ choisit le député des Îles-de-la-Madeleine comme chef parlementaire,2021-09-01,78,https://ici.radio-canada.ca/nouvelle/1820919/joel-arseneau-leader-parlementaire-parti-quebecois-assemblee-nationale,2021-11-18 09:41:46,mixte
Sainte-Anne-des-Monts,député,7,ICI.Radio-Canada.ca,Le député des Îles veut maintenir le tourisme sans dépasser la capacité de l'archipel,2021-09-13,66,https://ici.radio-canada.ca/nouvelle/1823825/tourisme-iles-madeleine-joel-arseneau-observatoire,2021-11-18 09:41:47,mixte
Sainte-Anne-des-Monts,député,8,ICI.Radio-Canada.ca,Personnel non vacciné : inquiétudes sur le maintien des services de soins,2021-10-08,41,https://ici.radio-canada.ca/nouvelle/1830305/vaccins-suspension-personnel-sante-maintien-soins-christian-dube-covid-19,2021-11-18 09:41:47,mixte
Sainte-Anne-des-Monts,député,9,Le Soleil - Groupe Capitales Médias,Près de 60% des villes de la Gaspésie élisent leur maire sans un seul «X»,2021-10-04,45,https://www.lesoleil.com/2021/10/04/pres-de-60-des-villes-de-la-gaspesie-elisent-leur-maire-sans-un-seul-x-2840ba4480e1f6438edee8bec9962c0c,2021-11-18 09:41:47,mixte
Sainte-Anne-des-Monts,député,10,ICI.Radio-Canada.ca,Québec sous-évalue les besoins en garderie selon le député de Bonaventure,2021-08-24,86,https://ici.radio-canada.ca/nouvelle/1818781/sylvain-roy-garderie-places-evaluation-besoin-ministere-famille,2021-11-18 09:41:48,mixte
Sainte-Anne-des-Monts,député,11,ICI.Radio-Canada.ca,Un honneur posthume pour les docteurs Claude Dufour et Daniel Ouellet,2021-08-20,90,https://ici.radio-canada.ca/nouvelle/1818214/medaille-assemblee-nationale-docteur-daniel-ouellet-claude-dufour-matane-hopital-chirurgie,2021-11-18 09:41:48,mixte
Sainte-Anne-des-Monts,député,12,ICI.Radio-Canada.ca,Sainte-Anne-des-Monts : des délais importants pour des résultats de mammographie,2021-08-16,94,https://ici.radio-canada.ca/nouvelle/1817007/imagerie-medicale-haute-gaspesie-radiologie-delais-diagnostic-hopital-centre-hospitalier,2021-11-18 09:41:48,mixte
Sainte-Anne-des-Monts,député,13,ICI.Radio-Canada.ca,Les espoirs électoraux de la Haute-Gaspésie | Élections fédérales 2021 - Autochtones,2021-08-30,80,https://ici.radio-canada.ca/nouvelle/1820321/prefet-gaspesie-demande-elections-federales-politique-allen-cormier,2021-11-18 09:41:48,mixte
Sainte-Anne-des-Monts,député,14,Le Soleil - Groupe Capitales Médias,Sainte-Anne-des-Monts exhibe son énorme chandail pour encourager le Canadien,2021-07-02,139,https://www.lesoleil.com/2021/07/02/sainte-anne-des-monts-exhibe-son-enorme-chandail-pour-encourager-le-canadien-25afd4c60daa5c90fc8b7d02b8651017,2021-11-18 09:41:49,mixte
Sainte-Anne-des-Monts,député,15,ICI.Radio-Canada.ca,Pascal Bérubé entend solliciter un sixième mandat,2021-10-12,37,https://ici.radio-canada.ca/nouvelle/1831080/depute-matane-mataepdia-elections-provinciales-2022-gaspesie-iles,2021-11-18 09:41:49,mixte
Sainte-Anne-des-Monts,député,16,ICI.Radio-Canada.ca,Un ministre de l'Énergie pour la Gaspésie et les Îles,2021-02-24,267,https://ici.radio-canada.ca/nouvelle/1773042/jonatan-julien-depute-remaniement-ministeriel-caq-quebec-cote-nord-gaspesie,2021-11-18 09:41:49,mixte
Sainte-Anne-des-Monts,député,17,ICI.Radio-Canada.ca,"Avignon–La Mitis–Matane–Matapédia : bas-laurentienne, gaspésienne et autochtone | Élections Canada 2021",2021-08-17,93,https://ici.radio-canada.ca/nouvelle/1817160/avignon-mitis-matane-matapedia-elections-federales,2021-11-18 09:41:49,mixte
Sainte-Anne-des-Monts,député,18,ICI.Radio-Canada.ca,"Jacques Mimeault, candidat à la préfecture, à la MRC de la Haute-Gaspésie | Élections municipales au Québec 2021",2021-10-04,45,https://ici.radio-canada.ca/nouvelle/1829109/elections-municpales-prefet-villages-sainte-anne-des-monts-cap-chat,2021-11-18 09:41:50,mixte
Sainte-Anne-des-Monts,député,19,ICI.Radio-Canada.ca,« Beaucoup de choses ne sont pas bien faites dans Gaspésie–Les Îles » - Y.-F. Blanchet,2021-08-07,103,https://ici.radio-canada.ca/nouvelle/1815082/yves-francois-blanchet-bloc-quebecois-iles-de-la-madeleine-critique-lebouthillier-port-cap-aux-meules,2021-11-18 09:41:50,mixte
Sainte-Anne-des-Monts,député,20,Gaspésie Nouvelles,Le Bloc fait du phare de Cap-des-Rosiers une priorité,2021-09-13,66,https://www.gaspesienouvelles.com/article/2021/09/13/le-bloc-fait-du-phare-de-cap-des-rosiers-une-priorite,2021-11-18 09:41:50,mixte
Sainte-Anne-des-Monts,député,21,Le Journal de Québec,Élections municipales: chaude lutte à prévoir dans des Monts,2021-09-27,52,https://www.journaldequebec.com/2021/09/27/chaude-lutte-a-prevoir-dans-des-monts,2021-11-18 09:41:50,mixte
Sainte-Anne-des-Monts,député,22,ICI.Radio-Canada.ca,Le député Roy allègue que le CISSS de la Gaspésie aurait falsifié un rapport,2021-09-23,56,https://ici.radio-canada.ca/nouvelle/1826559/sylvain-roy-depute-rapport-falsifie-cisss-gaspesie-allegations-audit-enquete-verificateur-general-quebec-chirurgies-cardiaques,2021-11-18 09:41:50,mixte
Sainte-Anne-des-Monts,député,23,ICI.Radio-Canada.ca,Reprise des visites à l'hôpital de Sainte-Anne-des-Monts,2021-06-21,150,https://ici.radio-canada.ca/nouvelle/1803393/covid-19-visiteurs-hopital-sainte-anne-des-monts-depistage-haute-gaspesie-coronavirus,2021-11-18 09:41:51,mixte
Sainte-Anne-des-Monts,député,24,ICI.Radio-Canada.ca,Rapport du BAPE sur GNL Québec : des réactions aux antipodes | Industries Saguenay-Lac-Saint-Jean,2021-03-24,239,https://ici.radio-canada.ca/nouvelle/1779693/reactions-regionales-rapport-bape-gnl,2021-11-18 09:41:51,mixte
Sainte-Anne-des-Monts,député,25,ICI.Radio-Canada.ca,"Un nouveau traversier pour remplacer le F.-A.-Gauthier, suggère Pascal Bérubé",2021-04-10,222,https://ici.radio-canada.ca/nouvelle/1783846/pascal-berube-traversier-fa-gauthier-problemes-avril-2021,2021-11-18 09:41:51,mixte
Sainte-Anne-des-Monts,"""arme à feu""",1,L’Avantage gaspésien,Alerte AMBER à Sainte-Paule: une dizaine de chefs d'accusations déposés,2021-10-05,44,https://www.lavantagegaspesien.com/article/2021/10/05/alerte-amber-a-sainte-paule-une-dizaine-de-chefs-d-accusations-deposes,2021-11-18 09:41:59,mixte
