Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Salaberry-de-Valleyfield,élection OR campagne,1,Le Journal Saint-François,Élections Salaberry-de-Valleyfield: les résultats de 2017,2021-11-07,11,https://www.journalsaint-francois.ca/Elections-Salaberry-de-Valleyfield-les-resultats-de-2017/,2021-11-18 13:05:24,mixte
Salaberry-de-Valleyfield,élection OR campagne,2,TVA Nouvelles,Municipales 2021: les résultats d'une soirée forte en rebondissements,2021-11-07,11,https://www.tvanouvelles.ca/2021/11/07/en-direct--les-resultats-des-elections-municipales-2021,2021-11-18 13:05:24,mixte
Salaberry-de-Valleyfield,élection OR campagne,3,INFOSuroit.com,Retour de la campagne Opération Nez rouge de Salaberry-de-Valleyfield,2021-11-03,15,https://www.infosuroit.com/retour-de-la-campagne-operation-nez-rouge-de-salaberry-de-valleyfield/,2021-11-18 13:05:25,mixte
Salaberry-de-Valleyfield,élection OR campagne,4,La Presse,Des élections pas comme les autres… | La Presse,2021-11-13,5,https://www.lapresse.ca/actualites/politique/2021-11-13/des-elections-pas-comme-les-autres.php,2021-11-18 13:05:25,mixte
Salaberry-de-Valleyfield,élection OR campagne,5,Le Journal Saint-François,De nouveaux visages au Conseil des maires de la MRC,2021-11-11,7,https://www.journalsaint-francois.ca/de-nouveaux-visages-au-conseil-des-maires-de-la-mrc/,2021-11-18 13:05:25,mixte
Salaberry-de-Valleyfield,élection OR campagne,6,Le Journal Saint-François,Le vote par anticipation en hausse à Beauharnois,2021-11-02,16,https://www.journalsaint-francois.ca/Le-vote-par-anticipation-a-presque-double-a-Beauharnois/,2021-11-18 13:05:25,mixte
Salaberry-de-Valleyfield,élection OR campagne,7,Le Journal Saint-François,Jour d'élections aujourd'hui dans plusieurs municipalités de la région,2021-11-07,11,https://www.journalsaint-francois.ca/Jour-delections-aujourdhui-dans-plusieurs-municipalites-de-la-region/,2021-11-18 13:05:25,mixte
Salaberry-de-Valleyfield,élection OR campagne,8,Le Journal Saint-François,VIDÉO - Une campagne Généreuse pour Tite Frette et Club La Joie de Vivre,2021-11-12,6,https://www.journalsaint-francois.ca/une-campagne-genereuse-pour-tite-frette-et-club-la-joie-de-vivre/,2021-11-18 13:05:26,mixte
Salaberry-de-Valleyfield,élection OR campagne,9,Le Journal Saint-François,Le Sapin du Petit Bonheur de retour pour une 15e édition,2021-11-10,8,https://www.journalsaint-francois.ca/Le-Sapin-du-Petit-Bonheur-de-retour-pour-une-15e-edition/,2021-11-18 13:05:26,mixte
Salaberry-de-Valleyfield,élection OR campagne,10,La Presse,80 000$ pour l'Hôpital du Suroît | La Presse,2021-10-23,26,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-10-23/80-000-pour-l-hopital-du-suroit.php,2021-11-18 13:05:26,mixte
Salaberry-de-Valleyfield,élection OR campagne,11,Le Journal Saint-François,Les besoins de main-d'oeuvre font l'objet d'une enquête dans la région,2021-11-12,6,https://www.journalsaint-francois.ca/Les-besoins-de-main-doeuvre-font-lobjet-dune-enquete-dans-la-region/,2021-11-18 13:05:26,mixte
Salaberry-de-Valleyfield,élection OR campagne,12,Le Journal Saint-François,Alain De Lafontaine de nouveau candidat à Les Coteaux,2021-10-27,22,https://www.journalsaint-francois.ca/Alain-De-Lafontaine-de-nouveau-candidat-a-Les-Coteaux/,2021-11-18 13:05:27,mixte
