Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Shawinigan,accident,1,L'Hebdo Journal,Les Lions de retour au boulot: Que devez-vous savoir sur Worcester?,2021-11-17,1,https://www.lhebdojournal.com/les-lions-face-a-un-ancien-trifluvien-que-devez-vous-savoir-sur-worcester/,2021-11-18 12:10:21,local
Shawinigan,accident,2,Le Nouvelliste,Un vol de catalyseur vire au drame | Actualités,2021-11-13,5,https://www.lenouvelliste.ca/2021/11/13/un-vol-de-catalyseur-vire-au-drame-32dda1402983f61dfeb7a8548c04bb88,2021-11-18 12:10:21,local
Shawinigan,décès OR mort,1,ICI.Radio-Canada.ca,Vol de catalyseur : le suspect déclaré mort est finalement en vie,2021-11-17,1,https://ici.radio-canada.ca/nouvelle/1840576/vol-de-catalyseur-suspect-vivant-police-de-trois-rivieres,2021-11-18 12:10:59,local
Shawinigan,décès OR mort,2,NecrologieCanada,Laflamme Bisson Colette 1932 2021,2021-11-18,0,https://necrocanada.com/deces-2021/laflamme-bisson-colette-1932-2021/,2021-11-18 12:10:59,local
Shawinigan,décès OR mort,3,Le Nouvelliste,Décès d'un remorqueur à Yamachiche: l'identité de la victime connue,2021-11-15,3,https://www.lenouvelliste.ca/2021/11/15/deces-dun-remorqueur-a-yamachiche-lidentite-de-la-victime-connue-de0c601d0d821c323eb9dd392b609bf6,2021-11-18 12:10:59,local
Shawinigan,décès OR mort,4,La Presse,"Enquête sur les décès en CHSLD | La télémédecine n'était pas pour les CHSLD, selon McCann",2021-11-18,0,https://www.lapresse.ca/covid-19/2021-11-18/enquete-sur-les-deces-en-chsld/la-telemedecine-n-etait-pas-pour-les-chsld-selon-mccann.php,2021-11-18 12:10:59,local
Shawinigan,décès OR mort,5,NecrologieCanada,Doucet Ghyslaine 1935 2021,2021-11-17,1,https://necrocanada.com/deces-2021/doucet-ghyslaine-1935-2021/,2021-11-18 12:11:00,local
Shawinigan,décès OR mort,6,NecrologieCanada,Châteauneuf Gina 1965 2021,2021-11-16,2,https://necrocanada.com/deces-2021/chateauneuf-gina-1965-2021/,2021-11-18 12:11:00,local
Shawinigan,décès OR mort,7,NecrologieCanada,Bordeleau Raymond 1949 2021,2021-11-13,5,https://necrocanada.com/deces-2021/bordeleau-raymond-1949-2021/,2021-11-18 12:11:00,local
Shawinigan,décès OR mort,8,ICI.Radio-Canada.ca,Fillette de Granby : l'accusée recevait de l'aide et dit avoir des regrets,2021-11-16,2,https://ici.radio-canada.ca/nouvelle/1840243/belle-mere-granby-mort-enfant-contre-interrogatoire-temoignage,2021-11-18 12:11:00,local
Shawinigan,décès OR mort,9,NecrologieCanada,Lambert Dessureault Lise 1941 2021,2021-11-03,15,https://necrocanada.com/deces-2021/lambert-dessureault-lise-1941-2021/,2021-11-18 12:11:00,local
Shawinigan,décès OR mort,10,NecrologieCanada,Gelinas-Benoit Denyse 1931 2021,2021-11-11,7,https://necrocanada.com/deces-2021/gelinas-benoit-denyse-1931-2021/,2021-11-18 12:11:01,local
Shawinigan,décès OR mort,11,NecrologieCanada,Belanger Marie-Paule 1933 2021,2021-10-26,23,https://necrocanada.com/deces-2021/belanger-marie-paule-1933-2021/,2021-11-18 12:11:01,local
Shawinigan,décès OR mort,12,NecrologieCanada,Bellemare Dominique 1965 2021,2021-10-29,20,https://necrocanada.com/deces-2021/bellemare-dominique-1965-2021/,2021-11-18 12:11:01,local
Shawinigan,décès OR mort,13,NecrologieCanada,Filion Denis 1965 2021,2021-10-22,27,https://necrocanada.com/deces-2021/filion-denis-1965-2021/,2021-11-18 12:11:01,local
Shawinigan,décès OR mort,14,TVA Nouvelles,Les développements sur le coronavirus du 17 novembre,2021-11-17,1,https://www.tvanouvelles.ca/2021/11/17/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-11-18 12:11:02,local
Shawinigan,décès OR mort,15,NecrologieCanada,Houle Rene 1952 2021,2021-11-01,17,https://necrocanada.com/deces-2021/houle-rene-1952-2021/,2021-11-18 12:11:02,local
Shawinigan,décès OR mort,16,NecrologieCanada,Paquin Dessureault Yolande 1931 2021,2021-11-05,13,https://necrocanada.com/deces-2021/paquin-dessureault-yolande-1931-2021/,2021-11-18 12:11:02,local
