Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Stoneham,élection OR campagne,1,Le Journal de Québec,Mère et fille candidates aux élections municipales dans Stoneham,2021-10-24,25,https://www.journaldequebec.com/2021/10/24/mere-et-fille-candidates-aux-elections-municipales-dans-stoneham,2021-11-18 13:14:39,mixte
Stoneham,élection OR campagne,2,Le Journal de Québec,Stoneham-et-Tewkesbury: Sébastien Couture élu maire,2021-11-07,11,https://www.journaldequebec.com/2021/11/07/stoneham-et-tewkesbury--sebastien-couture-elu-maire,2021-11-18 13:14:39,mixte
Stoneham,élection OR campagne,3,ICI.Radio-Canada.ca,Les résultats dans la Capitale-Nationale et Chaudière-Appalaches,2021-11-07,11,https://ici.radio-canada.ca/nouvelle/1838012/elections-resultats-chaudiere-appalaches-capitale-nationale,2021-11-18 13:14:39,mixte
Stoneham,élection OR campagne,4,Le Journal de Québec,Les courses dans la région de Québec: vers le retour d'une opposition à Lévis?,2021-11-06,12,https://www.journaldequebec.com/2021/11/06/les-courses-dans-la-region-de-quebec-vers-le-retour-dune-opposition-a-levis,2021-11-18 13:14:39,mixte
Stoneham,élection OR campagne,5,Le Soleil,Saint-Augustin-de-Desmaures et L'Ancienne-Lorette conservent les mêmes maires,2021-11-08,10,https://www.lesoleil.com/2021/11/08/saint-augustin-de-desmaures-et-lancienne-lorette-conservent-les-memes-maires-603d0370447983114d0f75f0c460583e,2021-11-18 13:14:40,mixte
Stoneham,élection OR campagne,6,Le Journal de Québec,Saint-Ambroise: enterrer la hache de guerre à l'hôtel de ville,2021-11-10,8,https://www.journaldequebec.com/2021/11/10/saint-ambroise-enterrer-la-hache-de-guerre-a-lhotel-de-ville-1,2021-11-18 13:14:40,mixte
Stoneham,élection OR campagne,7,Québec Hebdo,Visions opposées à Stoneham-et-Tewkesbury,2021-10-19,30,https://www.quebechebdo.com/local/journal-le-jacques-cartier/293449/visions-opposees-a-stoneham-et-tewkesbury/,2021-11-18 13:14:40,mixte
Stoneham,élection OR campagne,8,Le Soleil - Groupe Capitales Médias,Climat «toxique» au conseil municipal de Stoneham | Actualités,2021-07-16,125,https://www.lesoleil.com/2021/07/16/climat-toxique-au-conseil-municipal-de-stoneham-7064750aefeacfe66cb9d390f2d33e6c,2021-11-18 13:14:40,mixte
Stoneham,élection OR campagne,9,Le Soleil - Groupe Capitales Médias,Campagne fédérale: les candidats déjà en action à Québec,2021-08-15,95,https://www.lesoleil.com/2021/08/15/campagne-federale-les-candidats-deja-en-action-a-quebec-626eff1e1712203251f6adf5f1c71458,2021-11-18 13:14:41,mixte
Stoneham,élection OR campagne,10,Le Soleil - Groupe Capitales Médias,L'avenir du golf de Stoneham inquiète des citoyens,2021-07-04,137,https://www.lesoleil.com/2021/07/04/lavenir-du-golf-de-stoneham-inquiete-des-citoyens-5398891ee2e82bbca2250be319ed0e6b,2021-11-18 13:14:41,mixte
