Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Témiscouata-sur-le-Lac,élection OR campagne,1,CIMT-CHAU,Témiscouata-sur-le-Lac : Denis Blais et Ginette Bégin prêts à travailler ensemble,2021-11-09,9,https://cimtchau.ca/nouvelles/temiscouata-sur-le-lac-denis-blais-et-ginette-begin-prets-a-travailler-ensemble/,2021-11-18 13:16:26,mixte
Témiscouata-sur-le-Lac,élection OR campagne,2,Info Dimanche,Pascale Mailloux officiellement élue à Témiscouata-sur-le-Lac | infodimanche.com,2021-11-17,1,https://www.infodimanche.com/actualites/elections-municipales-2021/443330/pascale-mailloux-officiellement-elue-a-temiscouata-sur-le-lac,2021-11-18 13:16:26,mixte
Témiscouata-sur-le-Lac,élection OR campagne,3,ICI.Radio-Canada.ca,Nouveaux préfets des MRC : Serge Pelletier au Témiscouata et Sylvain Roy au Kamouraska | Élections municipales au Québec 2021,2021-11-08,10,https://ici.radio-canada.ca/nouvelle/1838307/elections-prefecture-prefet-kamouraska-temiscouata-serge-pelletier-sylvain-roy-elections-municipales-2021-resultats-gagnants,2021-11-18 13:16:26,mixte
Témiscouata-sur-le-Lac,élection OR campagne,4,CIMT-CHAU,"Résultats des élections municipales au KRTB, L'Islet, Charlevoix et la Haute-Côte-Nord",2021-11-08,10,https://cimtchau.ca/nouvelles/resultats-des-elections-municipales-au-krtb-lislet-charlevoix-et-la-haute-cote-nord/,2021-11-18 13:16:27,mixte
Témiscouata-sur-le-Lac,élection OR campagne,5,Info Dimanche,Élections municipales: vers une plus grande parité | infodimanche.com,2021-11-09,9,https://www.infodimanche.com/actualites/elections-municipales-2021/442634/elections-municipales-vers-une-plus-grande-parite,2021-11-18 13:16:27,mixte
Témiscouata-sur-le-Lac,élection OR campagne,6,Le Placoteux,"Éditorial : Politique, argent, équité. Quoi d'autre ? - Journal Le Placoteux",2021-11-05,13,https://leplacoteux.com/editorial-politique-argent-equite-quoi-dautre%E2%80%89/,2021-11-18 13:16:27,mixte
Témiscouata-sur-le-Lac,élection OR campagne,7,ICI.Radio-Canada.ca,De la route 185 à l'autoroute 85,2021-11-03,15,https://ici.radio-canada.ca/nouvelle/1836647/construction-autoroute-85-route-185-quebec-nouveau-brunswick,2021-11-18 13:16:27,mixte
Témiscouata-sur-le-Lac,élection OR campagne,8,Info Dimanche,Des engagements réalisés à travers la collaboration pour Serge Pelletier | infodimanche.com,2021-11-01,17,https://www.infodimanche.com/actualites/actualite/441591/des-engagements-realises-a-travers-la-collaboration-pour-serge-pelletier,2021-11-18 13:16:27,mixte
Témiscouata-sur-le-Lac,élection OR campagne,9,Info Dimanche,Gaétan Ouellet fier de son bilan à la mairie de Témiscouata-sur-le-Lac | infodimanche.com,2021-09-13,66,https://www.infodimanche.com/actualites/elections-municipales-2021/437029/gaetan-ouellet-fier-de-son-bilan-a-la-mairie-de-temiscouata-sur-le-lac,2021-11-18 13:16:28,mixte
Témiscouata-sur-le-Lac,élection OR campagne,10,Info Dimanche,Élections municipales : l'équipe « Ensemble Témiscouata-sur-le-Lac » s'active | infodimanche.com,2021-09-20,59,https://www.infodimanche.com/actualites/elections-municipales-2021/437692/elections-municipales-lequipe-ensemble-temiscouata-sur-le-lac-sactive,2021-11-18 13:16:28,mixte
Témiscouata-sur-le-Lac,élection OR campagne,11,ICI.Radio-Canada.ca,La moitié des municipalités et villes du Bas-Saint-Laurent connaissent leur prochain maire,2021-10-01,48,https://ici.radio-canada.ca/nouvelle/1828657/elections-municipales-2021-bas-saint-laurent-elus-sans-opposition,2021-11-18 13:16:28,mixte
Témiscouata-sur-le-Lac,élection OR campagne,12,Info Dimanche,Denis Blais sera candidat à la mairie de Témiscouata-sur-le-Lac | infodimanche.com,2021-06-03,168,https://www.infodimanche.com/actualites/actualite/428018/denis-blais-sera-candidat-a-la-mairie-de-temiscouata-sur-le-lac,2021-11-18 13:16:29,mixte
Témiscouata-sur-le-Lac,élection OR campagne,13,Info Dimanche,Témiscouata-sur-le-Lac : André Brault tente sa chance dans le district 5 | infodimanche.com,2021-06-20,151,https://www.infodimanche.com/actualites/actualite/429597/temiscouata-sur-le-lac-andre-brault-tente-sa-chance-dans-le-district-5,2021-11-18 13:16:29,mixte
Témiscouata-sur-le-Lac,élection OR campagne,14,ICI.Radio-Canada.ca,Portrait de circonscription : Rimouski-Neigette–Témiscouata–Les Basques | Élections Canada 2021,2021-08-17,93,https://ici.radio-canada.ca/nouvelle/1817166/circonscription-rimouski-neigette-temiscouata-basques-elections,2021-11-18 13:16:29,mixte
Témiscouata-sur-le-Lac,élection OR campagne,15,Le Journal de Québec,Des élus qui en ont ras le bol d'être menacés et intimidés,2021-09-26,53,https://www.journaldequebec.com/2021/09/26/des-elus-qui-en-ont-ras-le-bol-detre-menaces-et-intimides,2021-11-18 13:16:30,mixte
Témiscouata-sur-le-Lac,élection OR campagne,16,Info Dimanche,MRC de Témiscouata : deux nouveaux engagements de Gaétan Ouellet | infodimanche.com,2021-10-05,44,https://www.infodimanche.com/actualites/elections-municipales-2021/439211/mrc-de-temiscouata-deux-nouveaux-engagements-de-gaetan-ouellet,2021-11-18 13:16:30,mixte
Témiscouata-sur-le-Lac,élection OR campagne,17,ICI.Radio-Canada.ca,Incendie majeur à Témiscouata-sur-le-Lac,2021-09-15,64,https://ici.radio-canada.ca/nouvelle/1824284/incendie-temiscouata-lac-15-septembre-2021-immeuble-logements,2021-11-18 13:16:30,mixte
Témiscouata-sur-le-Lac,élection OR campagne,18,La Presse,L'aréna de la division | La Presse,2021-07-26,115,https://www.lapresse.ca/actualites/chroniques/2021-07-26/l-arena-de-la-division.php,2021-11-18 13:16:30,mixte
