Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chambly,élection OR campagne,1,Le Journal de Chambly,Un appel aux candidatures pour participer aux tables consultatives de Chambly - Le journal de Chambly,2021-12-08,10,https://www.journaldechambly.com/un-appel-aux-candidatures-pour-participer-aux-tables-consultatives-de-chambly/,2021-12-18 17:13:23,mixte
Chambly,élection OR campagne,2,Le Journal de Chambly,Contre les violences faites aux femmes - Le journal de Chambly,2021-11-25,23,https://www.journaldechambly.com/contre-les-violences-faites-aux-femmes/,2021-12-18 17:13:23,mixte
Chambly,élection OR campagne,3,Le Journal de Chambly,Dix ans d'existence pour le Trifort de Chambly - Le journal de Chambly,2021-12-04,14,https://www.journaldechambly.com/dix-ans-dexistence-pour-le-trifort-de-chambly/,2021-12-18 17:13:23,mixte
Chambly,élection OR campagne,4,Le Journal de Chambly,L'Entraide Plus : une bière à sa santé et un joyeux anniversaire - Le journal de Chambly,2021-12-10,8,https://www.journaldechambly.com/lentraide-plus-une-biere-a-sa-sante-et-un-joyeux-anniversaire/,2021-12-18 17:13:23,mixte
Chambly,élection OR campagne,5,Chambly Matin,"L'Opération Nez rouge est de retour pour une 38e campagne de raccompagnement - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-11-29,19,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/operation-nez-rouge-racompagnement-38e-campagne-temps-des-fetes.html,2021-12-18 17:13:24,mixte
Chambly,élection OR campagne,6,Le Journal de Chambly,Un électeur sur trois a voté à Chambly - Le journal de Chambly,2021-11-08,40,https://www.journaldechambly.com/un-electeur-sur-trois-a-vote-a-chambly/,2021-12-18 17:13:24,mixte
Chambly,élection OR campagne,7,Le Journal de Chambly,Élections municipales : Premier tableau de candidats - Le journal de Chambly,2021-09-27,82,https://www.journaldechambly.com/elections-municipales-premier-tableau-de-candidats/,2021-12-18 17:13:24,mixte
Chambly,élection OR campagne,8,Chambly Matin,"Lancement de l'opération nationale concertée alcool et drogues - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-11-25,23,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/surete-du-quebec-saaq-operation-nationale-alccol-et-drogue-police.html,2021-12-18 17:13:24,mixte
Chambly,élection OR campagne,9,Le Journal de Chambly,L'agriculture au féminin - Le journal de Chambly,2021-11-23,25,https://www.journaldechambly.com/lagriculture-au-feminin/,2021-12-18 17:13:24,mixte
Chambly,élection OR campagne,10,Le Courrier du Sud,Janvier 2021 - Couvre-feu et hôpitaux à pleine capacité,2021-12-18,0,https://www.lecourrierdusud.ca/janvier-2021-couvre-feu-et-hopitaux-a-pleine-capacite/,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,11,Le Journal de Chambly,COVID-19 : retour du télétravail et des masques en RPA - Le journal de Chambly,2021-12-14,4,https://www.journaldechambly.com/covid-19-retour-du-teletravail-et-des-masques-en-rpa/,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,12,Le Journal de Chambly,Différentes façons de voter - Le journal de Chambly,2021-09-08,101,https://www.journaldechambly.com/differentes-facons-de-voter/,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,13,Le Journal de Chambly,La Bennett sera un sujet de la campagne à Chambly - Le journal de Chambly,2021-06-14,187,https://www.journaldechambly.com/la-bennett-sera-un-sujet-de-la-campagne-a-chambly/,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,14,Le Journal de Chambly,"Résultats des élections de Carignan, Marieville, Saint-Mathias, Saint-Césaire et Richelieu - Le journal de Chambly",2021-11-08,40,https://www.journaldechambly.com/resultats-des-elections-de-carignan-marieville-saint-mathias-saint-cesaire-et-richelieu/,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,15,Chambly Matin,"Démocratie Chambly présente ses candidats pour l'élection du 7 novembre - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-09-29,80,https://www.chamblymatin.com/politique/nouvelles/politique/democratie-chambly-julie-daigneault-candidats-election-municipale-julie-daigneault-cadidate-a-la-mairie.html,2021-12-18 17:13:25,mixte
Chambly,élection OR campagne,16,Chambly Matin,"Yves-François Blanchet réélu dans Beloeil-Chambly - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-09-20,89,https://www.chamblymatin.com/politique/nouvelles/politique/yves-francois-blanchet-circonscription-de-beloeil-chambly-election-federale-2021-chef-du-bloc-quebecois.html,2021-12-18 17:13:26,mixte
Chambly,élection OR campagne,17,Le Journal de Chambly,Dernière ligne droite pour le poste de mairesse à Chambly le 7 novembre - Le journal de Chambly,2021-11-03,45,https://www.journaldechambly.com/derniere-ligne-droite-pour-le-poste-de-mairesse-a-chambly-le-7-novembre/,2021-12-18 17:13:26,mixte
