Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Châteauguay,élection OR campagne,1,Le Soleil de Châteauguay,COVID-19: 660 000 vaccins en un an au CISSSMO,2021-12-17,1,https://www.cybersoleil.com/COVID-19-660-000-vaccins-en-un-an-au-CISSSMO/,2021-12-18 17:16:22,mixte
Châteauguay,élection OR campagne,2,Le Soleil de Châteauguay,Un nouveau rôle d'évaluation foncière en vigueur à Châteauguay,2021-12-08,10,https://www.cybersoleil.com/un-nouveau-role-evaluation-fonciere-en-vigueur-a-chateauguay/,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,3,Le Soleil de Châteauguay,Une deuxième année sans Nez rouge à Châteauguay,2021-11-26,22,https://www.cybersoleil.com/une-deuxieme-annee-sans-nez-rouge-a-chateauguay/,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,4,Le Journal de Montréal,Victoire écrasante dans Châteauguay,2021-11-08,40,https://www.journaldemontreal.com/2021/11/08/victoire-ecrasante-dans-chateauguay,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,5,Le Soleil de Châteauguay,«On a encore une bataille à gagner» - François Legault,2021-12-16,2,https://www.cybersoleil.com/on-a-encore-une-bataille-gagner-francois-legault-mesures-16-decembre-2021/,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,6,Le Soleil de Châteauguay,Le CSS de la Vallée-des-Tisserands n'entend pas devancer le congé des Fêtes,2021-12-17,1,https://www.cybersoleil.com/Le-CSS-de-la-Valle-des-Tisserands-nentend-pas-devancer-le-conge-des-Fetes/,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,7,Le Soleil de Châteauguay,VIDÉOS - Vaccination contre la COVID-19 : Bémol fait sa part,2021-12-17,1,https://www.cybersoleil.com/vaccination-contre-la-COVID19-bemol-fait-sa-part/,2021-12-18 17:16:23,mixte
Châteauguay,élection OR campagne,8,Le Soleil de Châteauguay,Québec veut doubler sa capacité de vaccination,2021-12-14,4,https://www.cybersoleil.com/Quebec-veut-doubler-sa-capacite-de-vaccination/,2021-12-18 17:16:24,mixte
Châteauguay,élection OR campagne,9,Coup d'Oeil,Le Bloc fait un gain dans Châteauguay-Lacolle - Coup d'œil,2021-09-22,87,https://www.coupdoeil.info/2021/09/22/le-bloc-fait-un-gain-dans-chateauguay-lacolle/,2021-12-18 17:16:24,mixte
Châteauguay,élection OR campagne,10,INFOSuroit.com,"Pas de cell au volant, c'est gagnant! remporte le prix Intersection",2021-11-26,22,https://www.infosuroit.com/pas-de-cell-au-volant-cest-gagnant-remporte-le-prix-intersection/,2021-12-18 17:16:24,mixte
Châteauguay,élection OR campagne,11,Le Soleil de Châteauguay,Des chandails au profit du Pavillon de naissances d'Anna-Laberge,2021-11-23,25,https://www.cybersoleil.com/Des-chandails-au-profit-du-Pavillon-de-naissances-d-Anna-Laberge/,2021-12-18 17:16:24,mixte
Châteauguay,élection OR campagne,12,Le Soleil de Châteauguay,Plus de contrôles routiers pendant les Fêtes,2021-12-01,17,https://www.cybersoleil.com/Plus-de-controles-routiers-pendant-les-Fetes/,2021-12-18 17:16:24,mixte
Châteauguay,élection OR campagne,13,Le Journal de Montréal,Victoire des libéraux dans Chateauguay-Lacolle après le dépouillement judiciaire,2021-10-06,73,https://www.journaldemontreal.com/2021/10/06/victoire-des-liberaux-dans-chateauguay-lacolle-apres-le-depouillement-judiciaire,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,14,Le Soleil de Châteauguay,Deux sœurs en mission pour prendre part au rallye Trophée Roses des Sables,2021-12-03,15,https://www.cybersoleil.com/trophee-roses-des-sables/,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,15,La Presse,Corridor vert Châteauguay-Léry | Confusion autour d'une campagne d'appuis de la MRC de Roussillon,2021-02-02,319,https://www.lapresse.ca/actualites/grand-montreal/2021-02-02/corridor-vert-chateauguay-lery/confusion-autour-d-une-campagne-d-appuis-de-la-mrc-de-roussillon.php,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,16,La Presse,Élections municipales | Autour de Montréal : entre nouveauté et continuité,2021-11-08,40,https://www.lapresse.ca/actualites/grand-montreal/2021-11-08/elections-municipales/autour-de-montreal-entre-nouveaute-et-continuite.php,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,17,Le Soleil de Châteauguay,Des pancartes électorales vandalisées chez tous les partis de Châteauguay,2021-10-01,78,https://www.cybersoleil.com/des-pancartes-electorales-vandalises-chez-les-partis-de-chateauguay/,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,18,Le Soleil de Châteauguay,Élections : trois équipes s'affrontent à Châteauguay,2021-10-05,74,https://www.cybersoleil.com/Trois-equipes-saffrontent-a-Chateauguay/,2021-12-18 17:16:25,mixte
Châteauguay,élection OR campagne,19,TVA Nouvelles,Un conservateur rêve que Châteauguay-Lacolle vote bleu,2021-09-05,104,https://www.tvanouvelles.ca/2021/09/05/un-conservateur-reve-que-chateauguay-lacolle-vote-bleu,2021-12-18 17:16:26,mixte
Châteauguay,élection OR campagne,20,INFOSuroit.com,Appel au civisme envers les candidats aux élections à Châteauguay,2021-10-14,65,https://www.infosuroit.com/appel-au-civisme-envers-les-candidats-aux-elections-a-chateauguay/,2021-12-18 17:16:26,mixte
Châteauguay,élection OR campagne,21,Le Soleil de Châteauguay,Beauharnois: une campagne sans pancartes électorales ?,2021-09-02,107,https://www.cybersoleil.com/Beauharnois-une-campagne-sans-pancartes-electorales/,2021-12-18 17:16:26,mixte
Châteauguay,élection OR campagne,22,Le Soleil de Châteauguay,La campagne 2022 de Centraide Sud-Ouest du Québec est en marche,2021-09-27,82,https://www.cybersoleil.com/La-campagne-2022-de-Centraide-Sud-Ouest-du-Quebec-est-en-marche/,2021-12-18 17:16:26,mixte
Châteauguay,élection OR campagne,23,Le Soleil de Châteauguay,Le Comité logement Rive-Sud s'invite dans la campagne électorale,2021-11-04,44,https://www.cybersoleil.com/le-Comite-logement-Rive-Sud-sinvite-dans-la-campagne-electorale/,2021-12-18 17:16:27,mixte
Châteauguay,élection OR campagne,24,Le Soleil de Châteauguay,Hausse du vote par anticipation dans plusieurs villes,2021-11-03,45,https://www.cybersoleil.com/hausse-vote-par-anticipation-plusieurs-villes/,2021-12-18 17:16:27,mixte
