Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Cookshire-Eaton,élection OR campagne,1,La Tribune - Groupe Capitales Médias,Sylvie Lapointe désire un deuxième mandat à la mairie de Cookshire-Eaton,2021-07-19,152,https://www.latribune.ca/2021/07/19/sylvie-lapointe-desire-un-deuxieme-mandat-a-la-mairie-de-cookshire-eaton-d39c1597db2d9c4109b5368a4830ef03,2021-12-18 17:21:58,mixte
Cookshire-Eaton,élection OR campagne,2,La Presse,Bras de fer entre un organisme anti-tabagisme et un opposant,2021-12-09,9,https://www.lapresse.ca/actualites/2021-12-09/bras-de-fer-entre-un-organisme-anti-tabagisme-et-un-opposant.php,2021-12-18 17:21:59,mixte
Cookshire-Eaton,élection OR campagne,3,La Tribune,Sylvie Lapointe demande aux citoyens de Cookshire-Eaton de lui faire confiance,2021-11-02,46,https://www.latribune.ca/2021/11/02/sylvie-lapointe-demande-aux-citoyens-de-cookshire-eaton-de-lui-faire-confiance-8867e6eca6b93f24a1be470de55f0a41,2021-12-18 17:21:59,mixte
Cookshire-Eaton,élection OR campagne,4,La Tribune,Le Haut-Saint-François accueille six nouveaux maires [VIDÉO],2021-11-08,40,https://www.latribune.ca/2021/11/08/le-haut-saint-francois-accueille-six-nouveaux-maires-video-d95fbd506ea10d100c5c13b69843305c,2021-12-18 17:21:59,mixte
Cookshire-Eaton,élection OR campagne,5,La Tribune,EN DIRECT : suivi des résultats des régions de l'Estrie,2021-11-07,41,https://www.latribune.ca/de6bcf16869bd3fa9e7ad2b20a6a3e2c,2021-12-18 17:21:59,mixte
Cookshire-Eaton,élection OR campagne,6,La Tribune - Groupe Capitales Médias,"MRC du Haut-Saint-François, du Val-Saint-François et des Sources : 12 postes de maires en élection sur 36",2021-10-01,78,https://www.latribune.ca/2021/10/01/mrc-du-haut-saint-francois-du-val-saint-francois-et-des-sources--12-postes-de-maires-en-election-sur-36-bdd10a9f63f66daa51de787622792b5b,2021-12-18 17:21:59,mixte
Cookshire-Eaton,élection OR campagne,7,Le Devoir,Des élus montrés du doigt,2021-10-15,64,https://www.ledevoir.com/politique/640584/des-elus-montres-du-doigt,2021-12-18 17:22:00,mixte
Cookshire-Eaton,élection OR campagne,8,Le Journal de Montréal,Manquements à l'éthique: ces maires et conseillers méritent-ils encore votre confiance?,2021-10-23,56,https://www.journaldemontreal.com/2021/10/23/manquements-a-letique-ces-maires-et-conseillers-meritent-ils-encore-votre-confiance,2021-12-18 17:22:00,mixte
Cookshire-Eaton,élection OR campagne,9,La Tribune,Traqueuse d'aurores boréales | Le fil des régions | Actualités,2021-11-13,35,https://www.latribune.ca/2021/11/13/traqueuse-daurores-boreales-45b7eebafc2f779001fc96255dbebf6e,2021-12-18 17:22:00,mixte
Cookshire-Eaton,élection OR campagne,10,La Tribune,"La recette de la semaine: bruschetta feta, asperges et pistaches",2021-11-17,31,https://www.latribune.ca/2021/11/17/la-recette-de-la-semaine-bruschetta-feta-asperges-et-pistaches-5d2388bfe9fb9973816148f7b4c9f036,2021-12-18 17:22:00,mixte
Cookshire-Eaton,député,1,EstriePlus.com,"Cookshire-Eaton : plus de 1,1 M$ pour des travaux d'infrastructures d'eau - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet",,,http://estrieplus.com/contenu-cookshire_eaton_11_m$_pour_travaux_d_infrastructures_d_eau-1355-48949.html,2021-12-18 17:22:33,mixte
Cookshire-Eaton,"""santé publique""",1,Le Journal de Montréal,Violation des mesures sanitaires: l'église essénienne de Cookshire-Eaton forcée de fermer,2021-04-13,249,https://www.journaldemontreal.com/2021/04/13/violation-des-mesures-sanitaires--leglise-essenienne-de-cookshire-eaton-forcee-de-fermer,2021-12-18 17:22:44,mixte
Cookshire-Eaton,"""santé publique""",2,ICI.Radio-Canada.ca,"Fraude de 2,2 M$ : 6 ans de prison pour une ancienne employée de BMO",2021-09-24,85,https://ici.radio-canada.ca/nouvelle/1826901/fraude-chapdelaine-cookshire-peine-bmo,2021-12-18 17:22:44,mixte
Cookshire-Eaton,"""santé publique""",3,La Tribune,Plusieurs écoles affectées par la COVID-19 | Estrie et régions | Actualités,2021-11-09,39,https://www.latribune.ca/2021/11/09/plusieurs-ecoles-affectees-par-la-covid-19-3beeeb526bfc3397038ce7b83968626f,2021-12-18 17:22:44,mixte
