Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Cowansville,accident,1,La Tribune,Délit de fuite à Bromont : l'automobiliste trouvée coupable,2021-12-16,2,https://www.latribune.ca/2021/12/16/delit-de-fuite-a-bromont--lautomobiliste-trouvee-coupable-629bc6b38b98f902a6e9bd16c212ba85,2021-12-18 16:50:14,local
Cowansville,accident,2,La Presse,« Agression armée avec un véhicule » à Cowansville,2021-08-30,110,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-30/agression-armee-avec-un-vehicule-a-cowansville.php,2021-12-18 16:50:14,local
Cowansville,accident,3,La Voix de l'est - Groupe Capitales Médias,Sortie de route sur la 139 | Actualités,2021-07-04,167,https://www.lavoixdelest.ca/2021/07/04/sortie-de-route-sur-la-139-dc728441e13d5d5f04f0f268a996c326,2021-12-18 16:50:14,local
Cowansville,accident,4,La Voix de l'est - Groupe Capitales Médias,Une collision impliquant plusieurs véhicules à East Farnham,2021-06-28,173,https://www.lavoixdelest.ca/2021/06/28/une-collision-impliquant-plusieurs-vehicules-a-east-farnham-3ac480b3f498a4e8cb0a250f8ad6a9cb,2021-12-18 16:50:14,local
Cowansville,accident,5,La Voix de l'est - Groupe Capitales Médias,Un homme grièvement blessé dans une collision | Actualités,2021-08-24,116,https://www.lavoixdelest.ca/2021/08/24/un-homme-grievement-blesse-dans-une-collision-431baf4522bf25e9b3380d0e4e898aac,2021-12-18 16:50:15,local
Cowansville,accident,6,La Voix de l'est - Groupe Capitales Médias,Un accident cause une importante panne d'électricité,2021-08-13,127,https://www.lavoixdelest.ca/2021/08/13/un-accident-cause-une-importante-panne-delectricite-440fd4bc549fb18474ec83e193a70c1b,2021-12-18 16:50:15,local
Cowansville,accident,7,La Voix de l'est - Groupe Capitales Médias,Deux conducteurs blessés dans une collision à Granby,2021-09-13,96,https://www.lavoixdelest.ca/2021/09/13/deux-conducteurs-blesses-dans-une-collision-a-granby-e5458b04aaaa9cf19387dcba72b8ae73,2021-12-18 16:50:15,local
Cowansville,accident,8,Journal Le Guide - Cowansville,Délit de fuite à Cowansville: la SQ à la recherche de témoins,2021-03-11,282,https://www.journalleguide.com/2021/03/11/delit-de-fuite-a-cowansville-la-sq-a-la-recherche-de-temoins/,2021-12-18 16:50:15,local
Cowansville,accident,9,La Voix de l'est,Collision près de la sortie 68 : plus de peur que de mal,2021-10-26,53,https://www.lavoixdelest.ca/2021/10/26/collision-pres-de-la-sortie-68--plus-de-peur-que-de-mal-87fef084745c0666725306ed90d1193d,2021-12-18 16:50:15,local
Cowansville,accident,10,La Voix de l'est - Groupe Capitales Médias,Deux véhicules impliqués dans une collision à St-Joachim-de-Shefford,2021-08-24,116,https://www.lavoixdelest.ca/2021/08/24/deux-vehicules-impliques-dans-une-collision-a-st-joachim-de-shefford-51f579d6fc54e579b5265eb4cbcfe7b1,2021-12-18 16:50:16,local
Cowansville,accident,11,La Voix de l'est - Groupe Capitales Médias,Collision mortelle à Ange-Gardien : l'identité de la conductrice dévoilée,2021-10-17,62,https://www.lavoixdelest.ca/2021/10/17/collision-mortelle-a-ange-gardien--lidentite-de-la-conductrice-devoilee-c25f887552bdf8f2ddb00c65bd05ed2a,2021-12-18 16:50:16,local
