Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Forestville,accident,1,La Presse,Un homme perd la vie dans un accident de travail à Baie-Comeau,2021-07-19,152,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-19/un-homme-perd-la-vie-dans-un-accident-de-travail-a-baie-comeau.php,2021-12-18 12:06:05,local
Forestville,accident,2,Journal Le Manic,Accident sur la route 385 : un employé d'Hydro-Québec blessé légèrement,,,https://www.lemanic.ca/2020/08/20/accident-sur-la-route-385-un-employe-dhydro-quebec-blesse-legerement/,2021-12-18 12:06:05,local
Forestville,accident,3,ICI.Radio-Canada.ca,Une adolescente de Pessamit perd la vie après un accident sur la route 138,,,https://ici.radio-canada.ca/nouvelle/1121598/une-adolescente-de-pessamit-perd-la-vie-apres-un-accident-sur-la-route-138,2021-12-18 12:06:06,local
Forestville,accident,4,ICI.Radio-Canada.ca,Traverse Rimouski-Forestville : « avec ou sans le CNM Évolution » selon Micheline Anctil,2021-06-16,185,https://ici.radio-canada.ca/nouvelle/1802018/traverse-rimouski-forestville-cnm-evolution-marc-parent,2021-12-18 12:06:06,local
Forestville,accident,5,TVA Nouvelles,Traverse Forestville-Rimouski: le retour du CNM Évolution encore incertain,2021-05-14,218,https://www.tvanouvelles.ca/2021/05/14/traverse-forestville-rimouski-le-retour-du-cnm-evolution-encore-incertain-1,2021-12-18 12:06:06,local
Forestville,accident,6,Ma Côte-Nord,La tempête complique les déplacements: pas de traversier et fermeture de la 138 à plusieurs endroits,2021-03-02,291,https://macotenord.com/la-tempete-complique-les-deplacements-pas-de-traversier-et-fermeture-de-la-138-a-plusieurs-endroits/,2021-12-18 12:06:06,local
Forestville,décès OR mort,1,NecrologieCanada,LAFRANCE Paulo 1951 2021,2021-12-12,6,https://necrocanada.com/deces-2021/lafrance-paulo-1951-2021/,2021-12-18 12:06:41,local
Forestville,décès OR mort,2,NecrologieCanada,IMBEAULT Suzanne 1945 2021,2021-12-09,9,https://necrocanada.com/deces-2021/imbeault-suzanne-1945-2021/,2021-12-18 12:06:42,local
Forestville,décès OR mort,3,NecrologieCanada,MARTEL Jean-Guy 1941 2021,2021-12-07,11,https://necrocanada.com/deces-2021/martel-jean-guy-1941-2021/,2021-12-18 12:06:42,local
Forestville,décès OR mort,4,NecrologieCanada,Levesque – Rioux Therese 2021,2021-11-29,19,https://necrocanada.com/deces-2021/levesque-rioux-therese-2021/,2021-12-18 12:06:42,local
Forestville,décès OR mort,5,NecrologieCanada,BOUCHARD-TREMBLAY Marie-Marthe 1934 2021,2021-12-17,1,https://necrocanada.com/deces-2021/bouchard-tremblay-marie-marthe-1934-2021/,2021-12-18 12:06:42,local
Forestville,décès OR mort,6,NecrologieCanada,LAVOIE Philippe 1943 2021,2021-12-02,16,https://necrocanada.com/deces-2021/lavoie-philippe-1943-2021/,2021-12-18 12:06:42,local
Forestville,décès OR mort,7,NecrologieCanada,Pere Julien-Marie Turbis 2021,2021-12-01,17,https://necrocanada.com/deces-2021/pere-julien-marie-turbis-2021/,2021-12-18 12:06:43,local
Forestville,décès OR mort,8,NecrologieCanada,LEPAGE Marie-Blanche 1940 2021,2021-11-04,44,https://necrocanada.com/deces-2021/lepage-marie-blanche-1940-2021/,2021-12-18 12:06:43,local
Forestville,décès OR mort,9,Le Journal de Québec,L'avenir de l'église de Forestville menacé,2021-10-20,59,https://www.journaldequebec.com/2021/10/20/lavenir-de-leglise-de-forestville-menace-1,2021-12-18 12:06:43,local
Forestville,décès OR mort,10,NecrologieCanada,TREMBLAY-SIROIS Rita 1925 2020,2021-09-03,106,https://necrocanada.com/deces-2021/tremblay-sirois-rita-1925-2020/,2021-12-18 12:06:43,local
Forestville,décès OR mort,11,NecrologieCanada,Avis deces pour la province Coopérative funéraire Haute-Côte-Nord - Manicouagan,2021-01-13,339,https://necrocanada.com/deces-2021/necrologie/quebec/forestville/cooperative-funeraire-haute-cote-nord-manicouagan-forestville/,2021-12-18 12:06:44,local
Forestville,décès OR mort,12,NecrologieCanada,TREMBLAY Martin 1969 2021,2021-09-03,106,https://necrocanada.com/deces-2021/tremblay-martin-1969-2021/,2021-12-18 12:06:44,local
Forestville,décès OR mort,13,NecrologieCanada,FORTIN Roger 1931 2021,2021-11-11,37,https://necrocanada.com/deces-2021/fortin-roger-1931-2021/,2021-12-18 12:06:44,local
