Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Forestville,élection OR campagne,1,ICI.Radio-Canada.ca,Micheline Anctil est réélue mairesse de Forestville | Élections municipales au Québec 2021,2021-11-07,41,https://ici.radio-canada.ca/nouvelle/1838017/micheline-anctil-forestville-elections-municipales-resultats-7-novembre-2021,2021-12-18 13:07:58,mixte
Forestville,élection OR campagne,2,ICI.Radio-Canada.ca,Municipales 2021 : plusieurs maires déjà connus en Gaspésie et sur la Côte-Nord,2021-10-01,78,https://ici.radio-canada.ca/nouvelle/1828627/candidature-mairie-est-quebec-gaspesie-bas-saint-laurent-cote-nord-elections-municipales,2021-12-18 13:07:58,mixte
Forestville,député,1,Info Dimanche,Le député LeBel très actif pour ses concitoyens | infodimanche.com,2021-12-13,5,https://www.infodimanche.com/actualites/actualite/446051/le-depute-lebel-tres-actif-pour-ses-concitoyens,2021-12-18 13:08:33,mixte
Forestville,député,2,Le Soleil,Québec refuse de financer les opérations de la traverse Rimouski-Forestville,2021-11-29,19,https://www.lesoleil.com/2021/11/29/quebec-refuse-de-financer-les-operations-de-la-traverse-rimouski-forestville-cbca63b2016dd3e0811a2f1ca2657733,2021-12-18 13:08:33,mixte
Forestville,député,3,Journal Le Manic,La question des transports préoccupe le député Ouellet,2021-09-10,99,https://www.lemanic.ca/2021/09/10/la-question-des-transports-preoccupe-le-depute-ouellet/,2021-12-18 13:08:33,mixte
Forestville,député,4,TVA Nouvelles,Traverse Forestville-Rimouski: des élus ne baissent pas les bras pour un retour du CNM Évolution,2021-05-28,204,https://www.tvanouvelles.ca/2021/05/28/traverse-forestville-rimouski-des-elus-ne-baissent-pas-les-bras-pour-un-retour-du-cnm-evolution,2021-12-18 13:08:33,mixte
Forestville,député,5,ICI.Radio-Canada.ca,Traverse Rimouski-Forestville : « avec ou sans le CNM Évolution » selon Micheline Anctil,2021-06-16,185,https://ici.radio-canada.ca/nouvelle/1802018/traverse-rimouski-forestville-cnm-evolution-marc-parent,2021-12-18 13:08:33,mixte
Forestville,député,6,Le Soleil - Groupe Capitales Médias,L'avocat du député de Rimouski Harold LeBel vise un procès cet automne,2021-04-06,256,https://www.lesoleil.com/2021/04/06/lavocat-du-depute-de-rimouski-harold-lebel-vise-un-proces-cet-automne-6fa528a7010b43f807b78f1c8fd206f6,2021-12-18 13:08:34,mixte
Forestville,"""santé publique""",1,ICI.Radio-Canada.ca,"La Côte-Nord pourrait revenir en zone jaune bientôt, estime la santé publique | Coronavirus",2021-05-13,219,https://ici.radio-canada.ca/nouvelle/1792864/palier-jaune-cote-nord-richard-fachehoun-cisss-conference-presse,2021-12-18 13:08:47,mixte
Forestville,"""santé publique""",2,ICI.Radio-Canada.ca,Micheline Anctil est réélue mairesse de Forestville | Élections municipales au Québec 2021,2021-11-07,41,https://ici.radio-canada.ca/nouvelle/1838017/micheline-anctil-forestville-elections-municipales-resultats-7-novembre-2021,2021-12-18 13:08:47,mixte
Forestville,"""santé publique""",3,Le Soleil - Groupe Capitales Médias,La santé publique publie des consignes de santé sur l'accès à la Côte-Nord,,,https://www.lesoleil.com/2020/12/08/la-sante-publique-publie-des-consignes-de-sante-sur-lacces-a-la-cote-nord-0ef3c43a4f7e3f3a2c79cf5951e0c8bf,2021-12-18 13:08:47,mixte
Forestville,"""santé publique""",4,ICI.Radio-Canada.ca,Six nouvelles cliniques de dépistage sur la Côte-Nord,,,https://ici.radio-canada.ca/nouvelle/1679665/coronavirus-cote-nord-covid-cliniques-port-cartier-escoumins-forestville-fermont,2021-12-18 13:08:48,mixte
Forestville,"""santé publique""",5,ICI.Radio-Canada.ca,Trois cas de COVID-19 supplémentaires sur la Côte-Nord,2021-04-17,245,https://ici.radio-canada.ca/nouvelle/1785742/coronavirus-variants-vaccin-bilan-17-avril-2021-cote-nord,2021-12-18 13:08:48,mixte
Forestville,"""santé publique""",6,Journal Le Manic,Saison annulée pour le CNM Évolution,2021-06-10,191,https://www.lemanic.ca/2021/06/10/saison-annulee-pour-le-cnm-evolution/,2021-12-18 13:08:48,mixte
Forestville,covid OR COVID,1,Journal Le Manic,COVID-19 : Les pharmacies de la Côte-Nord se préparent à la distribution des tests de dépistage rapides,2021-12-16,2,https://www.lemanic.ca/2021/12/16/covid-19-les-pharmacies-de-la-cote-nord-se-preparent-a-la-distribution-des-tests-de-depistage-rapides/,2021-12-18 13:08:56,mixte
Forestville,covid OR COVID,2,ICI.Radio-Canada.ca,Micheline Anctil est réélue mairesse de Forestville | Élections municipales au Québec 2021,2021-11-07,41,https://ici.radio-canada.ca/nouvelle/1838017/micheline-anctil-forestville-elections-municipales-resultats-7-novembre-2021,2021-12-18 13:08:56,mixte
Forestville,covid OR COVID,3,ICI.Radio-Canada.ca,Traverse Rimouski-Forestville : « avec ou sans le CNM Évolution » selon Micheline Anctil,2021-06-16,185,https://ici.radio-canada.ca/nouvelle/1802018/traverse-rimouski-forestville-cnm-evolution-marc-parent,2021-12-18 13:08:57,mixte
Forestville,covid OR COVID,4,Le Journal de Québec,L'avenir de l'église de Forestville menacé,2021-10-20,59,https://www.journaldequebec.com/2021/10/20/lavenir-de-leglise-de-forestville-menace-1,2021-12-18 13:08:57,mixte
Forestville,covid OR COVID,5,Ma Côte-Nord,"La Ville de Forestville reçoit 2,6 M$ pour sauver l'aéroport",2021-07-22,149,https://macotenord.com/la-ville-de-forestville-recoit-26-m-pour-sauver-laeroport/,2021-12-18 13:08:57,mixte
Forestville,covid OR COVID,6,Ma Côte-Nord,Neuf nouveaux cas de COVID-19 en Haute-Côte-Nord et Manicouagan,2021-04-10,252,https://macotenord.com/neuf-nouveaux-cas-de-covid-19-en-haute-cote-nord-et-manicouagan/,2021-12-18 13:08:57,mixte
Forestville,covid OR COVID,7,Journal Le Manic,Cliniques de vaccination sans rendez-vous cette semaine sur la Côte-Nord,2021-07-27,144,https://www.lemanic.ca/2021/07/27/cliniques-de-vaccination-sans-rendez-vous-cette-semaine-sur-la-cote-nord/,2021-12-18 13:08:57,mixte
Forestville,covid OR COVID,8,Journal Le Manic,D'autres cliniques de vaccination contre la COVID-19 sans rendez-vous,2021-06-14,187,https://www.lemanic.ca/2021/06/14/dautres-cliniques-de-vaccination-contre-la-covid-19-sans-rendez-vous/,2021-12-18 13:08:58,mixte
Forestville,covid OR COVID,9,Ma Côte-Nord,Une fille de Forestville dans une téléréalité,2021-09-22,87,https://macotenord.com/une-fille-de-forestville-dans-une-telerealite/,2021-12-18 13:08:58,mixte
Forestville,covid OR COVID,10,Journal Le Manic,Place à la vaccination des 65 à 69 ans sur la Côte-Nord,2021-03-18,275,https://www.lemanic.ca/2021/03/18/place-a-la-vaccination-des-65-a-69-ans-sur-la-cote-nord/,2021-12-18 13:08:58,mixte
Forestville,covid OR COVID,11,TVA Nouvelles,Traverse Forestville-Rimouski: des élus ne baissent pas les bras pour un retour du CNM Évolution,2021-05-28,204,https://www.tvanouvelles.ca/2021/05/28/traverse-forestville-rimouski-des-elus-ne-baissent-pas-les-bras-pour-un-retour-du-cnm-evolution,2021-12-18 13:08:58,mixte
Forestville,covid OR COVID,12,Ma Côte-Nord,Investissement majeur au quai de Forestville,2021-02-16,305,https://macotenord.com/investissement-majeur-au-quai-de-forestville/,2021-12-18 13:08:58,mixte
