Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Granby,accident,1,Granby Express,Une perte de contrôle sur l'autoroute 10 fait un blessé à Saint-Alphonse-de-Granby,2021-11-30,18,https://www.granbyexpress.com/2021/11/30/une-perte-de-controle-sur-lautoroute-10-fait-un-blesse-a-saint-alphonse-de-granby/,2021-12-18 12:15:12,local
Granby,accident,2,La Voix de l'est,Deux hommes arrêtés pour conduite avec les facultés affaiblies,2021-12-18,0,https://www.lavoixdelest.ca/2021/12/18/deux-hommes-arretes-pour-conduite-avec-les-facultes-affaiblies-717cde6eac9f193e6cb57228b9e9c9fc,2021-12-18 12:15:12,local
Granby,accident,3,TVA Nouvelles,Une fin atroce pour deux jeunes de 16 et 18 ans à Montréal,2021-12-17,1,https://www.tvanouvelles.ca/2021/12/17/une-poursuite-policiere-sur-la-15-fait-deux-morts-a-montreal,2021-12-18 12:15:13,local
Granby,accident,4,La Presse,Meurtre de la fillette de Granby | « Le drame de tout le Québec »,2021-12-17,1,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-12-17/meurtre-de-la-fillette-de-granby/le-drame-de-tout-le-quebec.php,2021-12-18 12:15:13,local
Granby,accident,5,La Tribune,Délit de fuite à Bromont : l'automobiliste trouvée coupable,2021-12-16,2,https://www.latribune.ca/2021/12/16/delit-de-fuite-a-bromont--lautomobiliste-trouvee-coupable-629bc6b38b98f902a6e9bd16c212ba85,2021-12-18 12:15:13,local
Granby,accident,6,Granby Express,Un face à face fait un blessé grave à Granby,2021-08-25,115,https://www.granbyexpress.com/2021/08/25/un-face-a-face-fait-un-blesse-grave-a-granby/,2021-12-18 12:15:14,local
Granby,accident,7,La Voix de l'est - Groupe Capitales Médias,Des blessés mineurs dans un accident à Granby,2021-07-16,155,https://www.lavoixdelest.ca/2021/07/16/des-blesses-mineurs-dans-un-accident-a-granby-c17f08963c4fc1a5514e357bb50086bf,2021-12-18 12:15:14,local
Granby,accident,8,La Voix de l'est - Groupe Capitales Médias,Deux conducteurs blessés dans une collision à Granby,2021-09-13,96,https://www.lavoixdelest.ca/2021/09/13/deux-conducteurs-blesses-dans-une-collision-a-granby-e5458b04aaaa9cf19387dcba72b8ae73,2021-12-18 12:15:14,local
Granby,accident,9,La Voix de l'est - Groupe Capitales Médias,Un Granbyen perd la vie dans une collision de moto,2021-10-13,66,https://www.lavoixdelest.ca/2021/10/13/un-granbyen-perd-la-vie-dans-une-collision-de-moto-9552c4c1db1fb6b1efb398018b1e6bec,2021-12-18 12:15:14,local
Granby,accident,10,La Voix de l'est,Collision près de la sortie 68 : plus de peur que de mal,2021-10-26,53,https://www.lavoixdelest.ca/2021/10/26/collision-pres-de-la-sortie-68--plus-de-peur-que-de-mal-87fef084745c0666725306ed90d1193d,2021-12-18 12:15:14,local
Granby,accident,11,La Voix de l'est - Groupe Capitales Médias,Deux véhicules impliqués dans une collision à Granby,2021-08-04,136,https://www.lavoixdelest.ca/2021/08/04/deux-vehicules-impliques-dans-une-collision-a-granby-2692651b9517dd10a546cbc104c2b849,2021-12-18 12:15:15,local
Granby,accident,12,Granby Express,Un camion accroche un poteau sur la route 112 à Granby,2021-09-02,107,https://www.granbyexpress.com/2021/09/02/un-camion-accroche-un-poteau-sur-la-route-112-a-granby/,2021-12-18 12:15:15,local
Granby,accident,13,La Voix de l'est - Groupe Capitales Médias,Collision au centre-ville de Granby | Actualités,2021-09-28,81,https://www.lavoixdelest.ca/2021/09/28/collision-au-centre-ville-de-granby-4e7d95e4a345e059f05227be0685c4f8,2021-12-18 12:15:15,local
Granby,accident,14,La Voix de l'est,Une femme grièvement blessée à Granby | Actualités,2021-10-22,57,https://www.lavoixdelest.ca/2021/10/22/une-femme-grievement-blessee-a-granby-28bd954b93228bdecb7bf58ce606bddb,2021-12-18 12:15:16,local
Granby,accident,15,Granby Express,Une jeune cycliste à l'hôpital après un accident à Granby,2021-08-31,109,https://www.granbyexpress.com/2021/08/31/une-jeune-cycliste-a-lhopital-apres-un-accident-a-granby/,2021-12-18 12:15:16,local
Granby,accident,16,Granby Express,Granby: un camion se renverse sur la route 139,2021-04-22,240,https://www.granbyexpress.com/2021/04/22/granby-un-camion-se-renverse-sur-la-route-139/,2021-12-18 12:15:16,local
Granby,accident,17,La Voix de l'est - Groupe Capitales Médias,Un motocycliste percute une voiture sur l'autoroute 10,2021-07-23,148,https://www.lavoixdelest.ca/2021/07/23/un-motocycliste-percute-une-voiture-sur-lautoroute-10-9bfd027665c8a2db4fe6a80372d8c8df,2021-12-18 12:15:16,local
Granby,accident,18,La Voix de l'est,Rebondir après avoir été brûlé au 3e degré,2021-11-26,22,https://www.lavoixdelest.ca/2021/11/26/rebondir-apres-avoir-ete-brule-au-3e-degre-1afe3110849e39d6ae5de021173a18e5,2021-12-18 12:15:16,local
Granby,accident,19,Granby Express,Un automobiliste emboutit une terrasse au centre-ville de Granby,2021-07-23,148,https://www.granbyexpress.com/2021/07/23/un-automobiliste-emboutit-une-terrasse-au-centre-ville-de-granby/,2021-12-18 12:15:17,local
Granby,accident,20,Le Journal de Montréal,"Granby: à cause de l'alcool, il percute un poteau",2021-07-30,141,https://www.journaldemontreal.com/2021/07/30/granby-a-cause-de-lalcool-il-percute-un-poteau,2021-12-18 12:15:17,local
Granby,accident,21,La Voix de l'est - Groupe Capitales Médias,Deux véhicules impliqués dans une collision à St-Joachim-de-Shefford,2021-08-24,116,https://www.lavoixdelest.ca/2021/08/24/deux-vehicules-impliques-dans-une-collision-a-st-joachim-de-shefford-51f579d6fc54e579b5265eb4cbcfe7b1,2021-12-18 12:15:17,local
Granby,accident,22,La Voix de l'est - Groupe Capitales Médias,Un poids lourd se renverse à Granby [VIDÉO + GALERIE PHOTOS],2021-09-22,87,https://www.lavoixdelest.ca/2021/09/22/un-poids-lourd-se-renverse-a-granby-video--galerie-photos-e7405ef8c0e054222ad1e051e06be8e3,2021-12-18 12:15:17,local
Granby,accident,23,La Voix de l'est - Groupe Capitales Médias,Collision mortelle à Ange-Gardien : l'identité de la conductrice dévoilée,2021-10-17,62,https://www.lavoixdelest.ca/2021/10/17/collision-mortelle-a-ange-gardien--lidentite-de-la-conductrice-devoilee-c25f887552bdf8f2ddb00c65bd05ed2a,2021-12-18 12:15:17,local
Granby,accident,24,Granby Express,Accident de la route à Granby,2021-03-09,284,https://www.granbyexpress.com/2021/03/09/accident-de-la-route-a-granby-2/,2021-12-18 12:15:17,local
Granby,accident,25,La Tribune - Groupe Capitales Médias,Collision à Saint-Alphonse-de-Granby | Justice et faits divers | Actualités,2021-07-12,159,https://www.latribune.ca/2021/07/12/collision-a-saint-alphonse-de-granby-4717a2594cf6c6d04573264105e54a62,2021-12-18 12:15:18,local
Granby,décès OR mort,1,La Presse,Mort de la fillette de Granby | De nouveaux détails sur le rôle du père,2021-12-15,3,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-12-15/mort-de-la-fillette-de-granby/de-nouveaux-details-sur-le-role-du-pere.php,2021-12-18 12:15:55,local
Granby,décès OR mort,2,Le Journal de Montréal,Une autre cause de décès pour la fillette?,2021-12-01,17,https://www.journaldemontreal.com/2021/12/01/la-fillette-de-granby-serait-morte-dhyperthermie-et-de-suffocation-mecanique-1,2021-12-18 12:15:55,local
Granby,décès OR mort,3,Le Journal de Québec,Le père plaide coupable: l'oncle de la fillette de Granby en colère,2021-12-16,2,https://www.journaldequebec.com/2021/12/15/le-pere-plaide-coupable-loncle-de-la-fillette-de-granby-en-colere-1,2021-12-18 12:15:55,local
Granby,décès OR mort,4,TVA Nouvelles,Récit d'horreur de la mort d'une fillette de seulement sept ans,2021-12-06,12,https://www.tvanouvelles.ca/2021/12/06/recit-dhorreur-de-la-mort-dune-fillette-de-seulement-sept-ans-1,2021-12-18 12:15:55,local
Granby,décès OR mort,5,Le Devoir,Éditorial - Mort de la fillette de Granby: justice pour Ti-Lilly,2021-12-13,5,https://www.ledevoir.com/opinion/editoriaux/654081/fillette-de-granby-justice-pour-ti-lilly,2021-12-18 12:15:56,local
Granby,décès OR mort,6,La Presse,Mort de la fillette de Granby | Le procès de la belle-mère sur pause pour une semaine,2021-11-19,29,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-11-19/mort-de-la-fillette-de-granby/le-proces-de-la-belle-mere-sur-pause-pour-une-semaine.php,2021-12-18 12:15:56,local
Granby,décès OR mort,7,Le Devoir,Qu'avons-nous appris sur les dernières heures de la « fillette de Granby » ?,2021-11-20,28,https://www.ledevoir.com/societe/648726/proces-qu-avons-nous-appris-sur-les-dernieres-heures-de-la-fillette-de-granby,2021-12-18 12:15:56,local
Granby,décès OR mort,8,Le Journal de Montréal,Ruban adhésif «moulé» chez la fillette de Granby,2021-10-21,58,https://www.journaldemontreal.com/2021/10/21/deces-dune-fillette-de-7-ans-a-granby-le-proces-de-la-belle-mere-se-poursuit,2021-12-18 12:15:56,local
Granby,décès OR mort,9,Le Nouvelliste,Fillette de Granby: le décès causé par une suffocation externe,2021-11-09,39,https://www.lenouvelliste.ca/2021/11/09/fillette-de-granby-le-deces-cause-par-une-suffocation-externe-f3ea8935a469039ced2949373dca8e83,2021-12-18 12:15:57,local
Granby,décès OR mort,10,TVA Nouvelles,La fillette de Granby pesait moins de 15 kilos lors de son décès,2021-11-09,39,https://www.tvanouvelles.ca/2021/11/09/la-fillette-de-granby-pesait-moins-de-15-kilos,2021-12-18 12:15:57,local
Granby,décès OR mort,11,La Voix de l'est,Décès du Cowansvillois Réjean Daigle | Arts,2021-12-15,3,https://www.lavoixdelest.ca/2021/12/15/deces-du-cowansvillois-rejean-daigle-7aee7d234c292c8d3f56af8a525b4493,2021-12-18 12:15:57,local
Granby,décès OR mort,12,NecrologieCanada,Luc Tetreault 16 décembre 2021,2021-12-17,1,https://necrocanada.com/deces-2021/luc-tetreault-16-decembre-2021/,2021-12-18 12:15:57,local
