Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Pocatière,accident,1,ICI.Radio-Canada.ca,Report de la peine de Sébastien Miville,2021-04-29,233,https://ici.radio-canada.ca/nouvelle/1788925/sebastien-miville-peine-accident-la-pocatiere-covid,2021-12-18 12:32:30,local
La Pocatière,accident,2,Info Dimanche,Collision mortelle à La Pocatière | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/395060/collision-mortelle-a-la-pocatiere,2021-12-18 12:32:30,local
La Pocatière,accident,3,CIMT-CHAU,Une blessée grave et trois légers dans un accident à Maria,2021-08-05,135,https://cimtchau.ca/nouvelles/accident-de-la-route-a-maria/,2021-12-18 12:32:30,local
La Pocatière,accident,4,Info Dimanche,Accident mortel à La Pocatière : dix chefs d'accusation déposés contre le conducteur | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/357808/accident-mortel-a-la-pocatiere-dix-chefs-daccusation-deposes-contre-le-conducteur,2021-12-18 12:32:30,local
La Pocatière,accident,5,Info Dimanche,Accident sur l'autoroute 20 à Rivière-du-Loup | infodimanche.com,2021-06-06,195,https://www.infodimanche.com/actualites/faits-divers/428381/accident-sur-lautoroute-20-a-riviere-du-loup,2021-12-18 12:32:31,local
La Pocatière,accident,6,ICI.Radio-Canada.ca,Comparution pour un accident mortel sur l'autoroute 20 à La Pocatière,,,https://ici.radio-canada.ca/nouvelle/1158115/accident-mortel-mort-la-pocatiere-collision,2021-12-18 12:32:31,local
La Pocatière,accident,7,CIMT-CHAU,Accident mortel sur l'autoroute 85 à la hauteur de Rivière-du-Loup,2021-07-28,143,https://cimtchau.ca/nouvelles/accident-mortel-sur-lautoroute-85-a-la-hauteur-de-riviere-du-loup/,2021-12-18 12:32:31,local
La Pocatière,accident,8,CIMT-CHAU,"Grave accident sur la route 232 Est à Témiscouata-sur-le-Lac, un homme lutte pour sa vie",2021-08-30,110,https://cimtchau.ca/nouvelles/grave-accident-sur-la-route-232-est-a-temiscouata-sur-le-lac/,2021-12-18 12:32:31,local
La Pocatière,accident,9,CIMT-CHAU,Caplan: Un accident mène à une arrestation pour alcool au volant,2021-08-26,114,https://cimtchau.ca/nouvelles/caplan-un-accident-mene-a-une-arrestation-pour-alcool-au-volant/,2021-12-18 12:32:31,local
La Pocatière,accident,10,CIMT-CHAU,MISE À JOUR | Accident mortel de kitesurf à L'Isle-aux-Coudres,2021-07-04,167,https://cimtchau.ca/nouvelles/grave-accident-de-kitesurf-a-lisle-aux-coudres/,2021-12-18 12:32:32,local
La Pocatière,accident,11,CIMT-CHAU,Accident mortel à New Richmond - TVA CIMT CHAU,2021-10-21,58,https://cimtchau.ca/nouvelles/grave-accident-a-new-richmond/,2021-12-18 12:32:32,local
La Pocatière,accident,12,CIMT-CHAU,Deux morts et un blessé grave dans un accident à Caplan,2021-06-28,173,https://cimtchau.ca/nouvelles/deux-morts-et-un-blesse-grave-dans-un-accident-a-caplan/,2021-12-18 12:32:32,local
La Pocatière,accident,13,CIMT-CHAU,Un homme écrasé mortellement par un tracteur à Rivière-du-Loup,2021-10-05,74,https://cimtchau.ca/nouvelles/grave-accident-riviere-du-loup/,2021-12-18 12:32:32,local
