Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Pocatière,élection OR campagne,1,CIMT-CHAU,Les chevaliers de Sainte-Anne-de La Pocatière remettent « Des manteaux pour les Mômes »,2021-12-09,9,https://cimtchau.ca/nouvelles/les-chevaliers-de-sainte-anne-de-la-pocatiere-remettent-des-manteaux-pour-les-momes/,2021-12-18 13:23:00,mixte
La Pocatière,élection OR campagne,2,CIMT-CHAU,4 029 $ ont été versés à la Fondation André-Côté pour la 25e campagne du Biscuit sourire,2021-12-02,16,https://cimtchau.ca/nouvelles/4-029-ont-ete-verses-a-la-fondation-andre-cote-pour-la-25e-campagne-du-biscuit-sourire/,2021-12-18 13:23:00,mixte
La Pocatière,élection OR campagne,3,Mon Matane,Éphémérides du 17 décembre : « Célébration sur glace » pour l'inauguration du Colisée Béton Provincial de Matane en 2011,2021-12-17,1,https://monmatane.com/ephemerides-du-17-decembre-celebration-sur-glace-pour-linauguration-du-colisee-beton-provincial-de-matane-en-2011/,2021-12-18 13:23:00,mixte
La Pocatière,élection OR campagne,4,Le Placoteux,Le Kamouraska généreux au premier Radiothon de Noël - Journal Le Placoteux,2021-12-13,5,https://leplacoteux.com/le-kamouraska-genereux-au-premier-radiothon-de-noel/,2021-12-18 13:23:00,mixte
La Pocatière,élection OR campagne,5,Le Placoteux,La Pocatière : Une élection au poste de conseiller qui retient l'attention - Journal Le Placoteux,2021-11-02,46,https://leplacoteux.com/la-pocatiere-une-election-au-poste-de-conseiller-qui-retient-lattention/,2021-12-18 13:23:00,mixte
La Pocatière,élection OR campagne,6,ICI.Radio-Canada.ca,La moitié des municipalités et villes du Bas-Saint-Laurent connaissent leur prochain maire,2021-10-01,78,https://ici.radio-canada.ca/nouvelle/1828657/elections-municipales-2021-bas-saint-laurent-elus-sans-opposition,2021-12-18 13:23:01,mixte
La Pocatière,élection OR campagne,7,CIMT-CHAU,La Pocatière : Le candidat à la mairie Vincent Bérubé présente son équipe en vue des prochaines élections municipales,2021-09-08,101,https://cimtchau.ca/nouvelles/la-pocatiere-le-candidat-a-la-mairie-vincent-berube-presente-son-equipe-en-vue-des-prochaines-elections-municipales/,2021-12-18 13:23:01,mixte
La Pocatière,élection OR campagne,8,La Sentinelle et le Jamésien,Des fonds pour attirer et retenir les Chapaisiens,2021-11-30,18,https://www.lasentinelle.ca/des-fonds-pour-attirer-et-retenir-les-chapaisiens/,2021-12-18 13:23:01,mixte
La Pocatière,élection OR campagne,9,ICI.Radio-Canada.ca,Portrait de circonscription : Montmagny–L'Islet–Kamouraska–Rivière-du-Loup | Élections Canada 2021,2021-08-18,122,https://ici.radio-canada.ca/nouvelle/1817581/montmagny-islet-kamouraska-rdl-portrait-circonscription-2021-elections-federales,2021-12-18 13:23:01,mixte
La Pocatière,élection OR campagne,10,ICI.Radio-Canada.ca,Vincent Bérubé songe à la mairie de La Pocatière,2021-06-12,189,https://ici.radio-canada.ca/nouvelle/1800561/vincent-berube-pocatiere-mairie-elections-municipales-novembre,2021-12-18 13:23:01,mixte
