Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Maniwaki,élection OR campagne,1,Le Droit,Un militant caquiste retourne sa veste et part en croisade contre Robert Bussière et le parti,2021-12-09,9,https://www.ledroit.com/2021/12/09/un-militant-caquiste-retourne-sa-veste-et-part-en-croisade-contre-robert-bussiere-et-le-parti-8b64d5cd7df9d3587d8ba9e73f513a5d,2021-12-18 09:50:00,mixte
Maniwaki,élection OR campagne,2,Le Droit,"MRC de la Vallée-de-la-Gatineau: pas question de «s'asseoir», dit Chantal Lamarche",2021-11-08,40,https://www.ledroit.com/2021/11/08/mrc-de-la-vallee-de-la-gatineau-pas-question-de-sasseoir-dit-chantal-lamarche-99790bdf3322cc364b111db536c36a7b,2021-12-18 09:50:00,mixte
Maniwaki,élection OR campagne,3,CIMT-CHAU,Pompiers forestiers recherchés dans les différentes régions du Québec,2021-12-03,15,https://cimtchau.ca/nouvelles/pompiers-forestiers-recherches-dans-les-differentes-regions-du-quebec/,2021-12-18 09:50:00,mixte
Maniwaki,élection OR campagne,4,Le Journal de Montréal,Main-d'œuvre: il est minuit moins une pour les régions face à la pénurie,2021-12-11,7,https://www.journaldemontreal.com/2021/12/11/main-duvre-il-est-minuit-moins-une-pour-les-regions-face-a-la-penurie,2021-12-18 09:50:01,mixte
Maniwaki,élection OR campagne,5,Le Droit,Retour insolite sur la campagne municipale | Notre équipe d'impact | Actualités,2021-11-14,34,https://www.ledroit.com/2021/11/14/retour-insolite-sur-la-campagne-municipale-81f43705802d7ab1183329acc548c8f0,2021-12-18 09:50:01,mixte
Maniwaki,élection OR campagne,6,Le Droit,Relance du DEC accéléré en soins infirmiers en 2022 au Cégep de l'Outaouais,2021-11-24,24,https://www.ledroit.com/2021/11/24/relance-du-dec-accelere-en-soins-infirmiers-en-2022-au-cegep-de-loutaouais-9dbe1fbcfa8796472ceb03c8cd4577bc,2021-12-18 09:50:02,mixte
Maniwaki,élection OR campagne,7,Le Droit,La course à trois à la mairie de Gatineau se précise,2021-11-07,41,https://www.ledroit.com/2021/11/07/la-course-a-trois-a-la-mairie-de-gatineau-se-precise-e254b1ca5075106b3412c4a62af7f70a,2021-12-18 09:50:02,mixte
Maniwaki,élection OR campagne,8,Le Droit - Groupe Capitales Médias,Crise à la SOPFEU de Maniwaki: une intervention de Québec demandée,2021-06-12,189,https://www.ledroit.com/2021/06/12/crise-a-la-sopfeu-de-maniwaki-une-intervention-de-quebec-demandee-03ccaee37fd0109a2105ac57c5af0d9e,2021-12-18 09:50:02,mixte
Maniwaki,élection OR campagne,9,ICI.Radio-Canada.ca,Analyse | Le « déclic » de Justin Trudeau pour redresser le navire libéral | Élections Canada 2021,2021-09-02,107,https://ici.radio-canada.ca/nouvelle/1821082/declic-justin-trudeau-navire-parti-liberal-campagne-manifestants,2021-12-18 09:50:03,mixte
Maniwaki,élection OR campagne,10,Le Droit - Groupe Capitales Médias,De nombreux maires déjà élus en Outaouais | Actualités,2021-10-03,76,https://www.ledroit.com/2021/10/03/de-nombreux-maires-deja-elus-en-outaouais-90598c81f2422583e70a08c368c61575,2021-12-18 09:50:03,mixte
Maniwaki,élection OR campagne,11,ICI.Radio-Canada.ca,L'Ontario à un an du début de la campagne électorale et les partis s'activent déjà,2021-05-04,228,https://ici.radio-canada.ca/nouvelle/1789801/elections-ontario-province-ford-horwath-2022,2021-12-18 09:50:03,mixte
Maniwaki,député,1,Le Droit,Un militant caquiste retourne sa veste et part en croisade contre Robert Bussière et le parti,2021-12-09,9,https://www.ledroit.com/2021/12/09/un-militant-caquiste-retourne-sa-veste-et-part-en-croisade-contre-robert-bussiere-et-le-parti-8b64d5cd7df9d3587d8ba9e73f513a5d,2021-12-18 09:50:52,mixte
Maniwaki,député,2,ICI.Radio-Canada.ca,"Très vulnérable, Cyrille Gibeault craint le personnel de la santé non-vacciné",2021-11-24,24,https://ici.radio-canada.ca/nouvelle/1842271/cyrille-gibeault-immunsupprime-vaccination-obligatoire-personnel-sante,2021-12-18 09:50:52,mixte
Maniwaki,député,3,ICI.Radio-Canada.ca,Pascal Bérubé entend solliciter un sixième mandat,2021-10-12,67,https://ici.radio-canada.ca/nouvelle/1831080/depute-matane-mataepdia-elections-provinciales-2022-gaspesie-iles,2021-12-18 09:50:55,mixte
Maniwaki,député,4,CNW Telbec,Entente de partenariat régional en tourisme - Appui de près de 75 000 $ pour soutenir le développement touristique en Outaouais,2021-11-17,31,https://www.newswire.ca/fr/news-releases/entente-de-partenariat-regional-en-tourisme-appui-de-pres-de-75-000-pour-soutenir-le-developpement-touristique-en-outaouais-813639269.html,2021-12-18 09:50:55,mixte
Maniwaki,député,5,Le Journal de Montréal,Député nu: William Amos s'explique,2021-07-08,163,https://www.journaldemontreal.com/2021/07/08/depute-nu-william-amos-sexplique,2021-12-18 09:50:55,mixte
Maniwaki,député,6,Le Droit - Groupe Capitales Médias,"COVID-19 pour un enfant du député Martin Ouellet, qui se place en isolement",2021-10-12,67,https://www.ledroit.com/2021/10/12/covid-19-pour-un-enfant-du-depute-martin-ouellet-qui-se-place-en-isolement-6aa350804a8acf2c71e09ea7269c8434,2021-12-18 09:50:55,mixte
Maniwaki,député,7,Le Droit,"Santé en Outaouais: «on doit sortir du champ politique», dit MacKinnon",2021-11-12,36,https://www.ledroit.com/2021/11/12/sante-en-outaouais-on-doit-sortir-du-champ-politique-dit-mackinnon-fc75aaa10a735622b9c7f359e86d8ec0,2021-12-18 09:50:56,mixte
Maniwaki,député,8,Le Droit - Groupe Capitales Médias,Un député de Doug Ford exclu du parti pour avoir refusé la vaccination,2021-08-19,121,https://www.ledroit.com/2021/08/19/un-depute-de-doug-ford-exclu-du-parti-pour-avoir-refuse-la-vaccination-24d709a998e01ac51494a89f32f34731,2021-12-18 09:50:56,mixte
Maniwaki,député,9,ICI.Radio-Canada.ca,Amanda Simard relance le projet de réforme de la Loi sur les services en français,2021-10-18,61,https://ici.radio-canada.ca/nouvelle/1832579/amanda-simard-loi-modernisation-services-francais-ontario,2021-12-18 09:50:56,mixte
Maniwaki,député,10,Le Droit - Groupe Capitales Médias,La SOPFEU à Maniwaki: les élus toujours très inquiets,2021-09-26,83,https://www.ledroit.com/2021/09/26/la-sopfeu-a-maniwaki-les-elus-toujours-tres-inquiets-61ceeeae76e0ea3f7be4237b9e657676,2021-12-18 09:50:57,mixte
Maniwaki,député,11,Radio-Canada.ca,La micro-fromagerie qui a fait fléchir Bell,2021-02-27,294,https://ici.radio-canada.ca/nouvelle/1773725/bell-fibre-internet-maniwaki-outaouais-la-cabriole-outaouais,2021-12-18 09:50:57,mixte
Maniwaki,député,12,Radio-Canada.ca,Pierre Fitzgibbon réintègre le Cabinet Legault,2021-08-31,109,https://ici.radio-canada.ca/nouvelle/1820681/economie-ministre-fitzgibbon-retour,2021-12-18 09:50:57,mixte
Maniwaki,député,13,ICI.Radio-Canada.ca,Québec solidaire en opération séduction dans le Bas-Saint-Laurent,2021-11-14,34,https://ici.radio-canada.ca/nouvelle/1839799/quebec-solidaire-tournee-christine-labrie-myriam-lapointe-gagnon-election-candidat,2021-12-18 09:50:57,mixte
Maniwaki,député,14,Radio-Canada.ca,Les Communes débattront du droit du Québec à modifier la Constitution,2021-05-27,205,https://ici.radio-canada.ca/nouvelle/1796141/blanchet-motion-modification-constitution-francais-quebec,2021-12-18 09:50:57,mixte
Maniwaki,député,15,Le Droit - Groupe Capitales Médias,Taux d'occupation au-dessus de 200% à l'urgence de Maniwaki,2021-09-15,94,https://www.ledroit.com/2021/09/15/taux-doccupation-au-dessus-de-200-a-lurgence-de-maniwaki-cbeeea76185f5ec53e5387951aea29cd,2021-12-18 09:50:58,mixte
Maniwaki,"""arme à feu""",1,Radio-Canada.ca,Opération policière à Sept-Îles : le suspect relâché et le dossier bientôt remis au DPCP,2021-11-16,32,https://ici.radio-canada.ca/nouvelle/1840205/police-sept-iles-jean-du-nord-manikoutai,2021-12-18 09:51:15,mixte
Maniwaki,"""arme à feu""",2,Le Droit - Groupe Capitales Médias,Un automobiliste armé jusqu'aux dents arrêté à Gatineau,2021-10-08,71,https://www.ledroit.com/2021/10/08/un-automobiliste-arme-jusquaux-dents-arrete-a-gatineau-da946e7db2fe85a4a0e5175e376e8483,2021-12-18 09:51:15,mixte
Maniwaki,"""arme à feu""",3,Sûreté du Québec,Bouchette - Perquisition en matière de stupéfiants - Sûreté du Québec,2021-09-23,86,https://www.sq.gouv.qc.ca/communiques/bouchette-perquisition-en-matiere-de-stupefiants/,2021-12-18 09:51:15,mixte
Maniwaki,"""arme à feu""",4,Radio-Canada.ca,La Vérif : les conservateurs maintiendront-ils l'interdiction des armes d'assaut? | La vérif,2021-09-04,105,https://ici.radio-canada.ca/nouvelle/1821629/verif-conservateurs-erin-otoole-interdiction-armes-assaut,2021-12-18 09:51:16,mixte
Maniwaki,"""arme à feu""",5,Radio-Canada.ca,Nouvelle escouade du SPVM contre le trafic d'armes : loin des effectifs promis,2021-06-07,194,https://ici.radio-canada.ca/nouvelle/1798984/police-montreal-armes-a-feu-unite-elta,2021-12-18 09:51:17,mixte
Maniwaki,"""arme à feu""",6,ICI.Radio-Canada.ca,Crimes par armes à feu et gangs : Ottawa accorde des fonds à l'Î.-P.-É.,2021-04-15,247,https://ici.radio-canada.ca/nouvelle/1785120/argent-federal-lutte-crimes-armes-a-feu-gangs-ile-du-prince-edouard,2021-12-18 09:51:17,mixte
Maniwaki,"""arme à feu""",7,Le Droit,Frappes policières contre le trafic de stupéfiants à Gatineau,2021-10-28,51,https://www.ledroit.com/2021/10/28/frappes-policieres-contre-le-trafic-de-stupefiants-a-gatineau-83738d0d5dac1ccb2fd27221aae40a2e,2021-12-18 09:51:17,mixte
