Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Montmagny,accident,1,ICI.Radio-Canada.ca,Accident de travail mortel près d'un silo à grains à Montmagny,,,https://ici.radio-canada.ca/nouvelle/1747728/montmagny-silo-grains-accident-travail,2021-12-18 08:48:47,local
Montmagny,accident,2,Zone911,Montmagny - Une voiture percute une résidence. - Actualités - ZONE911 (média collaboratif),2021-04-14,248,https://zone911.com/accidents/30678-montmagny-une-voiture-percute-une-residence,2021-12-18 08:48:47,local
Montmagny,accident,3,La Voix du Sud,Spectaculaire sortie de route à Saint-Paul,2021-05-28,204,https://www.lavoixdusud.com/2021/05/28/spectaculaire-sortie-de-route-a-saint-paul/,2021-12-18 08:48:48,local
Montmagny,accident,4,Le Journal de Québec,Accident de paramoteur à Montmagny: l'identité de la victime dévoilée,,,https://www.journaldequebec.com/2020/06/09/accident-de-paramoteur-a-montmagny-lidentite-de-la-victime-devoilee,2021-12-18 08:48:48,local
Montmagny,accident,5,EnBeauce.com,Plus de 1 000 conducteurs vérifiés et sensibilisés à la conduite avec les capacités affaiblies | EnBeauce.com,2021-12-04,14,https://www.enbeauce.com/actualites/faits-divers/445129/plus-de-1-000-conducteurs-verifies-et-sensibilises-a-la-conduite-avec-les-capacites-affaiblies,2021-12-18 08:48:49,local
Montmagny,accident,6,TVA Nouvelles,Incompréhension après la mort d'un jeune de 19 ans dans un accident,,,https://www.tvanouvelles.ca/2019/12/09/incomprehension-apres-la-mort-dun-jeune-de-19-ans-dans-un-accident,2021-12-18 08:48:49,local
Montmagny,accident,7,Le Journal de Québec,Chaudière-Appalaches: un homme meurt en faisant des travaux électriques,,,https://www.journaldequebec.com/2020/09/29/chaudiere-appalaches-un-homme-grievement-blesse-a-bord-dune-nacelle,2021-12-18 08:48:49,local
Montmagny,accident,8,CIMT-CHAU,Collision avec un chevreuil : Le député Bernard Généreux s'en sort indemne,2021-05-31,201,https://cimtchau.ca/nouvelles/collision-avec-une-chevrette-le-depute-bernard-genereux-sen-sort-indemne/,2021-12-18 08:48:49,local
Montmagny,accident,9,Le Journal de Québec,Accident de travail: un sexagénaire décède à Saint-Adalbert,2021-02-08,313,https://www.journaldequebec.com/2021/02/08/accident-de-travail-un-sexagenaire-lutte-pour-sa-vie-a-saint-adalbert,2021-12-18 08:48:50,local
Montmagny,accident,10,TVA Nouvelles,Accidenté du travail à 13 ans,,,https://www.tvanouvelles.ca/2019/08/13/accidente-du-travail-a-13-ans,2021-12-18 08:48:50,local
Montmagny,accident,11,ICI.Radio-Canada.ca,Une nouvelle exposition de Riopelle à Montmagny,2021-08-20,120,https://ici.radio-canada.ca/nouvelle/1818146/exposition-jean-paul-riopelle-tableaux-ile-heureuse-bibliotheque,2021-12-18 08:48:50,local
Montmagny,accident,12,La Voix du Sud,Incendie à Saint-Pierre-de-la-Rivière-du Sud,2021-03-19,274,https://www.lavoixdusud.com/2021/03/19/incendie-a-saint-pierre-de-la-riviere-du-sud/,2021-12-18 08:48:50,local
Montmagny,accident,13,ICI.Radio-Canada.ca,Résidences et camping menacés par l'érosion des berges à Montmagny,2021-09-19,90,https://ici.radio-canada.ca/nouvelle/1824472/environnement-erosion-des-berges-montmagny-islet-elections-federales,2021-12-18 08:48:50,local
Montmagny,accident,14,Zone911,Québec - Intervention policière pour une personne en crise dans le quartier St-Sauveur,2021-06-04,197,https://zone911.com/scenes-policieres/30909-quebec-intervention-policiere-pour-une-personne-en-crise-dans-le-quartier-st-sauveur,2021-12-18 08:48:51,local
Montmagny,accident,15,Le Journal de Montréal,Noyades au Québec : Encore trop de morts évitables | JDM,2021-08-13,127,https://www.journaldemontreal.com/actualite/noyades-au-quebec-encore-trop-de-morts-evitables,2021-12-18 08:48:51,local
Montmagny,accident,16,actu.fr,Val-d'Oise. Le passage à niveau « le plus dangereux de France » à Deuil-Montmagny sera supprimé en 2025,2021-10-03,76,https://actu.fr/ile-de-france/deuil-la-barre_95197/val-d-oise-le-passage-a-niveau-le-plus-dangereux-de-france-a-deuil-montmagny-sera-supprime-en-2025_45352906.html,2021-12-18 08:48:51,local
Montmagny,accident,17,Zone911,Un motocycliste fuit les policiers sauf que... Sans succès,2021-09-27,82,https://zone911.com/scenes-policieres/31540-un-motocycliste-fuit-les-policiers-sauf-que-sans-succes,2021-12-18 08:48:51,local
Montmagny,accident,18,Le Journal de Québec,Une petite communauté profondément ébranlée par le suicide de trois amis en peu de temps,2021-06-23,178,https://www.journaldequebec.com/2021/06/23/une-petite-communaute-profondement-ebranlee,2021-12-18 08:48:51,local
