Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Repentigny,élection OR campagne,1,Hebdo Rive Nord,Aïcha Van Dun présente sa candidature pour l'élection générale de 2022 dans Repentigny,2021-12-17,1,https://www.hebdorivenord.com/article/2021/12/17/aicha-van-dun-presente-sa-candidature-pour-l-election-generale-de-2022-dans-repentigny,2021-12-18 10:20:50,mixte
Repentigny,élection OR campagne,2,Le Journal de Montréal,Fini la police au conseil municipal de Repentigny,2021-12-16,2,https://www.journaldemontreal.com/2021/12/16/fini-la-police-au-conseil-municipal-de-repentigny,2021-12-18 10:20:50,mixte
Repentigny,élection OR campagne,3,ICI.Radio-Canada.ca,Trois élus enracinés dans la diversité,2021-11-21,27,https://ici.radio-canada.ca/nouvelle/1841129/elections-municipales-minorites-montreal-longueuil-repentigny,2021-12-18 10:20:50,mixte
Repentigny,élection OR campagne,4,Le Journal de Montréal,Le profilage racial au cœur de la campagne à Repentigny,2021-10-09,70,https://www.journaldemontreal.com/2021/10/09/le-profilage-racial-au-cur-de-la-campagne,2021-12-18 10:20:51,mixte
Repentigny,élection OR campagne,5,Hebdo Rive Nord,Une campagne positive pour Avenir Repentigny,2021-09-27,82,https://www.hebdorivenord.com/article/2021/09/27/une-campagne-positive-pour-avenir-repentigny,2021-12-18 10:20:51,mixte
Repentigny,élection OR campagne,6,ICI.Radio-Canada.ca,Les enjeux de la campagne électorale municipale à Repentigny,2021-10-04,75,https://ici.radio-canada.ca/ohdio/premiere/emissions/le-15-18/segments/reportage/373607/campagne-municipale-repentigny-acces-berges-condos,2021-12-18 10:20:51,mixte
Repentigny,élection OR campagne,7,LanauWeb,Campagne de vaccination : Ajout de nouvelles clientèles prioritaires pour une dose de rappel Info Lanaudière,2021-12-10,8,https://lanauweb.info/campagne-de-vaccination-ajout-de-nouvelles-clienteles-prioritaires-pour-une-dose-de-rappel/,2021-12-18 10:20:51,mixte
Repentigny,élection OR campagne,8,Hebdo Rive Nord,Nicolas Dufour remporte la victoire,2021-11-07,41,https://www.hebdorivenord.com/article/2021/11/07/nicolas-dufour-remporte-la-victoire,2021-12-18 10:20:51,mixte
Repentigny,élection OR campagne,9,Hebdo Rive Nord,"Lowe's Canada remet plus de 1,5 M$ à des organismes du secteur de la rénovation résidentielle",2021-11-19,29,https://www.hebdorivenord.com/article/2021/11/19/lowe-s-canada-remet-plus-de-1-5-m-a-des-organismes-du-secteur-de-la-renovation-residentielle,2021-12-18 10:20:52,mixte
Repentigny,élection OR campagne,10,Hebdo Rive Nord,Un premier sondage pour Avenir Repentigny,2021-10-18,61,https://www.hebdorivenord.com/article/2021/10/18/un-premier-sondage-pour-avenir-repentigny,2021-12-18 10:20:52,mixte
Repentigny,élection OR campagne,11,Le Journal de Montréal,"Anderson blessé, Dauphin rappelé",2021-12-02,16,https://www.journaldemontreal.com/2021/12/02/anderson-blesse-dauphin-rappele-1,2021-12-18 10:20:52,mixte
Repentigny,élection OR campagne,12,Hebdo Rive Nord,Éric Chartré sera candidat à la mairie de Repentigny,2021-04-21,241,https://www.hebdorivenord.com/article/2021/04/21/eric-chartre-sera-candidat-a-la-mairie-de-repentigny,2021-12-18 10:20:52,mixte
Repentigny,élection OR campagne,13,Hebdo Rive Nord,Une victoire pour Monique Pauzé,2021-09-20,89,https://www.hebdorivenord.com/article/2021/09/20/une-victoire-pour-monique-pauze,2021-12-18 10:20:52,mixte
Repentigny,élection OR campagne,14,Le Journal de Montréal,Lutte à trois à Repentigny après un règne de 24 ans,2021-05-07,225,https://www.journaldemontreal.com/2021/05/07/lutte-a-trois-a-repentigny-apres-un-regne-de-24-ans,2021-12-18 10:20:53,mixte
Repentigny,élection OR campagne,15,Hebdo Rive Nord,Une dose de rappel accessible à de nouvelles clientèles,2021-12-16,2,https://www.hebdorivenord.com/article/2021/12/16/une-dose-de-rappel-accessible-a-de-nouvelles-clienteles,2021-12-18 10:20:53,mixte
Repentigny,élection OR campagne,16,Hebdo Rive Nord,Martin Nadon présente son programme électoral en vue de l'élection municipale du 7 novembre,2021-10-18,61,https://www.hebdorivenord.com/article/2021/10/18/martin-nadon-presente-son-programme-electoral-en-vue-de-l-election-municipale-du-7-novembre,2021-12-18 10:20:53,mixte
Repentigny,élection OR campagne,17,Hebdo Rive Nord,Luc Thériault lance officiellement sa campagne,2021-08-24,116,https://www.hebdorivenord.com/article/2021/08/24/luc-theriault-lance-officiellement-sa-campagne,2021-12-18 10:20:53,mixte
Repentigny,élection OR campagne,18,Hebdo Rive Nord,Yvelie Kernizan devient la candidate de l'équipe Trudeau,2021-08-31,109,https://www.hebdorivenord.com/article/2021/08/31/yvelie-kernizan-devient-la-candidate-de-l-equipe-trudeau,2021-12-18 10:20:54,mixte
Repentigny,élection OR campagne,19,La Presse,L'équilibre maintenu dans le 450 | La Presse,2021-09-20,89,https://www.lapresse.ca/elections-federales/2021-09-20/l-equilibre-maintenu-dans-le-450.php,2021-12-18 10:20:54,mixte
Repentigny,élection OR campagne,20,ICI.Radio-Canada.ca,"Le profilage racial à Repentigny, « l'éléphant dans la pièce »?",2021-10-14,65,https://ici.radio-canada.ca/nouvelle/1831346/profilage-repentigny-elections-municipales-blot-ducas,2021-12-18 10:20:54,mixte
Repentigny,élection OR campagne,21,Hebdo Rive Nord,Avenir Repentigny s'attaquent aux problèmes environnementaux,2021-10-11,68,https://www.hebdorivenord.com/article/2021/10/11/avenir-repentigny-s-attaquent-aux-problemes-environnementaux,2021-12-18 10:20:54,mixte
Repentigny,élection OR campagne,22,Hebdo Rive Nord,Une autre année réussie pour la campagne du Cellier Vins de Prestige,2021-10-06,73,https://www.hebdorivenord.com/article/2021/10/06/une-autre-annee-reussie-pour-la-campagne-du-cellier-vins-de-prestige,2021-12-18 10:20:54,mixte
