Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rivière-du-Loup,élection OR campagne,1,CIMT-CHAU,Le Centre commercial Rivière-du-Loup lance une campagne pour Noël,2021-11-18,30,https://cimtchau.ca/nouvelles/le-centre-commercial-riviere-du-loup-lance-une-campagne-pour-noel/,2021-12-18 10:24:28,mixte
Rivière-du-Loup,élection OR campagne,2,ICI.Radio-Canada.ca,Des composteurs bientôt offerts aux résidents du Témiscouata,2021-12-17,1,https://ici.radio-canada.ca/nouvelle/1848155/systeme-compostage-temiscouata-2022-regie-intermunicipale-compost-dechets,2021-12-18 10:24:28,mixte
Rivière-du-Loup,élection OR campagne,3,CIMT-CHAU,Bernard Généreux appuie son collègue Jacques Gourde dans le dépôt du projet de loi C-215,2021-12-16,2,https://cimtchau.ca/nouvelles/bernard-genereux-appuie-son-collegue-jacques-gourde-dans-le-depot-du-projet-de-loi-c-215/,2021-12-18 10:24:28,mixte
Rivière-du-Loup,élection OR campagne,4,ICI.Radio-Canada.ca,Bruno Paradis réélu préfet de la MRC de La Mitis pour un 3 e mandat,2021-11-25,23,https://ici.radio-canada.ca/nouvelle/1842464/bruno-paradis-prefet-maire-mitis-mrc-3e-mandat-reelection-reelu,2021-12-18 10:24:29,mixte
Rivière-du-Loup,élection OR campagne,5,Info Dimanche,Une pétition pour la préservation de l'église Saint-François-Xavier | infodimanche.com,2021-11-18,30,https://www.infodimanche.com/actualites/actualite/443428/une-petition-pour-la-preservation-de-leglise-saint-francois-xavier,2021-12-18 10:24:29,mixte
Rivière-du-Loup,élection OR campagne,6,CIMT-CHAU,60% des enfants de 5 à 11 ans du Bas-Saint-Laurent vaccinés ou en voie de l'être,2021-12-13,5,https://cimtchau.ca/nouvelles/60-des-enfants-de-5-a-11-ans-du-bas-saint-laurent-vaccines-ou-en-voie-de-letre/,2021-12-18 10:24:29,mixte
Rivière-du-Loup,élection OR campagne,7,L'Hebdo Journal,Les Lions ajoutent un marqueur à leur alignement,2021-12-14,4,https://www.lhebdojournal.com/les-lions-ajoutent-un-marqueur-a-leur-alignement/,2021-12-18 10:24:29,mixte
Rivière-du-Loup,élection OR campagne,8,Info Dimanche,Cindy Ouellet et l'importance de tirer le maximum de chaque occasion | infodimanche.com,2021-12-16,2,https://www.infodimanche.com/actualites/sports/446501/cindy-ouellet-et-limportance-de-tirer-le-maximum-de-chaque-occasion,2021-12-18 10:24:29,mixte
Rivière-du-Loup,élection OR campagne,9,CIMT-CHAU,Techniciens en imagerie médicale: taux d'absentéisme de 40% à Rivière-du-Loup,2021-11-24,24,https://cimtchau.ca/nouvelles/techniciens-en-imagerie-medicale-taux-dabsenteisme-de-40-a-riviere-du-loup/,2021-12-18 10:24:30,mixte
Rivière-du-Loup,élection OR campagne,10,L’actualité,Les vaccinateurs : (Se) retrousser les manches,2021-12-01,17,https://lactualite.com/sante-et-science/les-vaccinateurs-se-retrousser-les-manches/,2021-12-18 10:24:30,mixte
