Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rouyn-Noranda,accident,1,Le Journal de Québec,Abitibi-Témiscamingue: Émilise Lessard-Therrien dénonce un manque de services dans sa région,2021-11-27,21,https://www.journaldequebec.com/2021/11/27/abitibi-temiscamingue-emilie-lessard-therrien-victime-dun-accident-de-la-route,2021-12-18 08:00:22,local
Rouyn-Noranda,accident,2,TVA Nouvelles,"Victime d'un accident de la route, la députée Émilise Lessard-Therrien interpelle les dirigeants",2021-11-27,21,https://www.tvanouvelles.ca/2021/11/27/victime-dun-accident-de-la-route-emilise-lessard-therrien-interpelle-les-dirigeants,2021-12-18 08:00:23,local
Rouyn-Noranda,accident,3,iHeartRadio,Accident : une femme dans un état critique,2021-12-10,8,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/accident-une-femme-dans-un-etat-critique-1.16668640,2021-12-18 08:00:26,local
Rouyn-Noranda,accident,4,Le Journal de Montréal,La vie de deux hommes a basculé depuis qu'ils ont conduit leur moto ivre,2021-12-11,7,https://www.journaldemontreal.com/2021/12/11/alcool-au-volant--mon-corps-ne-veut-pas-suivre-mon-cerveau,2021-12-18 08:00:26,local
Rouyn-Noranda,accident,5,ICI.Radio-Canada.ca,La tournée de recrutement en France jugée positive par le CLD de Rouyn-Noranda,2021-12-12,6,https://ici.radio-canada.ca/nouvelle/1846834/penurie-main-doeuvre-emploi-recrutement-quebec-france,2021-12-18 08:00:26,local
Rouyn-Noranda,accident,6,La Presse,Un mort et 2 blessés dans deux accidents à Rouyn-Noranda,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-12-09/un-mort-et-2-blesses-dans-deux-accidents-a-rouyn-noranda.php,2021-12-18 08:00:26,local
Rouyn-Noranda,accident,7,TVA Nouvelles,Deux motocyclistes gravement blessés en Abitibi,2021-08-17,123,https://www.tvanouvelles.ca/2021/08/17/deux-motocyclistes-gravement-blesses-en-abitibi-1,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,8,ICI.Radio-Canada.ca,Accident à Granada : les proches des victimes marchent contre le cellulaire au volant,2021-04-30,232,https://ici.radio-canada.ca/nouvelle/1789475/marche-victimes-accident-granada-cellulaire-volant,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,9,ICI.Radio-Canada.ca,Un accident fait un mort sur la route 391 à Saint-Eugène-de-Guigues,2021-07-15,156,https://ici.radio-canada.ca/nouvelle/1809198/accident-mortel-391-st-eugene-guigues,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,10,MédiAT,Coupures de services en santé : Émilise Lessard-Therrien réagit,2021-12-15,3,https://mediat.ca/communiques/coupures-de-services-en-sante-emilise-lessard-therrien-reagit/,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,11,ICI.Radio-Canada.ca,Mort de Michaël Bédard : pas d'accusations contre le policier impliqué dans l'accident,2021-07-22,149,https://ici.radio-canada.ca/nouvelle/1810992/accident-mortel-route-dpcp-amos-route-117,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,12,Le Journal de Montréal,Conducteur acquitté à cause du cafouillage des policiers,2021-04-23,239,https://www.journaldemontreal.com/2021/04/23/conducteur-acquitte-a-cause-du-cafouillage-des-policiers,2021-12-18 08:00:27,local
Rouyn-Noranda,accident,13,ICI.Radio-Canada.ca,La CSN réclame une enquête sur un accident mortel sur la route Billy-Diamond,2021-06-03,198,https://ici.radio-canada.ca/nouvelle/1798647/ambulanciers-enquete-accident-relais-381,2021-12-18 08:00:28,local
Rouyn-Noranda,accident,14,iHeartRadio,Une piétonne dans un état critique après avoir été happée,2021-11-12,36,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/une-pietonne-dans-un-etat-critique-apres-avoir-ete-happee-1.16467551,2021-12-18 08:00:28,local
Rouyn-Noranda,accident,15,iHeartRadio,Un adolescent de 15 ans meurt à Rouyn-Noranda,2021-06-30,171,https://www.iheartradio.ca/energie/energie-val-d-or/nouvelles/un-adolescent-de-15-ans-meurt-a-rouyn-noranda-1.15527425,2021-12-18 08:00:28,local
Rouyn-Noranda,accident,16,Le Devoir,La chronique de Michel David - Le bulletin de l'opposition,2021-12-14,4,https://www.ledevoir.com/opinion/chroniques/654390/le-bulletin-de-l-opposition,2021-12-18 08:00:28,local
Rouyn-Noranda,accident,17,ICI.Radio-Canada.ca,Baisse du nombre de morts sur les routes en 2020 en Abitibi-Témiscamingue,2021-05-15,217,https://ici.radio-canada.ca/nouvelle/1793449/accident-route-saaq-bilan-pandemie,2021-12-18 08:00:28,local
Rouyn-Noranda,accident,18,TVA Nouvelles,Un motocycliste de 61 ans perd la vie à Val-d'Or,2021-07-02,169,https://www.tvanouvelles.ca/2021/07/02/un-motocycliste-de-61-ans-perd-la-vie-a-val-dor-1,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,19,ICI.Radio-Canada.ca,"Des travaux de 1,8 M$ à venir sur la rue des Oblats à Rouyn-Noranda",2021-05-11,221,https://ici.radio-canada.ca/nouvelle/1792284/travaux-rue-oblats-rouyn-noranda,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,20,ICI.Radio-Canada.ca,Des automobilistes dénoncent l'état du chantier de la route 101 à Notre-Dame-du-Nord,2021-09-10,99,https://ici.radio-canada.ca/nouvelle/1822545/bris-voitures-chantier-route-101-nddn,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,21,ICI.Radio-Canada.ca,Accident d'avion à Rouyn-Noranda : « On l'a échappé belle »,,,https://ici.radio-canada.ca/nouvelle/1148828/accident-avion-rouyn-noranda-temoignage-francis-bouffard,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,22,Le Journal de Montréal,Des policiers blâmés par un juge pour une fouille abusive,2021-03-06,287,https://www.journaldemontreal.com/2021/03/05/des-policiers-blames-par-un-juge-pour-une-fouille-abusive,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,23,ICI.Radio-Canada.ca,"Pierre Grandmaître, ancien maire de Rouyn-Noranda, s'éteint à 78 ans",2021-06-01,200,https://ici.radio-canada.ca/nouvelle/1797949/deces-pierre-grandmaitre-ancien-maire-rouyn-noranda,2021-12-18 08:00:29,local
Rouyn-Noranda,accident,24,ICI.Radio-Canada.ca,Accidents sur la 117 : la Conférence des préfets exhorte Québec d'agir,,,https://ici.radio-canada.ca/nouvelle/1753864/conference-prefets-abitibi-temiscamingue-accidents-route-117,2021-12-18 08:00:30,local
Rouyn-Noranda,accident,25,Droit-Inc.com,Un jeune avocat meurt dans un accident d'avion,2021-10-06,73,https://www.droit-inc.com/article29558-Un-jeune-avocat-meurt-dans-un-accident-d-avion,2021-12-18 08:00:30,local
Rouyn-Noranda,décès OR mort,1,Le Journal de Québec,La fermeture d'une urgence fait un mort en Abitibi,2021-12-02,16,https://www.journaldequebec.com/2021/12/01/urgence-fermee-en-abitibi-un-homme-decede-apres-avoir-attendu-plus-de-deux-heures,2021-12-18 08:01:21,local
Rouyn-Noranda,décès OR mort,2,Le Devoir,Une enquête du coroner bel et bien déclenchée sur la mort d'un homme à l'hôpital d'Amos,2021-12-03,15,https://www.ledevoir.com/politique/quebec/651393/mort-a-senneterre-pas-de-lien-avec-l-urgence-fermee-assure-le-gouvernement,2021-12-18 08:01:21,local
Rouyn-Noranda,décès OR mort,3,La Presse,Mort d'un patient à Senneterre | L'homme souffrait d'une « pathologie avec un faible niveau de survie »,2021-12-02,16,https://www.lapresse.ca/actualites/sante/2021-12-02/mort-d-un-patient-a-senneterre/l-homme-souffrait-d-une-pathologie-avec-un-faible-niveau-de-survie.php,2021-12-18 08:01:21,local
