Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saguenay,"""premier ministre""",1,ICI.Radio-Canada.ca,Plusieurs milieux dans la région consternés par le resserrement des mesures,2021-12-17,1,https://ici.radio-canada.ca/nouvelle/1848239/covid-19-conference-noel-rassemblements,2021-12-18 10:31:45,national
Saguenay,"""premier ministre""",2,Le Journal de Québec,Les restaurateurs assommés par les nouvelles restrictions sanitaires,2021-12-18,0,https://www.journaldequebec.com/2021/12/17/les-restaurateurs-assommes-par-les-nouvelles-restrictions-sanitaires-1,2021-12-18 10:31:45,national
Saguenay,"""premier ministre""",3,Le Quotidien,Une autre «tuile incroyable» sur la tête des commerçants,2021-12-17,1,https://www.lequotidien.com/2021/12/17/une-autre-tuile-incroyable-sur-la-tete-des-commercants-89e9ec962fd98d13722630c9b8d9f1f9,2021-12-18 10:31:45,national
Saguenay,"""premier ministre""",4,Le Journal de Québec,"COVID-19: 2386 nouveaux cas, quatre décès et hausse des hospitalisations au Québec",2021-12-15,3,https://www.journaldequebec.com/2021/12/15/covid-19-le-ministre-dube-annonce-que-le-bilan-salourdit-de-2300-cas-au-quebec,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",5,ICI.Radio-Canada.ca,53 cas de COVID-19 s'ajoutent au Saguenay-Lac-Saint-Jean | Coronavirus,2021-12-16,2,http://ici.radio-canada.ca/nouvelle/1848036/ciusss-bilan-augmentation-cornavirus-jeudi,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",6,Le Journal de Québec,COVID-19: 3768 nouveaux cas et 7 décès au Québec,2021-12-17,1,https://www.journaldequebec.com/2021/12/17/3768-nouveaux-cas-au-quebec-1,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",7,ICI.Radio-Canada.ca,28 CPE en grève générale illimitée au Saguenay-Lac-Saint-Jean,2021-11-30,18,https://ici.radio-canada.ca/nouvelle/1843926/centres-petite-enfance-enfants,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",8,TVA Nouvelles,Les développements sur la COVID du 17 décembre 2021,2021-12-17,1,https://www.tvanouvelles.ca/2021/12/17/en-direct--les-derniers-developpements-sur-la-covid-19,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",9,ICI.Radio-Canada.ca,Les Saguenéens confirment le départ de Marc Denis,2021-11-18,30,https://ici.radio-canada.ca/nouvelle/1840985/comite-hockey-quebec-chicoutimi-gestionnaires,2021-12-18 10:31:46,national
Saguenay,"""premier ministre""",10,ICI.Radio-Canada.ca,Faut-il prolonger la fermeture des écoles après les fêtes de fin d'année? | Coronavirus : Ontario,2021-12-18,0,https://ici.radio-canada.ca/nouvelle/1848358/fermeture-ecoles-apres-fetes-variant-omicron-eclosion-parents,2021-12-18 10:31:47,national
