Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Henri,"""premier ministre""",1,Le Progrès de Coaticook,Urgence de Coaticook: le maire de Martinville écrit au premier ministre Legault,2021-12-16,2,https://www.leprogres.net/2021/12/16/urgence-de-coaticook-le-maire-de-martinville-ecrit-au-premier-ministre-legault/,2021-12-18 10:41:42,national
Saint-Henri,"""premier ministre""",2,ICI.Radio-Canada.ca,Un comité exécutif majoritairement féminin à la Ville de Montréal,2021-11-24,24,https://ici.radio-canada.ca/nouvelle/1842259/nomination-conseil-executif-montreal-valerie-plante-femme-diversite,2021-12-18 10:41:42,national
Saint-Henri,"""premier ministre""",3,Radio-Canada.ca,Les libéraux prêts pour la bataille de Marie-Victorin,2021-11-28,20,https://ici.radio-canada.ca/nouvelle/1843269/emilie-nolet-candidate-liberale-marie-victorin-longueuil,2021-12-18 10:41:42,national
Saint-Henri,"""premier ministre""",4,CIMT-CHAU,Une entrée remarquée pour Le Club Med Québec-Charlevoix,2021-11-29,19,https://cimtchau.ca/nouvelles/une-entree-remarquee-pour-le-club-med-quebec-charlevoix/,2021-12-18 10:41:43,national
Saint-Henri,"""premier ministre""",5,La Presse,"Le prolongement de l'A19 lancé | « Une question de volonté politique », dit Bonnardel",2021-11-19,29,https://www.lapresse.ca/actualites/2021-11-19/le-prolongement-de-l-a19-lance/une-question-de-volonte-politique-dit-bonnardel.php,2021-12-18 10:41:43,national
Saint-Henri,"""premier ministre""",6,Mon Matane,Éphémérides du 12 décembre : Matane dit oui à l'aménagement de la promenade des Capitaines en 1990,2021-12-12,6,https://monmatane.com/ephemerides-du-12-decembre-matane-dit-oui-a-lamenagement-de-la-promenade-des-capitaines-en-1990/,2021-12-18 10:41:43,national
Saint-Henri,"""premier ministre""",7,Le Journal de Montréal,Claude Raymond veut que son fonds lui survive,2021-11-27,21,https://www.journaldemontreal.com/2021/11/27/claude-raymond-veut-que-son-fonds-lui-survive,2021-12-18 10:41:43,national
Saint-Henri,"""premier ministre""",8,Plume Libre Montcalm,Messieurs Allart et Girard partent en croisade contre le MTQ,2021-11-24,24,https://plumelibre.ca/index.php/toutes-les-municipalites/7206-messieurs-allard-et-girard-partent-en-croisade-contre-le-mtq,2021-12-18 10:41:43,national
Saint-Henri,"""premier ministre""",9,La Presse,Hausse des cas en Estrie | « On ne voudrait pas vivre ce que vivent les Européens »,2021-11-25,23,https://www.lapresse.ca/covid-19/2021-11-25/hausse-des-cas-en-estrie/on-ne-voudrait-pas-vivre-ce-que-vivent-les-europeens.php,2021-12-18 10:41:44,national
Saint-Henri,"""premier ministre""",10,Mon Matane,Éphémérides du 18 juin : le premier ministre Jean Lesage annonce en 1965 que la CIP construira une cartonnerie,2021-06-18,183,https://monmatane.com/ephemerides-du-18-juin-le-premier-ministre-jean-lesage-annonce-en-1965-que-la-cip-construira-une-cartonnerie/,2021-12-18 10:41:44,national
Saint-Henri,"""premier ministre""",11,Le Soleil,Les raccourcis du premier ministre | Points de vue | Opinions,2021-10-28,51,https://www.lesoleil.com/2021/10/28/les-raccourcis-du-premier-ministre-916ca82174c70724f435ec8e30143fa6,2021-12-18 10:41:44,national
Saint-Henri,"""premier ministre""",12,Le Soleil - Groupe Capitales Médias,Perquisition visant le crime organisé à Saint-Henri de Lévis,2021-10-08,71,https://www.lesoleil.com/2021/10/08/perquisition-visant-le-crime-organise-a-saint-henri-de-levis-4a20f349d2657c25c47e1ecba7ca2a76,2021-12-18 10:41:44,national
Saint-Henri,"""premier ministre""",13,Le Soleil - Groupe Capitales Médias,Japon: l'impopulaire premier ministre Yoshihide Suga va jeter l'éponge,2021-09-03,106,https://www.lesoleil.com/2021/09/03/japon-limpopulaire-premier-ministre-yoshihide-suga-va-jeter-leponge-13fa1b3237ba5d98f4312767df421b28,2021-12-18 10:41:44,national
Saint-Henri,"""premier ministre""",14,La Presse,102 locataires évacués | Un mort et sept blessés dans l'incendie d'un HLM,2021-04-11,251,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-04-11/102-locataires-evacues/un-mort-et-sept-blesses-dans-l-incendie-d-un-hlm.php,2021-12-18 10:41:45,national
