Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Hyacinthe,"""premier ministre""",1,La Voix de l'est,"Les Inouk et les Bisons pourront jouer, mais pas les jeunes du «simple lettre»",2021-12-17,1,https://www.lavoixdelest.ca/2021/12/17/les-inouk-et-les-bisons-pourront-jouer-mais-pas-les-jeunes-du-simple-lettre-2855fb4b170a4cb565a92d0bcf793174,2021-12-18 10:45:07,national
Saint-Hyacinthe,"""premier ministre""",2,La Releve,La zoothérapie et Spiderman à la rescousse de la vaccination des 5 à 11 ans dans la région!,2021-12-10,8,https://www.lareleve.qc.ca/2021/12/10/la-zootherapie-et-spiderman-a-la-rescousse-de-la-vaccination-des-5-a-11-ans-dans-la-region/,2021-12-18 10:45:07,national
Saint-Hyacinthe,"""premier ministre""",3,Le Devoir,Un don historique d'oeuvres pour le futur Espace Riopelle,2021-12-03,15,https://www.ledevoir.com/culture/arts-visuels/651390/un-don-historique-d-oeuvres-pour-le-futur-espace-riopelle,2021-12-18 10:45:07,national
Saint-Hyacinthe,"""premier ministre""",4,Le Journal de Montréal,Saint-Hyacinthe: un homme sauvé après avoir chuté d'un pont,2021-07-24,147,https://www.journaldemontreal.com/2021/07/24/saint-hyacinthe-un-homme-sauve-apres-avoir-chute-dun-pont-1,2021-12-18 10:45:07,national
Saint-Hyacinthe,"""premier ministre""",5,ICI.Radio-Canada.ca,Construire une usine ou protéger la terre? Le choix difficile des villes du Québec | Élections municipales au Québec 2021,2021-10-31,48,https://ici.radio-canada.ca/nouvelle/1834235/agriculture-protection-territoire-villes-developpement-elections,2021-12-18 10:45:07,national
Saint-Hyacinthe,"""premier ministre""",6,Le Journal de Montréal,Une femme de 54 ans meurt lors d'une agression armée aux Galeries St-Hyacinthe,2021-08-11,129,https://www.journaldemontreal.com/2021/08/11/importante-operation-policiere-aux-galeries-st-hyacinthe-apres-une-agression-armee-1,2021-12-18 10:45:08,national
Saint-Hyacinthe,"""premier ministre""",7,Le Nouvelliste,"Pour les 37 000 places en garderie, ça prendra près de 18 000 nouvelles éducatrices [VIDÉO]",2021-10-21,58,https://www.lenouvelliste.ca/2021/10/21/pour-les-37-000-places-en-garderie-ca-prendra-pres-de-18-000-nouvelles-educatrices-video-91bf0f68038cb0f3a4908f3dd7bd4e8f,2021-12-18 10:45:08,national
Saint-Hyacinthe,"""premier ministre""",8,La Voix de l'est - Groupe Capitales Médias,Les candidats dans Saint-Hyacinthe—Bagot | Actualités,2021-08-16,124,https://www.lavoixdelest.ca/2021/08/16/les-candidats-dans-saint-hyacinthebagot-0ab802ae305edcf431aa63fa9baf18d2,2021-12-18 10:45:08,national
Saint-Hyacinthe,"""premier ministre""",9,Le Nouvelliste - Groupe Capitales Médias,Séisme en Haïti: le premier ministre Justin Trudeau offre son aide,2021-08-14,126,https://www.lenouvelliste.ca/2021/08/14/seisme-en-haiti-le-premier-ministre-justin-trudeau-offre-son-aide-a52979365a57920ebc4ec03dbcfaa6c5,2021-12-18 10:45:08,national
Saint-Hyacinthe,"""premier ministre""",10,Radio-Canada.ca,Comme Churchill en 1945?,2021-05-03,229,https://ici.radio-canada.ca/nouvelle/1789774/auger-michelc-analyse-legault-crise-logement,2021-12-18 10:45:09,national
Saint-Hyacinthe,"""premier ministre""",11,Le Nouvelliste,"François Legault de passage à Shawinigan: «Pleurer sur notre sort ne change pas grand-chose», dit Angers",2021-11-12,36,https://www.lenouvelliste.ca/2021/11/12/francois-legault-de-passage-a-shawinigan-pleurer-sur-notre-sort-ne-change-pas-grand-chose-dit-angers-c5fd3c28302ff6445177dfc8b24384bf,2021-12-18 10:45:09,national
Saint-Hyacinthe,"""premier ministre""",12,Le Placoteux,Placotons... Quand Saint-Hyacinthe tire la couverte… - Journal Le Placoteux,2021-05-31,201,https://leplacoteux.com/placotons-quand-saint-hyacinthe-tire-la-couverte/,2021-12-18 10:45:09,national
Saint-Hyacinthe,"""premier ministre""",13,TVA Nouvelles,Dossier Exceldor à Saint-Hyacinthe: la CPTAQ courbera-t-elle l'échine?,2021-08-02,138,https://www.tvanouvelles.ca/2021/08/02/dossier-exceldor-a-saint-hyacinthe-la-cptaq-courbera-t-elle-lechine-1,2021-12-18 10:45:09,national
Saint-Hyacinthe,"""premier ministre""",14,Le Soleil - Groupe Capitales Médias,«Tu es ridicule»: la page Facebook de François Legault monopolisée par ses détracteurs,2021-03-20,273,https://www.lesoleil.com/2021/03/20/tu-es-ridicule-la-page-facebook-de-francois-legault-monopolisee-par-ses-detracteurs-5bf901710340987382ef0eadc20cbe00,2021-12-18 10:45:09,national
Saint-Hyacinthe,"""premier ministre""",15,Le Devoir,Le rôle de la Commission de protection du territoire agricole à Saint-Hyacinthe,2021-08-09,131,https://www.ledevoir.com/opinion/idees/623625/agriculture-le-role-de-la-commission-de-protection-du-territoire-agricole-a-saint-hyacinthe,2021-12-18 10:45:10,national
Saint-Hyacinthe,"""premier ministre""",16,iHeartRadio,Exceldor pourra installer son abattoir à Saint-Hyacinthe,2021-09-23,86,https://www.iheartradio.ca/boom/boom-1041/nouvelles/exceldor-pourra-installer-son-abattoir-a-saint-hyacinthe-1.16135697,2021-12-18 10:45:10,national
Saint-Hyacinthe,"""premier ministre""",17,Le Journal de Québec,GNL Québec: des citations qui prouvent que le gouvernement a complètement changé d'idée,2021-07-21,150,https://www.journaldequebec.com/2021/07/21/gnl-quebec-des-citations-qui-prouvent-que-le-gouvernement-a-completement-change-didee-1,2021-12-18 10:45:10,national
Saint-Hyacinthe,"""premier ministre""",18,Le Nouvelliste,François Legault à Trois-Rivières : une main tendue à la Mauricie,2021-11-15,33,https://www.lenouvelliste.ca/2021/11/15/francois-legault-a-trois-rivieres--une-main-tendue-a-la-mauricie-8b668f56d61195d54fddf2f0a05cbeb6,2021-12-18 10:45:10,national
Saint-Hyacinthe,"""premier ministre""",19,Le Journal de Montréal,Conflit de travail chez Exceldor: plus de quatre millions de repas de poulet jetés aux poubelles,2021-06-17,184,https://www.journaldemontreal.com/2021/06/17/conflit-de-travail-plus-de-quatre-millions-de-repas-de-poulet-jetes-aux-poubelles,2021-12-18 10:45:10,national
Saint-Hyacinthe,"""premier ministre""",20,La Presse,Parce que nous sommes les meilleurs | La Presse,2021-07-12,159,https://www.lapresse.ca/debats/opinions/2021-07-12/parce-que-nous-sommes-les-meilleurs.php,2021-12-18 10:45:11,national
Saint-Hyacinthe,"""premier ministre""",21,Le Nouvelliste,Le ministre Champagne veut être au cœur de la relance,2021-10-26,53,https://www.lenouvelliste.ca/2021/10/26/le-ministre-champagne-veut-etre-au-cur-de-la-relance-0c6d16936489e88c6ddcd5d830dbd8ed,2021-12-18 10:45:11,national
Saint-Hyacinthe,"""premier ministre""",22,Le Nouvelliste - Groupe Capitales Médias,Un Québécois sur trois restera en rouge [VIDÉO],2021-05-25,207,https://www.lenouvelliste.ca/2021/05/25/un-quebecois-sur-trois-restera-en-rouge-video-ab7e5fc879771a62ba240d1db0062333,2021-12-18 10:45:11,national
Saint-Hyacinthe,"""premier ministre""",23,Le Journal de Québec,"Réforme du scrutin: comparer Legault et Trudeau est «grave», selon Jolin-Barrette",2021-10-07,72,https://www.journaldequebec.com/2021/10/07/reforme-du-scrutin-comparer-legault-et-trudeau-est-grave-selon-jolin-barrette,2021-12-18 10:45:11,national
Saint-Hyacinthe,"""premier ministre""",24,Le Journal de Québec,Le premier ministre François Legault sur le terrain à Mascouche,2021-06-22,179,https://www.journaldequebec.com/2021/06/22/le-premier-ministre-francois-legault-sur-le-terrain-a-mascouche-1,2021-12-18 10:45:11,national
Saint-Hyacinthe,"""premier ministre""",25,Le Placoteux,Paramédics : Encore un peu de patience pour les horaires de faction,2021-11-01,47,https://leplacoteux.com/paramedics-encore-un-peu-de-patience-pour-les-horaires-de-faction/,2021-12-18 10:45:12,national
Saint-Hyacinthe,climat,1,La Presse,Usine d'abattage d'Exceldor | La pénurie de main-d'œuvre force une hausse de salaires,2021-11-26,22,https://www.lapresse.ca/affaires/entreprises/2021-11-26/usine-d-abattage-d-exceldor/la-penurie-de-main-d-oeuvre-force-une-hausse-de-salaires.php,2021-12-18 10:45:46,national
