Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Rémi,élection OR campagne,1,Coup d'Oeil,Une vente de paniers de Noël au profit de Vents d'espoir - Coup d'œil,2021-12-12,6,https://www.coupdoeil.info/2021/12/12/une-vente-de-paniers-de-noel-au-profit-de-vents-despoir/,2021-12-18 10:19:30,mixte
Saint-Rémi,élection OR campagne,2,Ouest-France,"Saint-Rémy. Ils ont imaginé Le Gisement, un projet autour de l’emploi en zone rurale",2021-12-17,1,https://www.ouest-france.fr/normandie/saint-remy-14570/saint-remy-ils-ont-imagine-le-gisement-un-projet-autour-de-l-emploi-en-zone-rurale-6bd1cea6-5f55-11ec-99a5-71442602a4ec,2021-12-18 10:19:30,mixte
Saint-Rémi,élection OR campagne,3,France Bleu,Les élections municipales de Saint-Rémy-de-Provence sont annulées,2021-11-22,26,https://www.francebleu.fr/infos/politique/les-elections-municipales-de-saint-remy-de-provence-sont-annulees-1637610052,2021-12-18 10:19:31,mixte
Saint-Rémi,élection OR campagne,4,Coup d'Oeil,Saint-Rémi lance une campagne de sensibilisation - Coup d'œil,2021-09-24,85,https://www.coupdoeil.info/2021/09/24/saint-remi-lance-une-campagne-de-sensibilisation/,2021-12-18 10:19:31,mixte
Saint-Rémi,élection OR campagne,5,Coup d'Oeil,Six élus de Saint-Rémi sollicitent un nouveau mandat - Coup d'œil,2021-09-14,95,https://www.coupdoeil.info/2021/09/14/six-elus-de-saint-remi-sollicitent-un-nouveau-mandat/,2021-12-18 10:19:31,mixte
Saint-Rémi,élection OR campagne,6,L'Union,"VIDÉO. La renaissance du parc Saint-Remi, à Reims",2021-11-19,29,https://www.lunion.fr/id314452/article/2021-11-19/video-la-rennaissance-du-parc-saint-remi-reims,2021-12-18 10:19:32,mixte
Saint-Rémi,élection OR campagne,7,Le Progrès,Saint-Rémy | Élection du bureau du comité des quatre clochers de la Fnaca,2021-11-30,18,https://www.leprogres.fr/societe/2021/11/30/election-du-bureau-du-comite-des-quatre-clochers-de-la-fnaca,2021-12-18 10:19:32,mixte
Saint-Rémi,élection OR campagne,8,La Voix de l'est,"Retour à l'incertitude, retour en arrière | Sports",2021-12-18,0,https://www.lavoixdelest.ca/2021/12/18/retour-a-lincertitude-retour-en-arriere-2413b1309b1079bd1534ccd058afe42e,2021-12-18 10:19:33,mixte
Saint-Rémi,élection OR campagne,9,Le Nouvelliste,New York Times et Washington Post braquent leur projecteur sur l’assassinat de Jovenel Moïse,2021-12-16,2,https://lenouvelliste.com/article/233198/new-york-times-et-washington-post-braquent-leur-projecteur-sur-lassassinat-de-jovenel-moise,2021-12-18 10:19:33,mixte
Saint-Rémi,élection OR campagne,10,La Nouvelle Union,Saint-Rémi-de-Tingwick : une deuxième tentative pour Marc Parent à la mairie,2021-10-22,57,https://www.lanouvelle.net/2021/10/22/saint-remi-de-tingwick-une-deuxieme-tentative-pour-marc-parent-a-la-mairie/,2021-12-18 10:19:33,mixte
Saint-Rémi,élection OR campagne,11,Info-chalon.com,Téléthon 2021 : Saint-Rémy fait un don de 4 535 € à l'Association française contre les myopathies - Chalon-sur-Saône et Saône et Loire,2021-12-15,3,https://www.info-chalon.com/articles/2021/12/15/66213/telethon-2021-saint-remy-fait-un-don-de-4-535-e-a-l-association-fran-aise-contre-les-myopathies/,2021-12-18 10:19:33,mixte
Saint-Rémi,élection OR campagne,12,Coup d'Oeil,Élections municipales 2021: sept candidats sur dix élus par acclamation - Coup d'œil,2021-10-06,73,https://www.coupdoeil.info/2021/10/06/elections-municipales-2021-sept-candidats-sur-dix-elus-par-acclamation/,2021-12-18 10:19:34,mixte
Saint-Rémi,élection OR campagne,13,Coup d'Oeil,Campagne de financement: des travaux de 800 000 $ pour rénover l'église de Saint-Rémi - Coup d'œil,2021-10-27,52,https://www.coupdoeil.info/2021/10/27/campagne-de-financement-des-travaux-de-800-000-pour-renover-leglise-de-saint-remi/,2021-12-18 10:19:34,mixte
Saint-Rémi,élection OR campagne,14,Le Soleil de Châteauguay,Une deuxième année sans Nez rouge à Châteauguay,2021-11-26,22,https://www.cybersoleil.com/une-deuxieme-annee-sans-nez-rouge-a-chateauguay/,2021-12-18 10:19:34,mixte
Saint-Rémi,élection OR campagne,15,L’Ardennais,"En cours de restauration, l'église de Viel-Saint-Remy ouvrira ses portes le 18 décembre",2021-12-10,8,https://www.lardennais.fr/id321769/article/2021-12-10/en-cours-de-restauration-leglise-de-viel-saint-remy-ouvrira-ses-portes-le-18,2021-12-18 10:19:35,mixte
Saint-Rémi,élection OR campagne,16,Coup d'Oeil,Les grands gagnants de la soirée - Coup d'œil,2021-11-10,38,https://www.coupdoeil.info/2021/11/10/les-grands-gagnants-de-la-soiree/,2021-12-18 10:19:35,mixte
Saint-Rémi,élection OR campagne,17,L'Union,Le centre de secours et trois sapeurs-pompiers honorés lors de la Sainte-Barbe à Saint-Remy-en-Bouzemont,2021-12-09,9,https://www.lunion.fr/id321304/article/2021-12-09/le-centre-de-secours-et-trois-sapeurs-pompiers-honores-lors-de-la-sainte-barbe,2021-12-18 10:19:35,mixte
