Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sherbrooke,élection OR campagne,1,Le Journal de Montréal,Sherbrooke: début de la distribution des Paniers de l'Espoir,2021-12-16,2,https://www.journaldemontreal.com/2021/12/16/sherbrooke-debut-de-la-distribution-des-paniers-de-lespoir-1,2021-12-18 13:10:47,mixte
Sherbrooke,élection OR campagne,2,TVA Nouvelles,Importante réforme municipale à Sherbrooke,2021-12-06,12,https://www.tvanouvelles.ca/2021/12/06/importante-reforme-municipale-a-sherbrooke,2021-12-18 13:10:47,mixte
Sherbrooke,élection OR campagne,3,La Tribune,200 familles à adopter pour Noël à Sherbrooke | Actualités,2021-11-28,20,https://www.latribune.ca/2021/11/28/200-familles-a-adopter-pour-noel-a-sherbrooke-7a1e68296b310cf6d74d6d899554cc08,2021-12-18 13:10:47,mixte
Sherbrooke,élection OR campagne,4,La Tribune,Quatre municipalités de l'Estrie de retour en élections,2021-11-25,23,https://www.latribune.ca/2021/11/25/quatre-municipalites-de-lestrie-de-retour-en-elections-e074ab0fe486563f3eaeb91cb0a2673a,2021-12-18 13:10:48,mixte
Sherbrooke,élection OR campagne,5,Le Journal de Québec,Le Drakkar rate de peu à Sherbrooke,2021-12-07,11,https://www.journaldequebec.com/2021/12/07/le-drakkar-rate-de-peu-a-sherbrooke,2021-12-18 13:10:48,mixte
Sherbrooke,élection OR campagne,6,La Tribune,La campagne de vaccination dans les écoles primaires s'organise,2021-11-24,24,https://www.latribune.ca/2021/11/24/la-campagne-de-vaccination-dans-les-ecoles-primaires-sorganise-87a3f799c5a016e13a04c0cee4dc6445,2021-12-18 13:10:48,mixte
Sherbrooke,élection OR campagne,7,ICI.Radio-Canada.ca,Nouveau conseil à Sherbrooke : apprendre à ramer dans la même direction,2021-11-19,29,https://ici.radio-canada.ca/nouvelle/1840925/berthold-kibonge-conseillers-sherbrooke-rejean-blais,2021-12-18 13:10:48,mixte
Sherbrooke,élection OR campagne,8,La Tribune,Troisième dose: une étape à la fois | Actualités,2021-12-18,0,https://www.latribune.ca/2021/12/18/troisieme-dose-une-etape-a-la-fois-e028c017b04dd0d35abe40f9b85ba576,2021-12-18 13:10:49,mixte
Sherbrooke,élection OR campagne,9,La Tribune,Élection d'Évelyne Beaudin: les syndicats voient une ouverture,2021-11-19,29,https://www.latribune.ca/2021/11/19/election-develyne-beaudin-les-syndicats-voient-une-ouverture-a6fe75621a242d43a604ea8725c39d35,2021-12-18 13:10:49,mixte
Sherbrooke,élection OR campagne,10,La Tribune,Les stocks de tests rapides seront limités | COVID-19,2021-12-18,0,https://www.latribune.ca/2021/12/18/les-stocks-de-tests-rapides-seront-limites-e97d1641147b5f522e63fcd442914ee3,2021-12-18 13:10:49,mixte
