Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Stoneham,accident,1,ICI.Radio-Canada.ca,Mort du skieur Philippe Verreault à Stoneham : le chauffard plaide coupable,2021-10-26,53,https://ici.radio-canada.ca/nouvelle/1834602/francois-levasseur-coupable-conduite-facultes-affaiblies-stoneham-philippe-verreault-ski,2021-12-18 12:20:15,local
Stoneham,accident,2,ICI.Radio-Canada.ca,Une personne lutte pour sa vie après une embardée à Saint-Gabriel-de-Valcartier,2021-07-19,152,https://ici.radio-canada.ca/nouvelle/1810216/accident-moto-saint-gabriel-valcartier-surete-quebec-equerres,2021-12-18 12:20:15,local
Stoneham,accident,3,Le Journal de Québec,Camping Stoneham: des policiers sous enquête après une fête qui a dégénéré,2021-08-26,114,https://www.journaldequebec.com/2021/08/26/camping-stoneham-des-policiers-sous-enquete-apres-une-fete-qui-a-degenere,2021-12-18 12:20:15,local
Stoneham,accident,4,Zone911,Incendie majeur dans une résidence de Stoneham - Actualités - ZONE911 (média collaboratif),2021-04-10,252,https://zone911.com/incendies/30659-incendie-majeur-dans-une-residence-de-stoneham,2021-12-18 12:20:15,local
Stoneham,accident,5,Zone911,"Accident dans la Réserve faunique des Laurentides, route 175",2021-11-16,32,https://zone911.com/accidents/31897-accident-dans-la-reserve-faunique-des-laurentides-route-176-kilometre-89-parc,2021-12-18 12:20:16,local
Stoneham,accident,6,Le Journal de Québec,Stoneham: jeune chauffard accusé,,,https://www.journaldequebec.com/2020/08/07/deces-de-philippe-verreault-a-stoneham-le-conducteur-arrete,2021-12-18 12:20:16,local
Stoneham,accident,7,ICI.Radio-Canada.ca,Un chauffard en état d'ébriété arrêté après 20 km en sens inverse,2021-08-22,118,https://ici.radio-canada.ca/nouvelle/1818398/arrestation-conduite-dangereuse-sens-inverse-stoneham,2021-12-18 12:20:16,local
Stoneham,accident,8,Le Soleil - Groupe Capitales Médias,Piéton happé mortellement à Stoneham: le conducteur arrêté,,,https://www.lesoleil.com/2020/08/07/pieton-happe-mortellement-a-stoneham-le-conducteur-arrete-b55222d9c77f4c4137e4975db0de2aaf,2021-12-18 12:20:16,local
Stoneham,accident,9,Le Journal de Québec,"Quartiers d'ici: Stoneham, le rêve!",2021-11-15,33,https://www.journaldequebec.com/2021/11/15/quartiers-dici-stoneham-le-reve,2021-12-18 12:20:16,local
Stoneham,accident,10,ICI.Radio-Canada.ca,Le conducteur accusé d'avoir causé la mort du skieur de Stoneham remis en liberté,,,https://ici.radio-canada.ca/nouvelle/1725575/conducteur-accusations-mort-philippe-verreault-remise-en-liberte-skieur-stoneham,2021-12-18 12:20:17,local
Stoneham,accident,11,ICI.Radio-Canada.ca,"Un chauffard de 20 ans percute un poteau, fuit et écope de 9 points d'inaptitude",2021-07-29,142,https://ici.radio-canada.ca/nouvelle/1812743/chauffard-poteau-hydro-quebec-quebec-chemin-saint-louis,2021-12-18 12:20:17,local
Stoneham,accident,12,Québec Hebdo,Accident mortel en VTT à Stoneham,,,https://www.quebechebdo.com/faits-divers/204099/accident-mortel-en-vtt-a-stoneham/,2021-12-18 12:20:17,local
Stoneham,accident,13,Le Journal de Québec,Stoneham-et-Tewkesbury: Sébastien Couture élu maire,2021-11-07,41,https://www.journaldequebec.com/2021/11/07/stoneham-et-tewkesbury--sebastien-couture-elu-maire,2021-12-18 12:20:17,local
Stoneham,accident,14,Le Journal de Québec,Mère et fille candidates aux élections municipales dans Stoneham,2021-10-24,55,https://www.journaldequebec.com/2021/10/24/mere-et-fille-candidates-aux-elections-municipales-dans-stoneham,2021-12-18 12:20:17,local
Stoneham,accident,15,ICI.Radio-Canada.ca,Mort du skieur de Stoneham : Levasseur accusé de conduite avec facultés affaiblies,,,https://ici.radio-canada.ca/nouvelle/1724986/arrestation-conducteur-francois-levasseur-mort-philippe-verreault-stoneham,2021-12-18 12:20:18,local
Stoneham,accident,16,Le Journal de Québec,Collisions mortelles à Stoneham et Sainte-Croix: l'identité des deux victimes est connue,,,https://www.journaldequebec.com/2019/01/24/deux-importantes-collisions-surviennent-a-stoneham-et-a-sainte-croix,2021-12-18 12:20:18,local
Stoneham,accident,17,Le Journal de Québec,Jeune chauffard remis en liberté,,,https://www.journaldequebec.com/2020/08/10/mort-de-philippe-verreault-a-stoneham-le-jeune-chauffard-remis-en-liberte,2021-12-18 12:20:18,local
