Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Trois-Rivières,accident,1,Le Nouvelliste,Accident à Shawinigan: l'identité de la victime connue,2021-12-16,2,https://www.lenouvelliste.ca/2021/12/16/accident-a-shawinigan-lidentite-de-la-victime-connue-d308587631505834140a7886619d9d70,2021-12-18 12:36:11,local
Trois-Rivières,accident,2,Le Nouvelliste,Bécancour: cinq véhicules dans un accident sur le boulevard des Acadiens,2021-12-03,15,https://www.lenouvelliste.ca/2021/12/03/becancour-cinq-vehicules-dans-un-accident-sur-le-boulevard-des-acadiens-8f48337ff99388c3693dc3e2158e6818,2021-12-18 12:36:11,local
Trois-Rivières,accident,3,Le Nouvelliste,Accident à Saint-Narcisse: l'identité de la victime dévoilée,2021-12-13,5,https://www.lenouvelliste.ca/2021/12/13/accident-a-saint-narcisse-lidentite-de-la-victime-devoilee-ee9abaa4791f213da965ebd11debf59e,2021-12-18 12:36:11,local
Trois-Rivières,accident,4,Le Nouvelliste,"L'accident, le pardon et l'amitié | Isabelle Légaré | Chroniques",2021-11-20,28,https://www.lenouvelliste.ca/2021/11/20/laccident-le-pardon-et-lamitie-89ae998bcdcf8fac25fb742fb7e7c330,2021-12-18 12:36:11,local
Trois-Rivières,accident,5,Le Nouvelliste - Groupe Capitales Médias,Collision entre deux véhicules sur l'autoroute 40 à Trois-Rivières,2021-10-01,78,https://www.lenouvelliste.ca/2021/10/01/collision-entre-deux-vehicules-sur-lautoroute-40-a-trois-rivieres-795e2b8c8661a32f0ddb499b23eef3e7,2021-12-18 12:36:12,local
Trois-Rivières,accident,6,Le Nouvelliste - Groupe Capitales Médias,Un troisième accident mortel depuis le début du long congé,2021-10-10,69,https://www.lenouvelliste.ca/2021/10/10/un-troisieme-accident-mortel-depuis-le-debut-du-long-conge-71c112b379dbd5515048863b833d156c,2021-12-18 12:36:12,local
Trois-Rivières,accident,7,Le Nouvelliste - Groupe Capitales Médias,Accident sur la rue Notre-Dame Ouest: l'alcool en cause,2021-08-12,128,https://www.lenouvelliste.ca/2021/08/12/accident-sur-la-rue-notre-dame-ouest-lalcool-en-cause-6be7d18900d6aca516e4ed71df5bbe6a,2021-12-18 12:36:12,local
Trois-Rivières,accident,8,TVA Nouvelles,Une autre victime de la «pire courbe de Marieville»,2021-12-02,16,https://www.tvanouvelles.ca/2021/12/02/une-femme-de-18-ans-entre-la-vie-et-la-mort,2021-12-18 12:36:12,local
Trois-Rivières,accident,9,Le Nouvelliste - Groupe Capitales Médias,"Deux morts, trois blessés graves dans deux accidents au Centre-du-Québec",2021-08-15,125,https://www.lenouvelliste.ca/2021/08/15/deux-morts-trois-blesses-graves-dans-deux-accidents-au-centre-du-quebec-6a4853b255872242d578bd63a1525a7c,2021-12-18 12:36:12,local
Trois-Rivières,accident,10,Le Nouvelliste,Accident sur l'autoroute 40: un remorqueur perd la vie,2021-11-15,33,https://www.lenouvelliste.ca/2021/11/15/accident-sur-lautoroute-40-un-remorqueur-perd-la-vie-16fdb871f472d6ec04b3f4447990be22,2021-12-18 12:36:13,local
Trois-Rivières,accident,11,L'Union,Trois -Rivières : la délicate gestion de l'eau soumise à tous les imprévus,2021-12-16,2,https://www.lunion.fr/id323838/article/2021-12-16/trois-rivieres-la-delicate-gestion-de-leau-soumise-tous-les-imprevus,2021-12-18 12:36:13,local
Trois-Rivières,accident,12,Zone911,Un motocycliste a perdu la vie dans un accident à Trois-Rivières,2021-06-26,175,https://zone911.com/accidents/31037-un-motocycliste-a-perdu-la-vie-dans-un-accident-a-trois-rivieres,2021-12-18 12:36:13,local
Trois-Rivières,accident,13,Le Nouvelliste - Groupe Capitales Médias,Accident mortel sur l'autoroute 55 | Justice et faits divers | Actualités,2021-04-25,237,https://www.lenouvelliste.ca/2021/04/25/accident-mortel-sur-lautoroute-55-dc05834b9984ceb187aa610e975363d7,2021-12-18 12:36:13,local
Trois-Rivières,accident,14,Le Nouvelliste - Groupe Capitales Médias,Accident à Yamachiche: une femme entre la vie et la mort,2021-10-08,71,https://www.lenouvelliste.ca/2021/10/08/accident-a-yamachiche-une-femme-entre-la-vie-et-la-mort-472a7b8b62c03dd897a43d0fafbea03e,2021-12-18 12:36:13,local
Trois-Rivières,accident,15,Le Nouvelliste - Groupe Capitales Médias,Collision grave entre une motocyclette et un orignal à Bécancour,2021-09-25,84,https://www.lenouvelliste.ca/2021/09/25/collision-grave-entre-une-motocyclette-et-un-orignal-a-becancour-3202fecfce4425910671f9d7ff1642a3,2021-12-18 12:36:14,local
Trois-Rivières,accident,16,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: deux automobilistes perdent la vie,2021-03-23,270,https://www.lenouvelliste.ca/2021/03/23/accident-a-becancour-deux-automobilistes-perdent-la-vie-976706d0c4f903fc20d98f1875773284,2021-12-18 12:36:14,local
Trois-Rivières,accident,17,Outre-mer la 1ère,Trois-Rivières : décès d'un jeune homme de Sainte-Rose - Guadeloupe la 1ère,2021-11-24,24,https://la1ere.francetvinfo.fr/guadeloupe/trois-rivieres-deces-d-un-jeune-homme-de-sainte-rose-1162138.html,2021-12-18 12:36:14,local
Trois-Rivières,accident,18,Le Nouvelliste - Groupe Capitales Médias,Un piéton happé à Trois-Rivières | Justice et faits divers | Actualités,2021-07-10,161,https://www.lenouvelliste.ca/2021/07/10/un-pieton-happe-a-trois-rivieres-77130079461c05566c6d78e5e558a420,2021-12-18 12:36:15,local
Trois-Rivières,accident,19,Le Nouvelliste - Groupe Capitales Médias,Spectaculaire accident sans conséquence grave à Gentilly | Justice et faits divers | Actualités,2021-09-30,79,https://www.lenouvelliste.ca/2021/09/30/spectaculaire-accident-sans-consequence-grave-a-gentilly-74e0ccf0fdc49f1d25c1d2e8f62bd05b,2021-12-18 12:36:15,local
Trois-Rivières,accident,20,Le Nouvelliste - Groupe Capitales Médias,Collision frontale sur l'autoroute 30: un homme de 39 ans perd la vie,2021-10-09,70,https://www.lenouvelliste.ca/2021/10/09/collision-frontale-sur-lautoroute-30-un-homme-de-39-ans-perd-la-vie-048c91f5caf7229f9285e9321324d415,2021-12-18 12:36:15,local
Trois-Rivières,accident,21,Le Nouvelliste,Les ailes de Patrick | Denis Gratton | Chroniques,2021-12-18,0,https://www.lenouvelliste.ca/2021/12/18/les-ailes-de-patrick-31ffdf99d9b78d93d75f358a0421c98c,2021-12-18 12:36:15,local
Trois-Rivières,accident,22,Le Nouvelliste - Groupe Capitales Médias,Un conducteur perd la vie après une sortie de route à Saint-Célestin,2021-10-04,75,https://www.lenouvelliste.ca/2021/10/04/un-conducteur-perd-la-vie-apres-une-sortie-de-route-a-saint-celestin-98e666437a68f5566f62e90699cdbfc3,2021-12-18 12:36:15,local
Trois-Rivières,accident,23,Le Journal de Montréal,Une piétonne gravement blessée dans un accident à Shawinigan,2021-08-27,113,https://www.journaldemontreal.com/2021/08/27/une-pietonne-gravement-blessee-dans-un-accident-a-shawinigan,2021-12-18 12:36:15,local
Trois-Rivières,accident,24,Le Nouvelliste - Groupe Capitales Médias,Grave accident de moto à Grandes-Piles | Justice et faits divers | Actualités,2021-08-17,123,https://www.lenouvelliste.ca/2021/08/17/grave-accident-de-moto-a-grandes-piles-afc380a70403b40b652f0d9dfa01e87c,2021-12-18 12:36:16,local
Trois-Rivières,accident,25,La Tribune,Un Challenge qui ne sourit généralement pas aux Cantonniers,2021-12-18,0,https://www.latribune.ca/2021/12/18/un-challenge-qui-ne-sourit-generalement-pas-aux-cantonniers-65a8ea6f328bfeddedb36b2e2710e046,2021-12-18 12:36:16,local
Trois-Rivières,décès OR mort,1,NecrologieCanada,Brissette Mme Manon 2021,2021-12-18,0,https://necrocanada.com/deces-2021/brissette-mme-manon-2021/,2021-12-18 12:36:55,local
Trois-Rivières,décès OR mort,2,Le Nouvelliste,COVID-19: un nouveau décès dans la région | COVID-19 | Actualités,2021-12-06,12,https://www.lenouvelliste.ca/2021/12/06/covid-19-un-nouveau-deces-dans-la-region-746c07493956c9d30ec95c3b1ac30d54,2021-12-18 12:36:56,local
Trois-Rivières,décès OR mort,3,NecrologieCanada,Dauphinais Genevieve 19492021,2021-12-17,1,https://necrocanada.com/deces-2021/dauphinais-genevieve-19492021/,2021-12-18 12:36:56,local
Trois-Rivières,décès OR mort,4,Radio-Canada.ca,Pas de libération conditionnelle avant 13 ans pour la belle-mère de la fillette de Granby,2021-12-17,1,https://ici.radio-canada.ca/nouvelle/1848303/representations-belle-mere-coupable-sequestration-meurtre-deuxieme-degre,2021-12-18 12:36:56,local
Trois-Rivières,décès OR mort,5,Le Nouvelliste,Décès de l'auteur Paul Rousseau | Arts,2021-11-27,21,https://www.lenouvelliste.ca/2021/11/27/deces-de-lauteur-paul-rousseau-34f6c54d0f2bd513ca169ba1b2128b8f,2021-12-18 12:36:56,local
Trois-Rivières,décès OR mort,6,Le Nouvelliste,Décès de l'artiste en arts visuels Aline Beaudoin,2021-11-24,24,https://www.lenouvelliste.ca/2021/11/24/deces-de-lartiste-en-arts-visuels-aline-beaudoin-014f99ae8754987718938f5579c207d8,2021-12-18 12:36:57,local
Trois-Rivières,décès OR mort,7,NecrologieCanada,Beaudoin Bernard 19502021,2021-12-17,1,https://necrocanada.com/deces-2021/beaudoin-bernard-19502021/,2021-12-18 12:36:57,local
Trois-Rivières,décès OR mort,8,Le Nouvelliste,Décès de la romancière Anne Rice | Arts,2021-12-12,6,https://www.lenouvelliste.ca/2021/12/12/deces-de-la-romanciere-anne-rice-27d556c331513fe4d2e37e8004cdaeb8,2021-12-18 12:36:57,local
Trois-Rivières,décès OR mort,9,Le Nouvelliste,Décès de Michael Nesmith des Monkees | Arts,2021-12-10,8,https://www.lenouvelliste.ca/2021/12/10/deces-de-michael-nesmith-des-monkees-857e434521c75a304a87aca28aca5cfe,2021-12-18 12:36:57,local
Trois-Rivières,décès OR mort,10,NecrologieCanada,Brousseau Yvon 1949 2021,2021-12-01,17,https://necrocanada.com/deces-2021/brousseau-yvon-1949-2021/,2021-12-18 12:36:57,local
Trois-Rivières,décès OR mort,11,Le Nouvelliste,Les ailes de Patrick | Denis Gratton | Chroniques,2021-12-18,0,https://www.lenouvelliste.ca/2021/12/18/les-ailes-de-patrick-31ffdf99d9b78d93d75f358a0421c98c,2021-12-18 12:36:58,local
Trois-Rivières,décès OR mort,12,NecrologieCanada,Marcel Boucher 1940 2021,2021-12-17,1,https://necrocanada.com/deces-2021/marcel-boucher-1940-2021/,2021-12-18 12:36:58,local
Trois-Rivières,décès OR mort,13,Outre-mer la 1ère,Trois-Rivières : décès d'un jeune homme de Sainte-Rose - Guadeloupe la 1ère,2021-11-24,24,https://la1ere.francetvinfo.fr/guadeloupe/trois-rivieres-deces-d-un-jeune-homme-de-sainte-rose-1162138.html,2021-12-18 12:36:58,local
Trois-Rivières,décès OR mort,14,Le Nouvelliste,Décès de la romancière Maryse Wolinski | Arts,2021-12-09,9,https://www.lenouvelliste.ca/2021/12/09/deces-de-la-romanciere-maryse-wolinski-7edd1306e4f84e6bcb045c31c16f4e0a,2021-12-18 12:36:59,local
Trois-Rivières,décès OR mort,15,NecrologieCanada,Bergeron Jean B 1933 2021,2021-12-14,4,https://necrocanada.com/deces-2021/bergeron-jean-b-1933-2021/,2021-12-18 12:36:59,local
Trois-Rivières,décès OR mort,16,L'Écho de Maskinongé,Bryan Audet chante Michel Louvain,2021-12-17,1,https://www.lechodemaskinonge.com/culture/bryan-audet-chante-michel-louvain/,2021-12-18 12:36:59,local
Trois-Rivières,décès OR mort,17,NecrologieCanada,Girard Denis 19502021,2021-11-19,29,https://necrocanada.com/deces-2021/girard-denis-19502021/,2021-12-18 12:36:59,local
Trois-Rivières,décès OR mort,18,NecrologieCanada,Chagnon Mme Therese 2021,2021-11-19,29,https://necrocanada.com/deces-2021/chagnon-mme-therese-2021/,2021-12-18 12:37:00,local
Trois-Rivières,décès OR mort,19,Le Nouvelliste,Andres Felipe Gil Blanco: fuir la mort puis sauver des vies [VIDÉO],2021-12-13,5,https://www.lenouvelliste.ca/2021/12/13/andres-felipe-gil-blanco-fuir-la-mort-puis-sauver-des-vies-video-f269eaf625a95b5753b2a13bf0afc5b0,2021-12-18 12:37:00,local
Trois-Rivières,décès OR mort,20,NecrologieCanada,Masse Mme Raymonde 2021,2021-12-07,11,https://necrocanada.com/deces-2021/masse-mme-raymonde-2021/,2021-12-18 12:37:00,local
Trois-Rivières,décès OR mort,21,NecrologieCanada,Arsenault Jeanne 19332021,2021-12-06,12,https://necrocanada.com/deces-2021/arsenault-jeanne-19332021/,2021-12-18 12:37:00,local
Trois-Rivières,décès OR mort,22,NecrologieCanada,Trempe Bernard 19312021,2021-12-09,9,https://necrocanada.com/deces-2021/trempe-bernard-19312021/,2021-12-18 12:37:00,local
Trois-Rivières,décès OR mort,23,NecrologieCanada,Roberge Paul 19482021,2021-12-06,12,https://necrocanada.com/deces-2021/roberge-paul-19482021/,2021-12-18 12:37:01,local
Trois-Rivières,décès OR mort,24,NecrologieCanada,Andre Lefebvre 19482021,2021-11-19,29,https://necrocanada.com/deces-2021/andre-lefebvre-19482021/,2021-12-18 12:37:01,local
Trois-Rivières,décès OR mort,25,NecrologieCanada,de Villers Louis 2021,2021-11-30,18,https://necrocanada.com/deces-2021/de-villers-louis-2021/,2021-12-18 12:37:01,local
