Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Carleton-sur-Mer,accident,1,CIMT-CHAU,Accident de la route à Saint-Omer - TVA CIMT CHAU,2022-01-03,15,https://cimtchau.ca/nouvelles/accident-de-la-route-a-saint-omer/,2022-01-18 16:29:13,local
Carleton-sur-Mer,accident,2,CIMT-CHAU,Accident impliquant un piéton à Carleton-sur-Mer,2021-11-28,51,https://cimtchau.ca/nouvelles/accident-impliquant-un-pieton-a-carleton-sur-mer/,2022-01-18 16:29:13,local
Carleton-sur-Mer,accident,3,ICI.Radio-Canada.ca,Collision frontale à Carleton-sur-Mer : l'identité des victimes dévoilée,,,https://ici.radio-canada.ca/nouvelle/1762900/accident-mortel-face-carleton-sur-mer-route-132,2022-01-18 16:29:13,local
Carleton-sur-Mer,accident,4,ICI.Radio-Canada.ca,Un drame en planche à pagaie évité de justesse à Carleton-sur-Mer,2021-08-30,141,https://ici.radio-canada.ca/nouvelle/1819408/sports-nautiques-planche-pagaie-sup-paddle-carleton-ecovoile,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,5,CIMT-CHAU,Collision latérale sur la rue du quai à Carleton-sur-Mer,2021-04-03,290,https://cimtchau.ca/nouvelles/collision-laterale-sur-la-rue-du-quai-a-carleton-sur-mer/,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,6,Le Journal de Québec,Collision mortelle entre un VUS et un camion lourd au Bas-Saint-Laurent,2021-12-16,33,https://www.journaldequebec.com/2021/12/16/collision-mortelle-entre-un-vus-et-un-camion-lourd-au-bas-saint-laurent,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,7,ICI.Radio-Canada.ca,Hervé Gaudreault : près de 40 ans de journalisme dans l'Est-du-Québec,2021-12-16,33,https://ici.radio-canada.ca/nouvelle/1848101/journaliste-herve-gaudreault-carriere-retraite-gaspe-baie-comeau-radio-canada-chau-tv,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,8,CIMT-CHAU,Accident sur la route 185 près de Saint-Antonin qui ralenti la circulation routière,2021-07-19,183,https://cimtchau.ca/nouvelles/accident-sur-la-route-185-pres-de-saint-antonin-qui-ralenti-la-circulation-routiere/,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,9,ICI.Radio-Canada.ca,Incendie sur le mont Saint-Joseph : la direction du parc en mode prévention,2021-07-19,183,https://ici.radio-canada.ca/nouvelle/1810239/incendie-motorise-mont-st-joseph-signalisation-parc-regional-sensibilisation,2022-01-18 16:29:14,local
Carleton-sur-Mer,accident,10,ICI.Radio-Canada.ca,Carleton-sur-Mer : un CPE veut s'installer temporairement à la salle Charles-Dugas,2021-12-03,46,https://ici.radio-canada.ca/nouvelle/1844505/cpe-joyeux-marmots-locaux-temporaires-carleton-sur-mer-salle-charles-dugas,2022-01-18 16:29:15,local
