Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Gaspé,"""premier ministre""",1,Le Devoir,Les chantiers du ministre Jean Boulet,2022-01-17,1,https://www.ledevoir.com/politique/quebec/660954/entrevue-les-chantiers-de-jean-boulet,2022-01-18 13:23:14,national
Gaspé,"""premier ministre""",2,CIMT-CHAU,Vaccimpôt : Réactions mitigées en Gaspésie et aux Îles - TVA CIMT CHAU,2022-01-12,6,https://cimtchau.ca/nouvelles/vaccimpot-reactions-mitigees-en-gaspesie-et-aux-iles/,2022-01-18 13:23:14,national
Gaspé,"""premier ministre""",3,ICI.Radio-Canada.ca,"Reprise du transport aérien régional, mais toujours pas de vision",2022-01-04,14,https://ici.radio-canada.ca/nouvelle/1847747/industrie-transport-aerien-aeroport-region-gaspesie-iles-madeleine-jonathan-lapierre-daniel-cote-joel-arseneau,2022-01-18 13:23:15,national
Gaspé,"""premier ministre""",4,ICI.Radio-Canada.ca,Dix contaminations en Gaspésie et aux Îles : la COVID intensifie sa présence | Coronavirus,2021-12-22,27,https://ici.radio-canada.ca/nouvelle/1849605/bialn-cas-covid-19-gaspesie-iles-madeleine-22-decembre-2021,2022-01-18 13:23:15,national
Gaspé,"""premier ministre""",5,Le Journal de Québec,COVID-19: 9397 nouveaux cas au Québec | JDQ,2021-12-23,26,https://www.journaldequebec.com/2021/12/23/9397-nouveaux-cas-au-quebec-1,2022-01-18 13:23:15,national
Gaspé,"""premier ministre""",6,Mon Matane,2021 fut une année tumultueuse sur la scène politique dans un contexte de pandémie,2021-12-29,20,https://monmatane.com/2021-fut-une-annee-tumultueuse-sur-la-scene-politique-dans-un-contexte-de-pandemie/,2022-01-18 13:23:15,national
Gaspé,"""premier ministre""",7,Le Devoir,Quoi surveiller ce 22 décembre,2021-12-21,28,https://www.ledevoir.com/societe/656325/pour-votre-info-quoi-surveiller-aujourd-hui,2022-01-18 13:23:15,national
Gaspé,"""premier ministre""",8,ICI.Radio-Canada.ca,Plusieurs élus de l'Est-du-Québec rendent hommage au Dr Horacio Arruda,2022-01-12,6,https://ici.radio-canada.ca/nouvelle/1853555/demission-horacio-arruda-reactions-politiciens-sante-publique-independance,2022-01-18 13:23:16,national
Gaspé,"""premier ministre""",9,L’Avantage gaspésien,C'est arrivé en septembre 2001 dans la MRC de la Haute-Gaspésie,2022-01-09,9,https://www.lavantagegaspesien.com/article/2022/01/09/c-est-arrive-en-septembre-2001-dans-la-mrc-de-la-haute-gaspesie,2022-01-18 13:23:17,national
Gaspé,"""premier ministre""",10,La Presse,Infirmières auxiliaires | Plus de 8300 inscriptions pour la formation accélérée,2022-01-13,5,https://www.lapresse.ca/actualites/sante/2022-01-13/infirmieres-auxiliaires/plus-de-8300-inscriptions-pour-la-formation-acceleree.php,2022-01-18 13:23:17,national
Gaspé,"""premier ministre""",11,ICI.Radio-Canada.ca,LM Wind Power prévoit d'agrandir son usine de Gaspé et créer 200 emplois,2021-07-14,188,https://ici.radio-canada.ca/nouvelle/1809078/pales-eoliennes-production-aide-financiere-gouvernement-lm-windpower-gaspe,2022-01-18 13:23:17,national
Gaspé,"""premier ministre""",12,Le Soleil,Transports dans l'Est-du-Québec: un besoin de décentralisation,2021-12-11,38,https://www.lesoleil.com/2021/12/11/transports-dans-lest-du-quebec-un-besoin-de-decentralisation-6fc5c7488cc47c501fd57db5892d115e,2022-01-18 13:23:17,national
Gaspé,"""premier ministre""",13,Le Journal de Québec,La maison de René Lévesque finalement acquise par Québec,2021-09-20,120,https://www.journaldequebec.com/2021/09/20/la-maison-de-rene-levesque-finalement-acquise-par-quebec-1,2022-01-18 13:23:18,national
Gaspé,"""premier ministre""",14,Le Journal de Québec,Forage pétrolier à Gaspé: défaite du gouvernement Legault devant le tribunal,2021-11-15,64,https://www.journaldequebec.com/2021/11/15/forage-petrolier-a-gaspe--defaite-du-gouvernement-legault-devant-le-tribunal,2022-01-18 13:23:18,national
Gaspé,"""premier ministre""",15,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,120,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2022-01-18 13:23:18,national
Gaspé,"""premier ministre""",16,Mon Matane,Éphémérides du 20 décembre : la quincaillerie Grégoire et fils devient la plus grande de la Gaspésie en 1995,2021-12-20,29,https://monmatane.com/ephemerides-du-20-decembre-la-quincaillerie-gregoire-et-fils-devient-la-plus-grande-de-la-gaspesie-en-1995/,2022-01-18 13:23:18,national
Gaspé,"""premier ministre""",17,CIMT-CHAU,Diane Lebouthillier est renommée ministre du Revenu national,2021-10-26,84,https://cimtchau.ca/nouvelles/diane-lebouthillier-est-renommee-ministre-du-revenu-national/,2022-01-18 13:23:18,national
Gaspé,"""premier ministre""",18,Radio Gaspésie C J R G - FM,Diane Lebouthillier aimerait devenir ministre des Pêches,2021-10-04,106,https://www.radiogaspesie.ca/nouvelles/actualite/diane-lebouthillier-aimerait-devenir-ministre-des-peches-et-oceans/,2022-01-18 13:23:19,national
Gaspé,"""premier ministre""",19,ICI.Radio-Canada.ca,Le plan de relance du transport aérien régional déposé « très bientôt » par Québec,2021-12-10,39,https://ici.radio-canada.ca/nouvelle/1846477/transport-aerien-regional-echange-salon-bleu-assemblee-nationale-plan-relance-bientot-legault-arseneau,2022-01-18 13:23:19,national
Gaspé,"""premier ministre""",20,Le Devoir,Qui forme le gouvernement du Canada ?,2021-10-27,83,https://www.ledevoir.com/documents/special/2021-10-photos-cabinet-canada/index.html,2022-01-18 13:23:19,national
Gaspé,"""premier ministre""",21,Le Journal de Québec,Fin des hydrocarbures: Legault veut payer le moins possible,2021-12-10,39,https://www.journaldequebec.com/2021/12/10/fin-des-hydrocarbures-legault-veut-payer-le-moins-possible,2022-01-18 13:23:19,national
Gaspé,"""premier ministre""",22,ICI.Radio-Canada.ca,Baie-Comeau en faveur d'un Espace bleu à la maison de l'ex-premier ministre Brian Mulroney,2021-09-21,119,https://ici.radio-canada.ca/nouvelle/1825954/espace-bleu-quebec-musee-brian-mulroney-baie-comeau,2022-01-18 13:23:19,national
Gaspé,"""premier ministre""",23,Radio-Canada.ca,Marguerite Blais reprendra le travail un mois avant la fin de son congé maladie,2021-12-14,35,https://ici.radio-canada.ca/nouvelle/1847365/marguerite-blais-temoignage-coroner-ministre-aines-conge-maladie,2022-01-18 13:23:20,national
Gaspé,"""premier ministre""",24,ICI.Radio-Canada.ca,Diane Lebouthillier réélue dans Gaspésie–Les Îles-de-la-Madeleine | Élections Canada 2021,2021-09-20,120,https://ici.radio-canada.ca/nouvelle/1825729/elections-federales-resultat-vote-diane-lebouthillier-liberal-gaspesie-iles-de-la-madeleine,2022-01-18 13:23:20,national
Gaspé,"""premier ministre""",25,ICI.Radio-Canada.ca,Un ministre de l'Énergie pour la Gaspésie et les Îles,2021-02-24,328,https://ici.radio-canada.ca/nouvelle/1773042/jonatan-julien-depute-remaniement-ministeriel-caq-quebec-cote-nord-gaspesie,2022-01-18 13:23:20,national
Gaspé,climat,1,Le Journal de Québec,"Climat: 2021, une année chaude",2022-01-02,16,https://www.journaldequebec.com/2022/01/02/climat-2021-une-annee-chaude-1,2022-01-18 13:23:57,national
Gaspé,climat,2,Le Devoir,Cinq dossiers à surveiller en environnement en 2022,2022-01-05,13,https://www.ledevoir.com/societe/environnement/657990/cinq-dossiers-a-surveiller-en-environnement-en-2022,2022-01-18 13:23:57,national
Gaspé,climat,3,Gaspésie Nouvelles,L'année 2021 en 40 événements,2022-01-03,15,https://www.gaspesienouvelles.com/article/2022/01/03/l-annee-2021-en-40-evenements,2022-01-18 13:23:58,national
Gaspé,climat,4,Radio-Canada.ca,Les changements climatiques favorables aux marées rouges,2021-12-24,25,https://ici.radio-canada.ca/nouvelle/1847422/alexandrium-algues-rouges-neurotoxine-golfe-saint-laurent-estuaire-previsions-ogsl,2022-01-18 13:23:58,national
