Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Joliette,accident,1,L'Action,Spectaculaire accident sur l'autoroute 31 - Joliette,2022-01-12,6,https://www.laction.com/article/2022/01/12/spectaculaire-accident-sur-l-autoroute-31,2022-01-18 12:21:03,local
Joliette,accident,2,LanauWeb,Une piétonne perd la vie à Notre-Dame-de-Lourdes Info Lanaudière,2021-12-30,19,https://lanauweb.info/une-pietonne-gravement-blessee-a-notre-dame-de-lourdes/,2022-01-18 12:21:04,local
Joliette,accident,3,Mon Joliette,Une adolescente perd la vie dans un accident de motoneige,2022-01-04,14,https://monjoliette.com/une-adolescente-perd-la-vie-dans-un-accident-de-motoneige/,2022-01-18 12:21:04,local
Joliette,accident,4,TVA Nouvelles,Un homme perd la vie dans une collision à Saint-Paul,2021-08-10,161,https://www.tvanouvelles.ca/2021/08/10/une-personne-entre-la-vie-et-la-mort-apres-une-collision-a-saint-paul,2022-01-18 12:21:04,local
Joliette,accident,5,La Presse,Accident dans Lanaudière | Un homme succombe à ses blessures,2021-11-06,73,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-11-06/accident-dans-lanaudiere/un-homme-succombe-a-ses-blessures.php,2022-01-18 12:21:04,local
Joliette,accident,6,L'Action,Début des travaux entre la Ville de Joliette et le MTQ,2021-12-30,19,https://www.laction.com/article/2021/12/30/debut-des-travaux-entre-la-ville-de-joliette-et-le-mtq,2022-01-18 12:21:05,local
Joliette,accident,7,La Presse,Une piétonne happée par une camionnette à Joliette,2021-11-16,63,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-11-16/une-pietonne-happee-par-une-camionnette-a-joliette.php,2022-01-18 12:21:05,local
Joliette,accident,8,TVA Nouvelles,Grave accident de la route dans Lanaudière,2021-11-19,60,https://www.tvanouvelles.ca/2021/11/19/grave-accident-de-la-route-dans-lanaudiere-1,2022-01-18 12:21:05,local
Joliette,accident,9,Mon Joliette,La Sûreté du Québec déplore 47 décès sur son territoire en 2021 dans Mauricie-Lanaudière,2022-01-13,5,https://monjoliette.com/la-surete-du-quebec-deplore-47-deces-sur-son-territoire-en-2021-dans-mauricie-lanaudiere/,2022-01-18 12:21:05,local
Joliette,accident,10,Le Journal de Montréal,Coupable d'avoir voulu venger la mort de son ado,2021-10-02,108,https://www.journaldemontreal.com/2021/10/02/coupable-davoir-voulu-venger-la-mort-de-son-ado,2022-01-18 12:21:06,local
Joliette,accident,11,Le Journal de Montréal,Grave accident près de Joliette: un jeune conducteur entre la vie et la mort,2021-11-26,53,https://www.journaldemontreal.com/2021/11/26/grave-accident-pres-de-joliette-un-jeune-conducteur-entre-la-vie-et-la-mort,2022-01-18 12:21:06,local
Joliette,accident,12,LaPresse.ca,Accident de voiture mortel à Joliette: «J'ai perdu mon meilleur ami»,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201710/09/01-5139400-accident-de-voiture-mortel-a-joliette-jai-perdu-mon-meilleur-ami.php,2022-01-18 12:21:06,local
Joliette,accident,13,Mon Joliette,Un bambin de 3 ans blessé grièvement dans une sortie de route à Saint-Charles-Borromée,2021-09-02,138,https://monjoliette.com/un-bambin-de-3-ans-blesse-grievement-dans-une-sortie-de-route-a-saint-charles-borromee/,2022-01-18 12:21:06,local
Joliette,accident,14,Le Journal de Montréal,Accidents avec blessés dans Lanaudière | JDM,2021-11-28,51,https://www.journaldemontreal.com/2021/11/28/accidents-avec-blesses-dans-lanaudiere,2022-01-18 12:21:06,local
Joliette,accident,15,LanauWeb,Accident mortel à Saint-Roch : début de l'enquête préliminaire de Stéphanie Tanguay Info Lanaudière,2021-11-16,63,https://lanauweb.info/accident-mortel-a-saint-roch-debut-de-lenquete-preliminaire-de-stephanie-tanguay/,2022-01-18 12:21:06,local
Joliette,accident,16,La Presse,Lanaudière | Un automobiliste perd la vie après avoir embouti deux autres véhicules,2021-11-18,61,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-11-18/lanaudiere/un-automobiliste-perd-la-vie-apres-avoir-embouti-deux-autres-vehicules.php,2022-01-18 12:21:07,local
Joliette,accident,17,LanauWeb,Sortie de route mortelle à Sainte-Mélanie Info Lanaudière,2021-10-16,94,https://lanauweb.info/sortie-de-route-mortelle-a-sainte-melanie/,2022-01-18 12:21:07,local
Joliette,accident,18,LanauWeb,Saint-Roch : Sortie de route mortelle Info Lanaudière,2021-09-14,126,https://lanauweb.info/saint-roch-un-blesse-grave-dans-une-sortie-de-route/,2022-01-18 12:21:07,local
Joliette,accident,19,LanauWeb,Un homme dans un état critique après une sortie de route à Saint-Félix-de-Valois Info Lanaudière,2021-10-30,80,https://lanauweb.info/un-homme-dans-un-etat-critique-apres-une-sortie-de-route-a-saint-felix-de-valois/,2022-01-18 12:21:07,local
