Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Tuque,accident,1,Le Nouvelliste,Sortie de route mortelle à La Tuque: l'identité de la victime dévoilée,2021-12-25,24,https://www.lenouvelliste.ca/2021/12/25/sortie-de-route-mortelle-a-la-tuque-lidentite-de-la-victime-devoilee-664e3e3470e2f25923ac1ad162746d85,2022-01-18 12:38:48,local
La Tuque,accident,2,Le Nouvelliste,Les faits divers qui ont marqué l'année 2021,2022-01-03,15,https://www.lenouvelliste.ca/2022/01/03/les-faits-divers-qui-ont-marque-lannee-2021-183d5e44afd6e9295cd5cb98dd1b2d2f,2022-01-18 12:38:49,local
La Tuque,accident,3,Le Nouvelliste,Une femme meurt dans un accident de VTT à La Tuque,2021-11-21,58,https://www.lenouvelliste.ca/2021/11/21/une-femme-meurt-dans-un-accident-de-vtt-a-la-tuque-158580a9a23908d4ca4890088e82560a,2022-01-18 12:38:49,local
La Tuque,accident,4,L'Écho de La Tuque,Accident à Rivière-aux-Rats : la circulation se fait en alternance,2021-12-02,47,https://www.lechodelatuque.com/faits-divers/accident-a-riviere-aux-rats-la-circulation-se-fait-en-alternance/,2022-01-18 12:38:49,local
La Tuque,accident,5,Le Soleil,Un mort dans une embardée à La Tuque,2021-11-07,72,https://www.lesoleil.com/2021/11/07/un-mort-dans-une-embardee-a-la-tuque-802f7435d59ffcbf1959dfd271d386a7,2022-01-18 12:38:49,local
La Tuque,accident,6,Mon LaTuque,Détails sur l'accident de ce vendredi midi à La Tuque,2021-12-17,32,https://monlatuque.com/details-sur-laccident-de-ce-vendredi-midi-a-la-tuque/,2022-01-18 12:38:50,local
La Tuque,accident,7,L'Écho de La Tuque,Une camionnette percute le mur de l'École forestière,2021-09-20,120,http://www.lechodelatuque.com/faits-divers/une-camionnette-percute-le-mur-de-lecole-forestiere/,2022-01-18 12:38:50,local
La Tuque,accident,8,Le Nouvelliste - Groupe Capitales Médias,Un troisième accident mortel depuis le début du long congé,2021-10-10,100,https://www.lenouvelliste.ca/2021/10/10/un-troisieme-accident-mortel-depuis-le-debut-du-long-conge-71c112b379dbd5515048863b833d156c,2022-01-18 12:38:51,local
La Tuque,accident,9,Le Nouvelliste,Haute-Mauricie: un camionneur transporté à l'hôpital après une sortie de route,2021-11-16,63,https://www.lenouvelliste.ca/2021/11/16/haute-mauricie-un-camionneur-transporte-a-lhopital-apres-une-sortie-de-route-8f81ba7ea983ff68e7a9bc7e33def2ba,2022-01-18 12:38:51,local
La Tuque,accident,10,L'Écho de La Tuque,Accident sur le chemin Fitzpatrick,2021-06-04,228,https://www.lechodelatuque.com/faits-divers/accident-sur-le-chemin-fitzpatrick-2/,2022-01-18 12:38:51,local
