Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Matane,"""premier ministre""",1,Mon Matane,Éphémérides du 29 décembre : bénédiction et inauguration du Canada &amp; Gulf Terminal à Matane en 1910,2021-12-29,20,https://monmatane.com/ephemerides-du-29-decembre-benediction-et-inauguration-du-canada-gulf-terminal-a-matane-en-1910/,2022-01-18 08:41:36,national
Matane,"""premier ministre""",2,Mon Matane,2021 fut une année tumultueuse sur la scène politique dans un contexte de pandémie,2021-12-29,20,https://monmatane.com/2021-fut-une-annee-tumultueuse-sur-la-scene-politique-dans-un-contexte-de-pandemie/,2022-01-18 08:41:36,national
Matane,"""premier ministre""",3,Mon Matane,Éphémérides du 3 janvier : début officiel de la saison à la station de ski de Matane en 1960,2022-01-03,15,https://monmatane.com/ephemerides-du-3-janvier-debut-officiel-de-la-saison-a-la-station-de-ski-de-matane-en-1960/,2022-01-18 08:41:36,national
Matane,"""premier ministre""",4,TVA Nouvelles,Le ministre Seamus O'Regan positif à la COVID-19,2021-12-28,21,https://www.tvanouvelles.ca/2021/12/28/le-ministre-seamus-oregan-positif-a-la-covid-19-1,2022-01-18 08:41:37,national
Matane,"""premier ministre""",5,Mon Matane,Éphémérides du 23 décembre : un avion coule dans fleuve en face de Matane en 1946,2021-12-23,26,https://monmatane.com/ephemerides-du-23-decembre-un-avion-coule-dans-fleuve-en-face-de-matane-en-1946/,2022-01-18 08:41:37,national
Matane,"""premier ministre""",6,Mon Matane,Éphémérides du 20 décembre : la quincaillerie Grégoire et fils devient la plus grande de la Gaspésie en 1995,2021-12-20,29,https://monmatane.com/ephemerides-du-20-decembre-la-quincaillerie-gregoire-et-fils-devient-la-plus-grande-de-la-gaspesie-en-1995/,2022-01-18 08:41:37,national
Matane,"""premier ministre""",7,Mon Matane,Éphémérides du 18 juin : le premier ministre Jean Lesage annonce en 1965 que la CIP construira une cartonnerie,2021-06-18,214,https://monmatane.com/ephemerides-du-18-juin-le-premier-ministre-jean-lesage-annonce-en-1965-que-la-cip-construira-une-cartonnerie/,2022-01-18 08:41:37,national
Matane,"""premier ministre""",8,Mon Matane,Canada : pas d'assurance-emploi pour les non-vaccinés tant que les préoccupations de Santé publique seront au premier plan,2021-12-31,18,https://monmatane.com/canada-pas-dassurance-emploi-pour-les-non-vaccines-tant-que-les-preoccupations-de-sante-publique-seront-au-premier-plan/,2022-01-18 08:41:37,national
Matane,"""premier ministre""",9,Mon Matane,Éphémérides du 31 mai : le premier ministre canadien Louis Saint-Laurent à Matane en 1957,2021-05-31,232,https://monmatane.com/ephemerides-du-31-mai-le-premier-ministre-canadien-louis-saint-laurent-a-matane-en-1957/,2022-01-18 08:41:37,national
Matane,"""premier ministre""",10,Mon Matane,Éphémérides du 21 mai : le premier ministre canadien Louis Saint-Laurent s'arrête à Matane en 1949,2021-05-21,242,https://monmatane.com/ephemerides-du-21-mai-le-premier-ministre-canadien-louis-saint-laurent-sarrete-a-matane-en-1949/,2022-01-18 08:41:38,national
Matane,"""premier ministre""",11,Mon Matane,Éphémérides du 23 octobre : un incendie détruit le restaurant Café aux Délices de Matane en 1992,2021-10-23,87,https://monmatane.com/ephemerides-du-23-octobre-un-incendie-detruit-le-restaurant-cafe-aux-delices-de-matane-en-1992/,2022-01-18 08:41:38,national
Matane,"""premier ministre""",12,Mon Matane,Éphémérides du 5 décembre : Radio-Canada ferme la station de télé à Matane en 1990,2021-12-05,44,https://monmatane.com/ephemerides-du-5-decembre-radio-canada-ferme-la-station-de-tele-a-matane-en-1990/,2022-01-18 08:41:38,national
Matane,"""premier ministre""",13,Mon Matane,Éphémérides du 15 décembre : l'édifice Desrosiers-Bergeron au centre-ville de Matane est la proie des flammes en 1967,2021-12-15,34,https://monmatane.com/ephemerides-du-15-decembre-ledifice-desrosiers-bergeron-au-centre-ville-de-matane-est-la-proie-des-flammes-en-1967/,2022-01-18 08:41:38,national
Matane,"""premier ministre""",14,Le Journal de Québec,Ruptures de services à répétition: Pascal Bérubé demande au ministre de la Santé de se rendre à Matane,2021-10-11,99,https://www.journaldequebec.com/2021/10/11/vaccination-obligatoire-en-sante-le-pq-craint-des-ruptures-de-services,2022-01-18 08:41:38,national
Matane,"""premier ministre""",15,L’Avantage gaspésien,Pascal Bérubé heureux de la collaboration soutenue avec le gouvernement de François Legault,2021-06-16,216,https://www.lavantagegaspesien.com/article/2021/06/16/pascal-berube-heureux-de-la-collaboration-soutenue-avec-le-gouvernement-de-francois-legault,2022-01-18 08:41:39,national
Matane,"""premier ministre""",16,Mon Matane,Éphémérides du 14 novembre : la pornographie est quasiment omniprésente à Matane en 1984,2021-11-14,65,https://monmatane.com/ephemerides-du-14-novembre-la-pornographie-est-quasiment-omnipresente-a-matane-en-1984/,2022-01-18 08:41:39,national
Matane,"""premier ministre""",17,Mon Matane,Éphémérides du 7 septembre : première pelletée de terre pour l'usine de pâte de la Donohue à Matane en 1988,2021-09-07,133,https://monmatane.com/ephemerides-du-7-septembre-premiere-pelletee-de-terre-pour-lusine-de-pate-de-la-donohue-a-matane-en-1988/,2022-01-18 08:41:39,national
Matane,"""premier ministre""",18,ICI.Radio-Canada.ca,Quand toute la vie passait par les téléphonistes,2021-12-08,41,https://ici.radio-canada.ca/nouvelle/1845710/telephonistes-operatrices-histoire-matane,2022-01-18 08:41:39,national
Matane,"""premier ministre""",19,ICI.Radio-Canada.ca,Kristina Michaud est réélue dans Avignon–La Mitis–Matane–Matapédia | Élections Canada 2021,2021-09-21,119,https://ici.radio-canada.ca/nouvelle/1825698/avignon-mitis-matane-matapedia-resultats-election-federale-2021-vote-kristina-michaud-louis-eric-savoie-germain-dumas,2022-01-18 08:41:39,national
Matane,"""premier ministre""",20,Le Journal de Québec,Matane: un conducteur perd la vie dans une collision,2021-11-23,56,https://www.journaldequebec.com/2021/11/23/matane-un-conducteur-perd-la-vie-dans-une-collision,2022-01-18 08:41:40,national
