Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Honoré,élection OR campagne,1,CIMT-CHAU,Saint-Honoré-de-Témiscouata : Une érablière ravagée par un incendie,2022-01-14,4,https://cimtchau.ca/nouvelles/saint-honore-de-temiscouata-une-erabliere-ravagee-par-un-incendie/,2022-01-18 08:57:37,mixte
Saint-Honoré,élection OR campagne,2,Le Quotidien,Des candidats de Saint-Honoré s'unissent pour faire campagne,2021-10-30,80,https://www.lequotidien.com/2021/10/30/des-candidats-de-saint-honore-sunissent-pour-faire-campagne-ce2ea565757f7c8640cdf8dd1a4b7da6,2022-01-18 08:57:37,mixte
Saint-Honoré,élection OR campagne,3,Journal Le Lac St-Jean,Campagne Sapin du bon sens: de retour pour une 30e édition,2022-01-02,16,https://lelacstjean.com/actualite/campagne-sapin-du-bon-sens-de-retour-pour-une-30e-edition/,2022-01-18 08:57:37,mixte
Saint-Honoré,élection OR campagne,4,Closer France,500 signatures : quelle est la date butoir pour les candidats à la présidentielle 2022 ?,2022-01-16,2,https://www.closermag.fr/politique/500-signatures-quelle-est-la-date-butoir-pour-les-candidats-a-la-presidentielle-2022-1490045,2022-01-18 08:57:38,mixte
Saint-Honoré,élection OR campagne,5,Info Dimanche,Vent de changement à Saint-Honoré-de-Témiscouata | infodimanche.com,2021-11-09,70,https://www.infodimanche.com/actualites/elections-municipales-2021/442508/vent-de-changement-a-saint-honore-de-temiscouata,2022-01-18 08:57:38,mixte
Saint-Honoré,élection OR campagne,6,L'Éclaireur Progrès,Élections municipales : les dés sont jetés,2021-11-07,72,https://www.leclaireurprogres.ca/elections-municipales-les-des-sont-jetes/,2022-01-18 08:57:38,mixte
Saint-Honoré,élection OR campagne,7,Info Dimanche,Une équipe en vue des élections municipales à Saint-Honoré-de-Témiscouata | infodimanche.com,2021-08-29,142,https://www.infodimanche.com/actualites/elections-municipales-2021/435618/une-equipe-en-vue-des-elections-municipales-a-saint-honore-de-temiscouata,2022-01-18 08:57:38,mixte
Saint-Honoré,élection OR campagne,8,Le Placoteux,Revue de l'année 2021 : partie #5 - Journal Le Placoteux,2021-12-31,18,https://leplacoteux.com/revue-de-lannee-2021-partie-5/,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,9,ICI.Radio-Canada.ca,Plusieurs maires élus sans opposition au Lac et sept candidats à la mairie de Saguenay,2021-10-01,109,https://ici.radio-canada.ca/nouvelle/1828628/candidatures-villes-dgeq,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,10,EnBeauce.com,Saint-Honoré-de-Shenley: lutte à deux à la mairie | EnBeauce.com,2021-10-30,80,https://www.enbeauce.com/actualites/elections/440702/saint-honore-de-shenley-lutte-a-deux-a-la-mairie,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,11,ICI.Radio-Canada.ca,Les candidats et les électeurs dans l'attente des résultats à compter de 21 h 30 | Élections Canada 2021,2021-09-20,120,https://ici.radio-canada.ca/nouvelle/1825521/scrutin-elections-federales-vote-electeurs,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,12,Le Quotidien - Groupe Capitales Médias,Un troisième mandat dans la mire du maire de Saint-Honoré,2021-02-19,333,https://www.lequotidien.com/2021/02/19/un-troisieme-mandat-dans-la-mire-du-maire-de-saint-honore-abcef0fb89de106ba6600c9beace2698,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,13,ICI.Radio-Canada.ca,Des municipalités du Saguenay ont un nouveau conseil de ville | Élections municipales au Québec 2021,2021-11-07,72,https://ici.radio-canada.ca/nouvelle/1838049/vote-scrutin-boites-anticipation-participation,2022-01-18 08:57:39,mixte
Saint-Honoré,élection OR campagne,14,Courrier Frontenac,Rétrospective 2021,2022-01-01,17,https://www.courrierfrontenac.qc.ca/2022/01/01/retrospective-2021/,2022-01-18 08:57:40,mixte
Saint-Honoré,élection OR campagne,15,L'Obs,"Mimi Marchand, l’entremetteuse de la République",2021-12-23,26,https://www.nouvelobs.com/societe/20211223.OBS52468/mimi-marchand-l-entremetteuse-de-la-republique.html,2022-01-18 08:57:40,mixte
Saint-Honoré,élection OR campagne,16,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,120,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2022-01-18 08:57:40,mixte
Saint-Honoré,élection OR campagne,17,Le Quotidien,Saint-Honoré veut offrir un terrain au CPE La Cajolerie,2021-12-06,43,https://www.lequotidien.com/2021/12/06/saint-honore-veut-offrir-un-terrain-au-cpe-la-cajolerie-087aec70dfdded1f58f40ff6b757445c,2022-01-18 08:57:40,mixte
Saint-Honoré,élection OR campagne,18,Le Journal de Québec,"Des surprises, une nouvelle ère et un conseil minoritaire à l'hôtel de ville de Québec",2021-11-08,71,https://www.journaldequebec.com/2021/11/08/des-surprises-une-nouvelle-ere-et-un-conseil-minoritaire-a-lhotel-de-ville-de-quebec,2022-01-18 08:57:41,mixte
Saint-Honoré,élection OR campagne,19,Le Quotidien - Groupe Capitales Médias,Élections fédérales : déjà des candidats au Saguenay-Lac-Saint-Jean,2021-08-15,156,https://www.lequotidien.com/2021/08/15/elections-federales--deja-des-candidats-au-saguenay-lac-saint-jean-8c5c92778a402e85877c87c670695fc0,2022-01-18 08:57:41,mixte
Saint-Honoré,élection OR campagne,20,Pure People,"Brigitte Macron : Détails sur son ""régime de marathonienne"", dans les coulisses de l'Elysée",2022-01-13,5,https://www.purepeople.com/article/brigitte-macron-details-sur-son-regime-de-marathonienne-dans-les-coulisses-de-l-elysee_a471412/1,2022-01-18 08:57:41,mixte
Saint-Honoré,élection OR campagne,21,L'Éclaireur Progrès,MRC Beauce-Sartigan : hausse du budget et nouveau préfet,2021-11-25,54,https://www.leclaireurprogres.ca/mrc-beauce-sartigan-hausse-du-budget-et-nouveau-prefet/,2022-01-18 08:57:41,mixte
Saint-Honoré,élection OR campagne,22,TVA Nouvelles,"Tous les résultats, réactions et discours des chefs",2021-09-20,120,https://www.tvanouvelles.ca/2021/09/20/tous-les-resultats-en-direct,2022-01-18 08:57:41,mixte
Saint-Honoré,élection OR campagne,23,EnBeauce.com,Dix heures avant la fermeture des bureaux de vote | EnBeauce.com,2021-11-07,72,https://www.enbeauce.com/actualites/elections/442386/dix-heures-avant-la-fermeture-des-bureaux-de-vote,2022-01-18 08:57:42,mixte
Saint-Honoré,élection OR campagne,24,L'Éclaireur Progrès,Près de 480 000 $ pour la Maison Catherine de Longpré,2021-12-07,42,https://www.leclaireurprogres.ca/pres-de-480-000-pour-la-maison-catherine-de-longpre/,2022-01-18 08:57:42,mixte
Saint-Honoré,élection OR campagne,25,CIMT-CHAU,Re-Source Familles lance sa campagne de financement 2021-2022,2021-12-08,41,https://cimtchau.ca/nouvelles/re-source-familles-lance-sa-campagne-de-financement-2021-2022/,2022-01-18 08:57:42,mixte
Saint-Honoré,député,1,L'Horizon,Gilbert Pigeon honoré à la Chambre des communes,2021-12-29,20,http://www.journalhorizon.com/gilbert-pigeon-honore-a-la-chambre-des-communes/,2022-01-18 08:58:18,mixte
Saint-Honoré,député,2,Le Placoteux,Revue de l'année 2021 : partie #5 - Journal Le Placoteux,2021-12-31,18,https://leplacoteux.com/revue-de-lannee-2021-partie-5/,2022-01-18 08:58:19,mixte
Saint-Honoré,député,3,L'Avant-Poste,Pascal Bérubé et Méganne Perry Mélançon honorés par leurs collègues au palmarès des parlementaires de l'année,2021-12-11,38,https://www.lavantposte.ca/article/2021/12/11/pascal-berube-et-meganne-perry-melancon-honores-par-leurs-collegues-au-palmares-des-parlementaires-de-l-annee,2022-01-18 08:58:19,mixte
Saint-Honoré,député,4,Nord Littoral,Lens : la cité 4 se projette vers l'avenir avec la rue Jean-Claude Bois,2022-01-17,1,https://lavenirdelartois.nordlittoral.fr/134716/article/2022-01-17/lens-la-cite-4-se-projette-vers-l-avenir-avec-la-rue-jean-claude-bois,2022-01-18 08:58:19,mixte
Saint-Honoré,député,5,Le Quotidien - Groupe Capitales Médias,Élections fédérales : déjà des candidats au Saguenay-Lac-Saint-Jean,2021-08-15,156,https://www.lequotidien.com/2021/08/15/elections-federales--deja-des-candidats-au-saguenay-lac-saint-jean-8c5c92778a402e85877c87c670695fc0,2022-01-18 08:58:19,mixte
