Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Raymond,"""premier ministre""",1,Le Journal de Québec,La dame tuée vivait près de chez l'accusé,2021-09-17,123,https://www.journaldequebec.com/2021/09/17/meurtre-a-saint-raymond-lidentite-de-la-victime-devoilee,2022-01-18 09:38:35,national
Saint-Raymond,"""premier ministre""",2,La Presse,"Pascale St-Onge, une ministre au parcours hors du commun",2021-11-15,64,https://www.lapresse.ca/actualites/politique/2021-11-15/pascale-st-onge-une-ministre-au-parcours-hors-du-commun.php,2022-01-18 09:38:35,national
Saint-Raymond,"""premier ministre""",3,ONFR+,Les événements et dossiers à surveiller en 2022,2022-01-06,12,https://onfr.tfo.org/evenements-dossiers-2022-elections-laurentienne/,2022-01-18 09:38:35,national
Saint-Raymond,"""premier ministre""",4,Le Journal de Montréal,Horreur sur Le Plateau-Mont-Royal,2021-10-20,90,https://www.journaldemontreal.com/2021/10/20/un-meurtre-conjugal-commis-en-pleine-rue-a-montreal-1,2022-01-18 09:38:35,national
Saint-Raymond,"""premier ministre""",5,La Libreville,"Rose Christiane Ossouka Raponda, Prisca Koho Nlend, Mgr Séverin Nziengui Mangandza, Pierre-Emerick Aubameyang, Pierre-Alain Mounguengui, Raymond Ndong Sima… Les tops et les flops cette semaine au Gabon",2022-01-09,9,https://lalibreville.com/rose-christiane-ossouka-raponda-prisca-koho-nlend-mgr-severin-nziengui-mangandza-pierre-emerick-aubameyang-pierre-alain-mounguengui-raymond-ndong-sima-les-tops-et-les-flops-cette-semaine/,2022-01-18 09:38:36,national
Saint-Raymond,"""premier ministre""",6,Le Journal de Québec,Le cycliste disparu dans la Vallée Bras-du-Nord retrouvé sans vie,2021-08-28,143,https://www.journaldequebec.com/2021/08/28/le-cycliste-disparu-dans-la-vallee-bras-du-nord-retrouve-sans-vie,2022-01-18 09:38:36,national
Saint-Raymond,"""premier ministre""",7,ICI.Radio-Canada.ca,"Qui est Heather Stefanson, la nouvelle première ministre du Manitoba?",2021-10-30,80,https://ici.radio-canada.ca/nouvelle/1834372/parti-progressiste-conservateur-election-femme,2022-01-18 09:38:36,national
Saint-Raymond,"""premier ministre""",8,Le Journal de Québec,Aspergée d'eau de Javel: son conjoint voulait lui «refroidir les esprits»,2021-10-20,90,https://www.journaldequebec.com/2021/10/20/aspergee-deau-de-javel-son-conjoint-voulait-lui-refroidir-les-esprits,2022-01-18 09:38:36,national
Saint-Raymond,"""premier ministre""",9,Est Républicain,Santé. Covid-19 : ce qu'il faut retenir de la journée de dimanche,2022-01-17,1,https://www.estrepublicain.fr/sante/2022/01/16/covid-19-vers-l-adoption-definitive-du-pass-vaccinal-ce-dimanche,2022-01-18 09:38:37,national
Saint-Raymond,"""premier ministre""",10,Radio-Canada.ca,"Kelvin Goertzen va retirer cinq projets de loi, dont la réforme de l'éducation",2021-09-01,139,https://ici.radio-canada.ca/nouvelle/1820994/premier-ministre-interim-manitoba-reforme,2022-01-18 09:38:37,national
Saint-Raymond,"""premier ministre""",11,Le Journal de Québec,[PHOTOS] Coup de feu à Québec: des malfaiteurs ont tenté de s'introduire dans une résidence de Saint-Émile,2021-09-11,129,https://www.journaldequebec.com/2021/09/11/coup-de-feu-a-quebec-des-malfaiteurs-ont-tente-de-sintroduire-dans-une-residence-de-saint-emile,2022-01-18 09:38:37,national
Saint-Raymond,"""premier ministre""",12,Le Soleil,"Baie-Saint-Paul, Thetford Mines, Montmagny: les résultats dans d'autres municipalités",2021-11-08,71,https://www.lesoleil.com/2021/11/08/baie-saint-paul-thetford-mines-montmagny-les-resultats-dans-dautres-municipalites-96b1461a156917ac9df17142d9ffd980,2022-01-18 09:38:37,national
Saint-Raymond,"""premier ministre""",13,Le Soleil - Groupe Capitales Médias,"Investissement de 1,8 M$ pour contrer les inondations à Saint-Raymond",2021-04-07,286,https://www.lesoleil.com/2021/04/07/investissement-de-18-m-pour-contrer-les-inondations-a-saint-raymond-ef9a8c50fab6128f68b42ad0e8e35c3d,2022-01-18 09:38:37,national
