Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Agathe-des-Monts,"""premier ministre""",1,TVA Nouvelles,Restrictions sanitaires: le commerce de détail en état de choc,2022-01-15,3,https://www.tvanouvelles.ca/2022/01/15/restrictions-sanitaires-le-commerce-de-detail-en-etat-de-choc-1,2022-01-18 09:43:48,national
Sainte-Agathe-des-Monts,"""premier ministre""",2,Le Journal de Montréal,Les grands disparus de 2021,2021-12-31,18,https://www.journaldemontreal.com/2021/12/31/les-grands-disparus-de-2021,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",3,Le Monde,Grève du 13 janvier dans l'éducation nationale : une mobilisation pour demander « plus de moyens pour l'école » et « du respect pour les enseignants »,2022-01-13,5,https://www.lemonde.fr/societe/live/2022/01/13/greve-du-13-janvier-a-l-ecole-suivez-notre-journee-speciale_6109267_3224.html,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",4,Le Journal de Montréal,[CARTE INTERACTIVE] Dans quel état se trouve le pont près de chez vous?,2021-11-13,66,https://www.journaldemontreal.com/2021/11/13/carte-interactive-dans-quel-etat-se-trouve-le-pont-pres-de-chez-vous,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",5,Le Journal de Québec,Sainte-Agathe-des-Monts: maison style chalet suisse avec vues à couper le souffle,2021-06-15,217,https://www.journaldequebec.com/2021/06/15/ste-agathe-des-monts-maison-style-chalet-suisse-avec-vues-a-couper-le-souffle,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",6,Journal Accès,Un mystère autour d'un local de la rue Principale - Accès Laurentides,2021-06-28,204,https://www.journalacces.ca/la-vocation-dun-local-de-la-rue-principale-demeure-un-mystere/,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",7,Journal Accès,Les marchés de Noël à venir dans la région,2021-11-24,55,https://www.journalacces.ca/les-marches-de-noel-a-venir-dans-la-region/,2022-01-18 09:43:49,national
Sainte-Agathe-des-Monts,"""premier ministre""",8,Le Journal de Québec,Walmart: les caissiers en voie de disparition,2021-06-18,214,https://www.journaldequebec.com/2021/06/18/walmart-les-caissiers-sur-le-chemin-de-la-sortie,2022-01-18 09:43:50,national
Sainte-Agathe-des-Monts,"""premier ministre""",9,Le Journal de Montréal,Fous de gin d'ici,2021-11-26,53,https://www.journaldemontreal.com/2021/11/26/fous-de-gin-dici,2022-01-18 09:43:50,national
Sainte-Agathe-des-Monts,"""premier ministre""",10,Journal Le Nord,Cinq maisons des aînés en chantier,2021-05-18,245,https://www.journallenord.com/cinq-maisons-des-aines-en-chantier/,2022-01-18 09:43:50,national
Sainte-Agathe-des-Monts,"""premier ministre""",11,Le Journal de Montréal,Des McDonald's des Laurentides offrent 1000$ à l'embauche,2021-09-14,126,https://www.journaldemontreal.com/2021/09/14/un-mcdonalds-des-laurentides-offre-1000-a-lembauche,2022-01-18 09:43:50,national
Sainte-Agathe-des-Monts,"""premier ministre""",12,Le Soleil - Groupe Capitales Médias,Regard sur certaines des visites du prince Philip au Canada au fil des ans [PHOTOS],2021-04-09,284,https://www.lesoleil.com/2021/04/09/regard-sur-certaines-des-visites-du-prince-philip-au-canada-au-fil-des-ans-photos-528f85b467233aebbd3f33eaed5a3e0a,2022-01-18 09:43:50,national
Sainte-Agathe-des-Monts,"""premier ministre""",13,Journal Accès,Sainte-Agathe : Des baux de logements locatifs signés avant même qu'ils soient construits - Accès Laurentides,2021-04-06,287,https://www.journalacces.ca/boom-immobilier-des-baux-de-logements-locatifs-signes-avant-meme-quils-soient-construits/,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",14,Le Journal de Québec,Sainte-Agathe-des-Monts: magnifique propriété avec vue exceptionnelle sur les montagnes,2021-04-30,263,https://www.journaldequebec.com/2021/04/30/sainte-agathe-des-monts-magnifique-propriete-avec-vue-exceptionnelle-sur-les-montagnes-et-une-superbe-terrasse,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",15,Le Soleil,Phelan décroche l'argent en ski cross à la Coupe du monde de Val Thorens [VIDÉO],2021-12-11,38,https://www.lesoleil.com/2021/12/11/phelan-decroche-largent-en-ski-cross-a-la-coupe-du-monde-de-val-thorens-video-d92ac0142c0b9da639327be5490a1fab,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",16,Le Devoir,La ministre Nadine Girault envers et contre tous,,,https://www.ledevoir.com/politique/quebec/593363/nadine-girault-envers-et-contre-tous,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",17,Le Journal de Montréal,Le Salon du livre de Montréal au Palais des congrès,2021-11-26,53,https://www.journaldemontreal.com/2021/11/26/le-salon-du-livre-de-montreal-au-palais-des-congres,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",18,Le Journal de Montréal,5 incontournables pour une belle tournée dans les Laurentides,2021-08-28,143,https://www.journaldemontreal.com/2021/08/28/5-incontournables-pour-une-belle-tournee-dans-les-laurentides,2022-01-18 09:43:51,national
Sainte-Agathe-des-Monts,"""premier ministre""",19,Le Journal de Québec,Sainte-Julienne : maison-chalet avec des vues remarquables,2021-07-06,196,https://www.journaldequebec.com/2021/07/06/sainte-julienne--maison-chalet-avec-des-vues-remarquables,2022-01-18 09:43:52,national
Sainte-Agathe-des-Monts,"""premier ministre""",20,Le Journal de Montréal,Le long du Richelieu en mode électrique,2021-07-10,192,https://www.journaldemontreal.com/2021/07/10/le-long-du-richelieu-en-mode-electrique,2022-01-18 09:43:52,national
Sainte-Agathe-des-Monts,"""premier ministre""",21,Le Journal de Montréal,Lac des Sables: ce domaine des Laurentides à vendre 4 799 000$,2021-07-25,177,https://www.journaldemontreal.com/2021/07/25/lac-des-sables-ce-domaine-des-laurentides-a-vendre-4-799-000,2022-01-18 09:43:52,national
