Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sherbrooke,"""premier ministre""",1,La Tribune,Anne Casabonne se présentera pour Éric Duhaime | Politique | Actualités,2022-01-17,1,https://www.latribune.ca/2022/01/17/anne-casabonne-se-presentera-pour-eric-duhaime-8958952ee53b40a2729da2cdb7674e21,2022-01-18 13:46:46,national
Sherbrooke,"""premier ministre""",2,TVA Nouvelles,Contribution santé pour les non-vaccinés envisagée,2022-01-11,7,https://www.tvanouvelles.ca/2022/01/11/point-de-presse-du-premier-ministre-legault-a-13h,2022-01-18 13:46:47,national
Sherbrooke,"""premier ministre""",3,TVA Nouvelles,Le passeport vaccinal exigé dans les commerces à grande surface,2022-01-13,5,https://www.tvanouvelles.ca/2022/01/13/annonces-importantes-de-francois-legault-a-15h,2022-01-18 13:46:47,national
Sherbrooke,"""premier ministre""",4,Le Devoir,Horacio Arruda démissionne,2022-01-11,7,https://www.ledevoir.com/politique/quebec/659475/horacio-arruda-a-remis-sa-demission,2022-01-18 13:46:47,national
Sherbrooke,"""premier ministre""",5,La Tribune,"Vaccitaxe: enfin, des coupables! | Le fil des régions | Actualités",2022-01-13,5,https://www.latribune.ca/2022/01/13/vaccitaxe-enfin-des-coupables-9a435f2b44fff5a5e6179f46559e137d,2022-01-18 13:46:47,national
Sherbrooke,"""premier ministre""",6,La Presse,Vingt ans plus tard | L'impossible bilan des fusions municipales,2022-01-16,2,https://www.lapresse.ca/actualites/politique/2022-01-16/vingt-ans-plus-tard/l-impossible-bilan-des-fusions-municipales.php,2022-01-18 13:46:47,national
Sherbrooke,"""premier ministre""",7,iHeartRadio,Manifestation contre le couvre-feu jeudi soir à Sherbrooke,2022-01-14,4,https://www.iheartradio.ca/energie/energie-estrie/nouvelles/manifestation-contre-le-couvre-feu-jeudi-soir-a-sherbrooke-1.16927725,2022-01-18 13:46:48,national
Sherbrooke,"""premier ministre""",8,La Presse,Montréal | Des manifestants contre les mesures sanitaires défient le couvre-feu,2022-01-01,17,https://www.lapresse.ca/actualites/2022-01-01/montreal/des-manifestants-contre-les-mesures-sanitaires-defient-le-couvre-feu.php,2022-01-18 13:46:48,national
Sherbrooke,"""premier ministre""",9,La Tribune,Lâchez-leur les baskets | Opinions,2022-01-12,6,https://www.latribune.ca/2022/01/12/lachez-leur-les-baskets-c9acbc165ed4d3d905fada47196c6272,2022-01-18 13:46:48,national
Sherbrooke,"""premier ministre""",10,La Tribune,Le passeport vaccinal ne passe pas chez Renaud-Bray,2022-01-15,3,https://www.latribune.ca/2022/01/15/le-passeport-vaccinal-ne-passe-pas-chez-renaud-bray-1daa099fd567a01ff4ac70c9d448cc4b,2022-01-18 13:46:48,national
Sherbrooke,"""premier ministre""",11,La Tribune,L'Australie annule le visa de Novak Djokovic,2022-01-05,13,https://www.latribune.ca/2022/01/05/laustralie-annule-le-visa-de-novak-djokovic-5cc644b88df9c64f71af5040461a873e,2022-01-18 13:46:48,national
Sherbrooke,"""premier ministre""",12,Le Soleil de Châteauguay,Lettre ouverte - L'Association libérale locale demande une convocation d'urgence de l'Assemblée nationale,2022-01-14,4,https://www.cybersoleil.com/opinion-association-liberale-locale-demande-de-covoquer-assemblee-nationale-urgence/,2022-01-18 13:46:49,national
Sherbrooke,"""premier ministre""",13,Radio-Canada.ca,"Si Omicron est moins sévère avec les individus, il n'épargne pas les systèmes de santé | Coronavirus",2022-01-16,2,https://ici.radio-canada.ca/nouvelle/1854417/severe-omicron-hopitaux-systeme-sante-pandemie-coronavirus,2022-01-18 13:46:49,national
Sherbrooke,"""premier ministre""",14,La Tribune,Ottawa versera 40 milliards pour les enfants autochtones | Actualités,2022-01-04,14,https://www.latribune.ca/2022/01/04/ottawa-versera-40-milliards-pour-les-enfants-autochtones-6876cdcbe467cf64669eac82ed78b256,2022-01-18 13:46:49,national
Sherbrooke,"""premier ministre""",15,La Tribune,"«Des exclusions basées sur le passeport vaccinal», déplore Mgr Cyr",2021-12-20,29,https://www.latribune.ca/2021/12/20/des-exclusions-basees-sur-le-passeport-vaccinal-deplore-mgr-cyr-fcf52eade4aa21a5627583702cf434d7,2022-01-18 13:46:50,national
Sherbrooke,"""premier ministre""",16,La Tribune,Estrie : quatre nouveaux décès et une baisse des cas,2021-12-21,28,https://www.latribune.ca/2021/12/21/estrie--quatre-nouveaux-deces-et-une-baisse-des-cas-0fabe0d0e4e0df99a8231eda4fd939f9,2022-01-18 13:46:50,national
Sherbrooke,"""premier ministre""",17,La Tribune,"Plus d'hospitalisations, est-ce le pic à l'horizon?",2022-01-14,4,https://www.latribune.ca/2022/01/14/plus-dhospitalisations-est-ce-le-pic-a-lhorizon-7b7c744160b552af6f4529019926717d,2022-01-18 13:46:50,national
Sherbrooke,"""premier ministre""",18,TVA Nouvelles,"Malgré une assurance, ils sont incapables de reporter leur voyage dans le Sud",2021-12-24,25,https://www.tvanouvelles.ca/2021/12/24/malgre-une-assurance-ils-sont-incapables-de-reporter-leur-voyage-dans-le-sud,2022-01-18 13:46:50,national
Sherbrooke,"""premier ministre""",19,La Tribune,Retour sur 2021 en 10 objets | Actualités,2021-12-24,25,https://www.latribune.ca/2021/12/24/retour-sur-2021-en-10-objets-c5ad39142782bdcb07b8e06466ef78c8,2022-01-18 13:46:51,national
Sherbrooke,"""premier ministre""",20,TVA Nouvelles,Conflits commerciaux à la pelle entre le Canada et les États-Unis,2022-01-08,10,https://www.tvanouvelles.ca/2022/01/08/conflits-commerciaux-a-la-pelle-entre-le-canada-et-les-etats-unis,2022-01-18 13:46:51,national
Sherbrooke,"""premier ministre""",21,La Tribune,Retour à l'école en présence : entre inquiétude et soulagement,2022-01-16,2,https://www.latribune.ca/2022/01/16/retour-a-lecole-en-presence--entre-inquietude-et-soulagement-b1346e050c50141d4be053ff7f89b018,2022-01-18 13:46:51,national
Sherbrooke,"""premier ministre""",22,Le Journal de Montréal,L'ex-ministre Luc Fortin se présente à la mairie de Sherbrooke,2021-09-14,126,https://www.journaldemontreal.com/2021/09/13/lex-ministre-luc-fortin-lorgnerait-la-mairie-de-sherbrooke-1,2022-01-18 13:46:51,national
Sherbrooke,"""premier ministre""",23,La Tribune,Le premier ministre suédois Stefan Löfven démissionne | Monde | Actualités,2021-11-10,69,https://www.latribune.ca/2021/11/10/le-premier-ministre-suedois-stefan-lofven-demissionne-23f0815cd80b1638a0301870aa81dbe6,2022-01-18 13:46:52,national
Sherbrooke,"""premier ministre""",24,Le Devoir,​1948–2021: l'ancien ministre libéral Pierre Reid est mort,2021-11-17,62,https://www.ledevoir.com/politique/quebec/647748/l-ancien-ministre-liberal-pierre-reid-est-mort,2022-01-18 13:46:52,national
Sherbrooke,"""premier ministre""",25,TVA Nouvelles,"Le Premier ministre français positif à la COVID-19, son homologue belge en quarantaine",2021-11-22,57,https://www.tvanouvelles.ca/2021/11/22/le-premier-ministre-francais-jean-castex-positif-a-la-covid-19-1,2022-01-18 13:46:52,national
Sherbrooke,climat,1,La Tribune,Réchauffement climatique record sur les sept dernières années,2022-01-10,8,https://www.latribune.ca/2022/01/10/rechauffement-climatique-record-sur-les-sept-dernieres-annees-a62313cfb51a11529876615dfe3eb6db,2022-01-18 13:47:32,national
Sherbrooke,climat,2,La Tribune,Vivre les changements climatiques | Claude Villeneuve | Chroniques réseau,2022-01-04,14,https://www.latribune.ca/2022/01/04/vivre-les-changements-climatiques-14db90f7ecc896724518b2c425ddd350,2022-01-18 13:47:32,national
Sherbrooke,climat,3,MétéoMédia,"Les extrêmes du Québec en 2021, les voici",2021-12-27,22,https://www.meteomedia.com/ca/nouvelles/article/les-extremes-du-quebec-les-voici,2022-01-18 13:47:32,national
Sherbrooke,climat,4,La Tribune,Déni cosmique et risque environnemental: craindre l'inaction,2022-01-16,2,https://www.latribune.ca/2022/01/16/deni-cosmique-et-risque-environnemental-craindre-linaction-70610104ee97f030368203e846a17fe6,2022-01-18 13:47:32,national
Sherbrooke,climat,5,La Tribune,Un financement pour le CREE | Estrie et régions | Actualités,2021-12-20,29,https://www.latribune.ca/2021/12/20/un-financement-pour-le-cree-24cf90e17fd0629a9ec2a89d55d528c0,2022-01-18 13:47:33,national
Sherbrooke,climat,6,La Tribune,1000 $ par seconde | Vos chroniques locales,2022-01-18,0,https://www.latribune.ca/2022/01/18/1000--par-seconde-d9a1c5a02d7a6021fa74663cb5b10a88,2022-01-18 13:47:33,national
Sherbrooke,climat,7,Université de Sherbrooke,Revue de presse - Actualités,2022-01-18,0,https://www.usherbrooke.ca/actualites/relations-medias/revue-de-presse/2022,2022-01-18 13:47:33,national
Sherbrooke,climat,8,La Tribune,Anne Casabonne se présentera pour Éric Duhaime | Politique | Actualités,2022-01-17,1,https://www.latribune.ca/2022/01/17/anne-casabonne-se-presentera-pour-eric-duhaime-8958952ee53b40a2729da2cdb7674e21,2022-01-18 13:47:33,national
Sherbrooke,climat,9,La Tribune - Groupe Capitales Médias,Sherbrooke entre dans le mouvement mondial de grève pour le climat,2021-09-18,122,https://www.latribune.ca/2021/09/18/sherbrooke-entre-dans-le-mouvement-mondial-de-greve-pour-le-climat-e7d7b8a7b12066da2f0beb8dcaa8f575,2022-01-18 13:47:33,national
Sherbrooke,climat,10,LesAffaires.com,La pandémie amène les acheteurs de voitures à adapter leurs habitudes,2022-01-13,5,https://www.lesaffaires.com/secteurs-d-activite/general/la-pandemie-amene-les-acheteurs-de-voitures-a-adapter-leurs-habitudes/630130,2022-01-18 13:47:34,national
Sherbrooke,climat,11,La Tribune - Groupe Capitales Médias,Plan climat : un dépôt en 2022 pour une cible en 2030,2021-09-24,116,https://www.latribune.ca/2021/09/24/plan-climat--un-depot-en-2022-pour-une-cible-en-2030-4717edb5f5555b7148cb627c6b327b2d,2022-01-18 13:47:34,national
Sherbrooke,climat,12,La Terre de chez nous,Les vers de terre pour la santé des sols | La Terre de Chez Nous,2022-01-17,1,https://www.laterre.ca/du-secteur/formation/les-vers-de-terre-pour-la-sante-des-sols,2022-01-18 13:47:34,national
Sherbrooke,climat,13,La Tribune,"Les Canadiens appuient les nouvelles politiques sur le climat, selon un sondage",2021-11-09,70,https://www.latribune.ca/2021/11/09/les-canadiens-appuient-les-nouvelles-politiques-sur-le-climat-selon-un-sondage-c15e66d6f844fad536b8868cac93929f,2022-01-18 13:47:34,national
