Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chibougamau,accident,1,Le Quotidien,Un motoneigiste sauvé de la noyade à Chibougamau,2021-11-27,52,https://www.lequotidien.com/2021/11/27/un-motoneigiste-sauve-de-la-noyade-a-chibougamau-7a1ac28f98a736282080fb9b14eedc9c,2022-01-18 16:40:41,local
Chibougamau,accident,2,ICI.Radio-Canada.ca,Un pilote d'hélicoptère regagne la rive après un écrasement à l'ouest de Chibougamau,2021-10-08,102,https://ici.radio-canada.ca/nouvelle/1830456/chibougamau-secours-lac,2022-01-18 16:40:41,local
Chibougamau,accident,3,La Presse,Froid extrême attendu dans certaines régions du Québec,2022-01-02,16,https://www.lapresse.ca/actualites/environnement/2022-01-02/froid-extreme-attendu-dans-certaines-regions-du-quebec.php,2022-01-18 16:40:41,local
Chibougamau,accident,4,ICI.Radio-Canada.ca,Un mort dans un accident entre deux camions près de Chibougamau,,,https://ici.radio-canada.ca/nouvelle/1066340/un-mort-dans-un-accident-entre-deux-camions-pres-de-chibougamau,2022-01-18 16:40:41,local
Chibougamau,accident,5,Le Journal de Québec,[PHOTOS] Un chasseur se noie dans le Saint-Laurent,2021-11-28,51,https://www.journaldequebec.com/2021/11/28/quebec-un-homme-a-la-derive-sur-le-fleuve,2022-01-18 16:40:42,local
Chibougamau,accident,6,Journal Nouvelles Hebdo,"Accident Route 167: heureusement, les deux conducteurs sont hors de danger !",,,https://www.nouvelleshebdo.com/actualite/accident-route-167-heureusement-les-deux-conducteurs-sont-hors-de-danger/,2022-01-18 16:40:42,local
Chibougamau,accident,7,TVA Nouvelles,Emporté par sa plus grande passion,,,https://www.tvanouvelles.ca/2018/10/09/emporte-par-sa-plus-grande-passion-1,2022-01-18 16:40:42,local
Chibougamau,accident,8,ICI.Radio-Canada.ca,Accident mortel sur la route à 169 à Saint-Prime,2021-04-08,285,https://ici.radio-canada.ca/nouvelle/1783079/accident-route-169-saint-prime,2022-01-18 16:40:42,local
Chibougamau,accident,9,Le Quotidien,Des moments marquants sur fond d'incertitude | Sports,2021-12-31,18,https://www.lequotidien.com/2021/12/31/des-moments-marquants-sur-fond-dincertitude-0d6866941de98159cd5ade032ce72385,2022-01-18 16:40:42,local
Chibougamau,accident,10,Le Quotidien - Groupe Capitales Médias,Accident impliquant un quadriporteur : l'identité de la victime dévoilée,2021-08-20,151,https://www.lequotidien.com/2021/08/20/accident-impliquant-un-quadriporteur--lidentite-de-la-victime-devoilee-21f6ab6d23d48bfaeb13465849cdc647,2022-01-18 16:40:42,local
Chibougamau,accident,11,Le Quotidien - Groupe Capitales Médias,Circulation perturbée en raison d'un accident à Chicoutimi-Nord,2021-05-31,232,https://www.lequotidien.com/2021/05/31/circulation-perturbee-en-raison-dun-accident-a-chicoutimi-nord-b8bab8b19e25d56a42d9eb569cab879a,2022-01-18 16:40:43,local
Chibougamau,accident,12,Le Quotidien - Groupe Capitales Médias,Un policier et un citoyen grièvement blessés dans un accident sur la 167,,,https://www.lequotidien.com/2018/12/09/un-policier-et-un-citoyen-grievement-blesses-dans-un-accident-sur-la-167-abf37b058dbd945176a646f309f7c239,2022-01-18 16:40:43,local
Chibougamau,accident,13,ICI.Radio-Canada.ca,Une adolescente blessée gravement à Hébertville,2021-04-19,274,https://ici.radio-canada.ca/nouvelle/1786272/accident-herbertville-adolescente-blessee-grave,2022-01-18 16:40:43,local
Chibougamau,accident,14,Le Quotidien - Groupe Capitales Médias,Deux lynx s'offrent en spectacle sur la 167 près de Chibougamau [VIDÉO],,,https://www.lequotidien.com/2020/11/07/deux-lynx-soffrent-en-spectacle-sur-la-167-pres-de-chibougamau-video-80c1dba774ab8e6dc2aafa63ab264271,2022-01-18 16:40:43,local
Chibougamau,accident,15,Le Quotidien - Groupe Capitales Médias,Sortie de route mortelle à Val-d'Or,2021-09-26,114,https://www.lequotidien.com/2021/09/26/sortie-de-route-mortelle-a-val-dor-bcfe14fa0f01aea3c2e22fc97d389f8a,2022-01-18 16:40:43,local
Chibougamau,accident,16,Le Journal de Montréal,Une veuve n'aurait pas peur de voler encore,,,https://www.journaldemontreal.com/2019/07/18/une-veuve-naurait-pas-peur-de-voler-encore,2022-01-18 16:40:43,local
Chibougamau,décès OR mort,1,NecrologieCanada,LALANCETTE Derick 1982 2022,2022-01-16,2,https://necrocanada.com/deces-2022/lalancette-derick-1982-2022/,2022-01-18 16:41:17,local
Chibougamau,décès OR mort,2,ICI.Radio-Canada.ca,Des pompiers en renfort aux ambulanciers à Chibougamau et Chapais | Coronavirus,2022-01-03,15,https://ici.radio-canada.ca/nouvelle/1851615/route-167-reserve-faunique-ashuapmushuan,2022-01-18 16:41:17,local
Chibougamau,décès OR mort,3,NecrologieCanada,Sylvain BOISSONNEAULT 2022,2022-01-16,2,https://necrocanada.com/deces-2022/sylvain-boissonneault-2022/,2022-01-18 16:41:17,local
Chibougamau,décès OR mort,4,ICI.Radio-Canada.ca,106 nouveaux cas de COVID-19 en Abitibi-Témiscamingue,2021-12-28,21,https://ici.radio-canada.ca/nouvelle/1850590/bilan-covid-19-abitibi-temiscamingue-28-decembre-2021,2022-01-18 16:41:17,local
Chibougamau,décès OR mort,5,Le Journal de Québec,Saguenay: au moins deux morts dans une puissante explosion à Arvida,2022-01-11,7,https://www.journaldequebec.com/2022/01/10/une-explosion-mobilise-les-autorites-a-arvida,2022-01-18 16:41:17,local
Chibougamau,décès OR mort,6,Le Quotidien,Un motoneigiste sauvé de la noyade à Chibougamau,2021-11-27,52,https://www.lequotidien.com/2021/11/27/un-motoneigiste-sauve-de-la-noyade-a-chibougamau-7a1ac28f98a736282080fb9b14eedc9c,2022-01-18 16:41:18,local
Chibougamau,décès OR mort,7,Le Journal de Québec,[PHOTOS] Un chasseur se noie dans le Saint-Laurent,2021-11-28,51,https://www.journaldequebec.com/2021/11/28/quebec-un-homme-a-la-derive-sur-le-fleuve,2022-01-18 16:41:18,local
Chibougamau,décès OR mort,8,TVA Nouvelles,Emporté par sa plus grande passion,,,https://www.tvanouvelles.ca/2018/10/09/emporte-par-sa-plus-grande-passion-1,2022-01-18 16:41:18,local
Chibougamau,décès OR mort,9,ICI.Radio-Canada.ca,Un mort dans un accident entre deux camions près de Chibougamau,,,https://ici.radio-canada.ca/nouvelle/1066340/un-mort-dans-un-accident-entre-deux-camions-pres-de-chibougamau,2022-01-18 16:41:18,local
Chibougamau,décès OR mort,10,La Sentinelle et le Jamésien,Cinq pompiers de Chibougamau honorés,2021-10-21,89,https://www.lasentinelle.ca/cinq-pompiers-de-chibougamau-honores/,2022-01-18 16:41:18,local
Chibougamau,décès OR mort,11,ICI.Radio-Canada.ca,Un pilote d'hélicoptère regagne la rive après un écrasement à l'ouest de Chibougamau,2021-10-08,102,https://ici.radio-canada.ca/nouvelle/1830456/chibougamau-secours-lac,2022-01-18 16:41:19,local
Chibougamau,décès OR mort,12,ICI.Radio-Canada.ca,Un projet de mine de fer de 500 M$ à Chibougamau et au port de Saguenay,2021-04-22,271,https://ici.radio-canada.ca/nouvelle/1786262/mine-projet-nord-du-quebec,2022-01-18 16:41:19,local
Chibougamau,décès OR mort,13,Le Dauphiné Libéré,Météo. Froid polaire : le Québec grelotte et pulvérise son record de consommation d'électricité,2022-01-12,6,https://www.ledauphine.com/environnement/2022/01/12/froid-polaire-le-quebec-grelotte-et-pulverise-son-record-de-consommation-d-electricite,2022-01-18 16:41:19,local
Chibougamau,décès OR mort,14,NecrologieCanada,GIRARD Therese 1934 2021,2021-12-13,36,https://necrocanada.com/deces-2021/girard-therese-1934-2021/,2022-01-18 16:41:19,local
Chibougamau,décès OR mort,15,La Presse,François Legault veut peupler le nord du Québec,2021-08-16,155,https://www.lapresse.ca/actualites/regional/2021-08-16/francois-legault-veut-peupler-le-nord-du-quebec.php,2022-01-18 16:41:19,local
Chibougamau,décès OR mort,16,La Sentinelle et le Jamésien,Le processus électoral est en marche,2021-10-27,83,https://www.lasentinelle.ca/le-processus-electoral-est-en-marche/,2022-01-18 16:41:20,local
Chibougamau,décès OR mort,17,Le Quotidien - Groupe Capitales Médias,Deux lynx s'offrent en spectacle sur la 167 près de Chibougamau [VIDÉO],,,https://www.lequotidien.com/2020/11/07/deux-lynx-soffrent-en-spectacle-sur-la-167-pres-de-chibougamau-video-80c1dba774ab8e6dc2aafa63ab264271,2022-01-18 16:41:20,local
Chibougamau,décès OR mort,18,La Sentinelle et le Jamésien,Un Chibougamois accusé d'avoir menacé le premier ministre,2021-03-10,314,https://www.lasentinelle.ca/menace-de-mort-envers-le-pm-un-chibougamois-devant-la-justice/,2022-01-18 16:41:20,local
Chibougamau,décès OR mort,19,ICI.Radio-Canada.ca,Police communautaire mixte : le modèle de Val-d'Or sera implanté dans quatre villes,2021-12-14,35,https://ici.radio-canada.ca/nouvelle/1847291/poste-surete-autochtones-allochtones-chibougamau-maniwaki,2022-01-18 16:41:20,local
Chibougamau,décès OR mort,20,NecrologieCanada,GUERTIN PROULX Suzanne 1921 2021,2021-12-13,36,https://necrocanada.com/deces-2021/guertin-proulx-suzanne-1921-2021/,2022-01-18 16:41:20,local
