Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Drummondville,accident,1,VINGT 55 Média web,Un accident cause une importante panne de courant dans le secteur de la rue Marchand,2022-01-18,0,https://vingt55.ca/un-accident-cause-une-importante-panne-de-courant-dans-le-secteur-de-la-rue-marchand/,2022-01-18 12:00:11,local
Drummondville,accident,2,VINGT 55 Média web,Accident impliquant deux véhicules et un bâtiment à Drummondville,2022-01-06,12,https://vingt55.ca/accident-impliquant-deux-vehicules-et-un-batiment-a-drummondville/,2022-01-18 12:00:11,local
Drummondville,accident,3,TVA Nouvelles,Une conductrice de 17 ans perd la vie dans un accident de la route à Drummondville,2021-11-28,51,https://www.tvanouvelles.ca/2021/11/28/un-blesse-grave-dans-un-accident-de-la-route-a-drummondville-1,2022-01-18 12:00:11,local
Drummondville,accident,4,L'Express - Drummondville,Un accident à Saint-Félix-de-Kingsey nuit à la circulation - L'Express,2022-01-15,3,https://www.journalexpress.ca/2022/01/15/un-accident-a-saint-felix-de-kingsey-nuit-a-la-circulation/,2022-01-18 12:00:11,local
Drummondville,accident,5,Le Nouvelliste,Les faits divers qui ont marqué l'année 2021,2022-01-03,15,https://www.lenouvelliste.ca/2022/01/03/les-faits-divers-qui-ont-marque-lannee-2021-183d5e44afd6e9295cd5cb98dd1b2d2f,2022-01-18 12:00:12,local
Drummondville,accident,6,VINGT 55 Média web,Cinq personnes blessées dans un face à face sur la 255 près de Drummondville,2021-06-29,203,https://vingt55.ca/cinq-personnes-blessees-dans-un-face-a-face-sur-la-255-pres-de-drummondville/,2022-01-18 12:00:12,local
Drummondville,accident,7,La Tribune - Groupe Capitales Médias,Accident sur l'autoroute 20 est à la hauteur de Drummondville,2021-06-20,212,https://www.latribune.ca/2021/06/20/accident-sur-lautoroute-20-est-a-la-hauteur-de-drummondville-33b8d1078dd9392cb6a14c975541105c,2022-01-18 12:00:12,local
Drummondville,accident,8,VINGT 55 Média web,"Accident tragique pour 5 adolescents, un jeune de 17 ans perd la vie à Drummondville",2021-06-12,220,https://vingt55.ca/accident-tragique-pour-5-adolescents-un-jeune-de-17-ans-perd-la-vie-a-drummondville/,2022-01-18 12:00:13,local
Drummondville,accident,9,L'Express - Drummondville,Une adolescente happée à Saint-Majorique - L'Express,2021-10-08,102,https://www.journalexpress.ca/2021/10/08/accident-saint-joseph-une-adolescente-happee-a-saint-majorique/,2022-01-18 12:00:13,local
Drummondville,accident,10,L'Express - Drummondville,Un violente sortie de route coûte la vie à une femme sur le chemin Hemming - L'Express,2021-10-01,109,https://www.journalexpress.ca/2021/10/01/1-drummondville-violent-accident-sur-le-chemin-hemming/,2022-01-18 12:00:13,local
Drummondville,accident,11,VINGT 55 Média web,Deux travailleurs blessés dans une zone de travaux sur l'autoroute 20 près de Drummondville,2021-04-08,285,https://vingt55.ca/deux-travailleurs-blesses-dans-une-zone-de-travaux-sur-lautoroute-20-pres-de-drummondville/,2022-01-18 12:00:13,local
