Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Drummondville,élection OR campagne,1,L’actualité,Services ambulanciers: Dessercom en campagne contre la violence,2022-01-18,0,https://lactualite.com/actualites/dessercom-lance-une-campagne-contre-la-violence-envers-les-paramedics/,2022-01-18 13:05:34,mixte
Drummondville,élection OR campagne,2,La Nouvelle Union,Piste d'athlétisme intérieure souhaitée à Victo,2022-01-18,0,https://www.lanouvelle.net/2022/01/18/piste-dathletisme-interieure-souhaitee-a-victo/,2022-01-18 13:05:34,mixte
Drummondville,élection OR campagne,3,L'Express - Drummondville,William Boyer-Richard séduit par son nouvel environnement - L'Express,2022-01-14,4,https://www.journalexpress.ca/2022/01/14/william-boyer-richard-seduit-badgers-universite-brock-basketball-sports-drummondville/,2022-01-18 13:05:34,mixte
Drummondville,élection OR campagne,4,Le Quotidien,Yanick Jean a les mains pleines | Sports,2022-01-18,0,https://www.lequotidien.com/2022/01/18/yanick-jean-a-les-mains-pleines-f43cbe1105c66a002c2067c30da44efb,2022-01-18 13:05:34,mixte
Drummondville,élection OR campagne,5,Le Soleil,Les Remparts prisés en vue du repêchage | Remparts | Sports,2022-01-13,5,https://www.lesoleil.com/2022/01/13/les-remparts-prises-en-vue-du-repechage-0ccdfe49a9a19550b13ed7599647f8c2,2022-01-18 13:05:35,mixte
Drummondville,élection OR campagne,6,NHL.com,Poolers : Des nouvelles de l'infirmerie,2022-01-16,2,https://www.nhl.com/fr/news/poolers--des-nouvelles-de-linfirmerie/c-329821628,2022-01-18 13:05:35,mixte
Drummondville,député,1,L'Express - Drummondville,Décès de Jean-Marc Vallée : le député Champoux réagit - L'Express,2021-12-27,22,https://www.journalexpress.ca/2021/12/27/deces-de-jean-marc-vallee-le-depute-champoux-reagit/,2022-01-18 13:06:12,mixte
Drummondville,député,2,Le Devoir,Les chantiers du ministre Jean Boulet,2022-01-17,1,https://www.ledevoir.com/politique/quebec/660954/entrevue-les-chantiers-de-jean-boulet,2022-01-18 13:06:12,mixte
Drummondville,député,3,VINGT 55 Média web,"L'équipe du député de Drummond-Bois-Francs, Sébastien Schneeberger, accueille un nouveau membre",2021-10-18,92,https://vingt55.ca/lequipe-du-depute-de-drummond-bois-francs-sebastien-schneeberger-accueille-un-nouveau-membre/,2022-01-18 13:06:12,mixte
Drummondville,député,4,L'Express - Drummondville,Les députés de la région félicitent Stéphanie Lacoste - L'Express,2021-11-09,70,https://www.journalexpress.ca/2021/11/09/les-deputes-de-la-region-felicitent-stephanie-lacoste-mairie-de-drummondville-elections-municipales/,2022-01-18 13:06:13,mixte
Drummondville,député,5,VINGT 55 Média web,Élections fédérales 2021 – Martin Champoux réélu à Drummondville pour le Bloc québécois,2021-09-20,120,https://vingt55.ca/elections-federales-2021-martin-champoux-reelu-a-drummondville-pour-le-bloc-quebecois/,2022-01-18 13:06:13,mixte
Drummondville,député,6,VINGT 55 Média web,Martin Champoux sollicite officiellement un deuxième mandat comme député du Bloc Québécois dans Drummond,2021-05-08,255,https://vingt55.ca/martin-champoux-sollicite-officiellement-un-deuxieme-mandat-comme-depute-du-bloc-quebecois-dans-drummond/,2022-01-18 13:06:13,mixte
Drummondville,député,7,VINGT 55 Média web,"La campagne de Martin Champoux bat son plein : ''Que ce soit comme député ou comme candidat, mes priorités sont les mêmes pour la région, être sur le terrain, accessible et près des gens''",2021-08-20,151,https://vingt55.ca/la-campagne-du-candidat-bloquiste-martin-champoux-bat-son-plein-que-ce-soit-comme-depute-ou-comme-candidat-mes-priorites-sont-les-memes-pour-la-region-etre-sur-le-terrain-access/,2022-01-18 13:06:13,mixte
