Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Fermont,accident,1,Ma Côte-Nord,"Fonction publique, CPE, ArcelorMittal… une année de grandes négos",2021-12-30,19,https://macotenord.com/fonction-publique-cpe-arcelormittal-une-annee-de-grandes-negos/,2022-01-18 12:03:32,local
Fermont,accident,2,Le Soleil - Groupe Capitales Médias,Accident de travail mortel chez ArcelorMittal près de Fermont,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-travail-mortel-chez-arcelormittal-pres-de-fermont-039a962767a4463fbb75d641c75551cb,2022-01-18 12:03:32,local
Fermont,accident,3,Ma Côte-Nord,Accident de travail mortel à Fermont,,,https://macotenord.com/accident-de-travail-mortel-a-fermont/,2022-01-18 12:03:32,local
Fermont,accident,4,ICI.Radio-Canada.ca,Une sortie de route fait un mort et un blessé grave sur la route 138 à Chute-aux-Outardes,2021-06-16,216,https://ici.radio-canada.ca/nouvelle/1802188/accident-grave-chute-aux-outardes-route-138,2022-01-18 12:03:32,local
Fermont,accident,5,ICI.Radio-Canada.ca,S'attaquer au manque de logements à Fermont,2021-11-04,75,https://ici.radio-canada.ca/nouvelle/1837346/crise-appartement-cout-prix-loyer-emploi-mine-arcelor-mittal,2022-01-18 12:03:33,local
Fermont,accident,6,ICI.Radio-Canada.ca,Accident d'autobus d'OC Transpo : la chauffeuse reconnue non coupable,2021-09-22,118,https://ici.radio-canada.ca/nouvelle/1826154/aissatou-diallo-proces-accident-bus-8155-verdict,2022-01-18 12:03:33,local
Fermont,accident,7,Zone911,Camion citerne en feu sur la route 389 (au Relais Gabriel) [Photos],2021-08-25,146,https://zone911.com/incendies/31309-camion-citerne-en-feu-sur-la-route-389-au-relais-gabriel-photos,2022-01-18 12:03:34,local
Fermont,accident,8,ICI.Radio-Canada.ca,Un petit avion se renverse lors de son atterrissage à Baie-Comeau,2021-06-17,215,https://ici.radio-canada.ca/nouvelle/1802463/accident-incident-avion-cotenord-cessna-urgence,2022-01-18 12:03:34,local
Fermont,accident,9,Ma Côte-Nord,Le fondateur de Cancer Fermont Denis Grenier honoré par les Métallos,2021-12-08,41,https://macotenord.com/le-fondateur-de-cancer-fermont-denis-grenier-honore-par-les-metallos/,2022-01-18 12:03:34,local
Fermont,accident,10,TVA Nouvelles,Un travailleur perd la vie à la mine du Mont-Wright de Fermont,,,https://www.tvanouvelles.ca/2019/09/23/un-travailleur-minier-meurt-a-fermont,2022-01-18 12:03:34,local
Fermont,accident,11,ICI.Radio-Canada.ca,Enquête sur deux morts violentes survenues à Fermont,,,https://ici.radio-canada.ca/nouvelle/1145021/mort-meurtre-fermont-coup-feu-crime-accident-victime,2022-01-18 12:03:34,local
Fermont,accident,12,Le Journal de Québec,Onde de choc à Fermont après la mort d'un employé d'ArcelorMittal,,,https://www.journaldequebec.com/2019/09/23/un-travailleur-minier-meurt-a-fermont-1,2022-01-18 12:03:35,local
Fermont,accident,13,Ma Côte-Nord,Une minière étudie des gisements de cuivre-nickel près de Fermont et de fer au Labrador,2021-02-16,336,https://macotenord.com/une-miniere-etudie-des-gisements-de-cuivre-nickel-pres-de-fermont-et-de-fer-au-labrador/,2022-01-18 12:03:35,local
Fermont,accident,14,ICI.Radio-Canada.ca,L'incendie d'une foreuse cause la fermeture de la route 389 pendant 12 heures,,,https://ici.radio-canada.ca/nouvelle/1718702/route-389-labrador-quebec-fermont-accident-,2022-01-18 12:03:35,local
Fermont,accident,15,Radio-Canada.ca,Entente de principe chez ArcelorMittal,2021-06-05,227,https://ici.radio-canada.ca/nouvelle/1799155/entente-principe-arcelormittal-cote-nord-juin-2021,2022-01-18 12:03:35,local
Fermont,décès OR mort,1,NecrologieCanada,Aline Allain 2022,2022-01-06,12,https://necrocanada.com/deces-2022/aline-allain-2022/,2022-01-18 12:04:10,local
Fermont,décès OR mort,2,NecrologieCanada,Denis Bourgeois 1969 2021 (52 ans),2021-12-27,22,https://necrocanada.com/deces-2021/denis-bourgeois-1969-2021-52-ans/,2022-01-18 12:04:10,local
