Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Granby,"""premier ministre""",1,Granby Express,Une contribution santé exigée pour les non-vaccinés,2022-01-11,7,https://www.granbyexpress.com/2022/01/11/une-contribution-sante-exigee-pour-les-non-vaccines/,2022-01-18 13:27:23,national
Granby,"""premier ministre""",2,Radio-Canada.ca,Décès de l'artiste Karim Ouellet,2022-01-18,0,https://ici.radio-canada.ca/nouvelle/1855170/deces-artiste-karim-ouellet-quebec-francophonie,2022-01-18 13:27:23,national
Granby,"""premier ministre""",3,Granby Express,Retour du couvre-feu dès demain 22h,2021-12-30,19,https://www.granbyexpress.com/2021/12/30/retour-du-couvre-feu-des-demain-22h/,2022-01-18 13:27:24,national
Granby,"""premier ministre""",4,Granby Express,"Retour en classe, fin du couvre-feu et passeport vaccinal dans les magasins à grande surface",2022-01-13,5,https://www.granbyexpress.com/2022/01/13/retour-en-classe-fin-du-couvre-feu-et-passeport-vaccinal-dans-les-magasins-a-grande-surface/,2022-01-18 13:27:24,national
Granby,"""premier ministre""",5,La Voix de l'est,"Vaccitaxe: enfin, des coupables! | Chroniques",2022-01-15,3,https://www.lavoixdelest.ca/2022/01/13/vaccitaxe-enfin-des-coupables-9a435f2b44fff5a5e6179f46559e137d,2022-01-18 13:27:24,national
Granby,"""premier ministre""",6,Le Devoir,Le Canada veut vendre plus de gaz naturel en Allemagne,2022-01-18,0,https://www.ledevoir.com/societe/environnement/661206/energie-le-canada-veut-vendre-plus-de-gaz-naturel-en-allemagne,2022-01-18 13:27:24,national
Granby,"""premier ministre""",7,La Voix de l'est,Le Québec déclare 6361 nouveaux cas de COVID-19 et file vers plus de contraintes,2021-12-21,28,https://www.lavoixdelest.ca/2021/12/22/le-quebec-declare-6361-nouveaux-cas-de-covid-19-et-file-vers-plus-de-contraintes-a71a73ff627a422ab94219678550002c,2022-01-18 13:27:24,national
Granby,"""premier ministre""",8,La Voix de l'est,Estrie : quatre nouveaux décès et une baisse des cas,2021-12-21,28,https://www.lavoixdelest.ca/2021/12/21/estrie--quatre-nouveaux-deces-et-une-baisse-des-cas-0fabe0d0e4e0df99a8231eda4fd939f9,2022-01-18 13:27:25,national
Granby,"""premier ministre""",9,Le Journal de Montréal,Une école de danse vole en fumée à Granby,2021-09-10,130,https://www.journaldemontreal.com/2021/09/10/une-ecole-de-danse-vole-en-fumee-a-granby,2022-01-18 13:27:25,national
Granby,"""premier ministre""",10,La Voix de l'est - Groupe Capitales Médias,Un incendie ravage un immeuble à logements à Granby,2021-10-09,101,https://www.lavoixdelest.ca/2021/10/09/un-incendie-ravage-un-immeuble-a-logements-a-granby-d8453b08ca8ac2906aa0bea9ff5e7e4f,2022-01-18 13:27:25,national
Granby,"""premier ministre""",11,La Voix de l'est,Vers la décentralisation des décisions à l'Hôpital de Granby,2021-10-22,88,https://www.lavoixdelest.ca/actualites/vers-la-decentralisation-des-decisions-a-lhopital-de-granby-b40eb1b22c6236c05ddb297d8f29bfe1,2022-01-18 13:27:25,national
Granby,"""premier ministre""",12,Le Journal de Montréal,Fillette de Granby: la belle-mère rapidement déclarée coupable,2021-12-09,40,https://www.journaldemontreal.com/2021/12/09/les-deliberations-commencent-au-proces-de-la-belle-mere-de-la-fillette-de-granby,2022-01-18 13:27:25,national
Granby,"""premier ministre""",13,La Voix de l'est - Groupe Capitales Médias,Décès de l'ancien premier ministre ontarien Bill Davis,2021-08-08,163,https://www.lavoixdelest.ca/2021/08/08/deces-de-lancien-premier-ministre-ontarien-bill-davis-a33f3a9b11475209c5536b769f794993?nor=true,2022-01-18 13:27:26,national
Granby,"""premier ministre""",14,La Voix de l'est,Un incendie mineur contrôlé à Granby | Actualités,2021-11-20,59,https://www.lavoixdelest.ca/2021/11/20/un-incendie-mineur-controle-a-granby-bfee03404a300dfe32e8353d381726ec,2022-01-18 13:27:26,national
