Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Havre-Saint-Pierre,"""premier ministre""",1,Ouest-France,Horizons : sept comités municipaux du parti d’Édouard Philippe créés dans le Calvados,2022-01-17,1,https://www.ouest-france.fr/normandie/caen-14000/horizons-sept-comites-municipaux-du-parti-d-edouard-philippe-crees-dans-le-calvados-7cd93994-7785-11ec-859b-fff73b380c06,2022-01-18 13:29:20,national
Havre-Saint-Pierre,"""premier ministre""",2,actu.fr,Grève des enseignants : revivez la mobilisation dans toute la France,2022-01-13,5,https://actu.fr/societe/coronavirus/greve-des-enseignants-suivez-la-situation-dans-tout-le-pays_47882091.html,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",3,Le Journal de Montréal,Les maisons des aînés sur la Côte-Nord tardent encore,2021-06-15,217,https://www.journaldemontreal.com/2021/06/15/les-maisons-des-aines-sur-la-cote-nord-tardent-encore-1,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",4,Le Journal de Montréal,La dramaturge et romancière Abla Farhoud est décédée,2021-12-03,46,https://www.journaldemontreal.com/2021/12/03/la-dramaturge-et-romanciere-abla-farhoud-est-decedee-1,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",5,Ma Côte-Nord,Les Métallos de l'Est appuient le Bloc Québécois,2021-09-14,126,https://macotenord.com/les-metallos-de-lest-appuient-le-bloc-quebecois/,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",6,ICI.Radio-Canada.ca,Une conférence virtuelle entre le nouveau patron de Rio Tinto et François Legault | Industries Saguenay-Lac-Saint-Jean,2021-03-22,302,https://ici.radio-canada.ca/nouvelle/1779185/aluminium-fer-titane-gouvernement,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",7,La Presse,Candidature en 2022 | La députée péquiste Lorraine Richard réfléchit à son avenir,2021-06-14,218,https://www.lapresse.ca/actualites/politique/2021-06-14/candidature-en-2022/la-deputee-pequiste-lorraine-richard-reflechit-a-son-avenir.php,2022-01-18 13:29:21,national
Havre-Saint-Pierre,"""premier ministre""",8,Le Quotidien - Groupe Capitales Médias,Legault interviendrait encore dans l'élection fédérale [VIDÉO],2021-09-21,119,https://www.lequotidien.com/2021/09/21/legault-interviendrait-encore-dans-lelection-federale-video-9a5dde719775dee7b2b71f7a2f55b502,2022-01-18 13:29:22,national
Havre-Saint-Pierre,"""premier ministre""",9,Le Monde,"Edouard Philippe lance son parti au Havre, baptisé « Horizons »",2021-10-09,101,https://www.lemonde.fr/politique/article/2021/10/09/l-ancien-premier-ministre-edouard-philippe-lance-son-propre-parti-au-havre_6097729_823448.html,2022-01-18 13:29:22,national
Havre-Saint-Pierre,"""premier ministre""",10,Le Journal de Montréal,Beauté céleste des Galets de Natashquan | JDM,2021-07-17,185,https://www.journaldemontreal.com/2021/07/17/beaute-celeste-des-galets-de-natashquan,2022-01-18 13:29:22,national
