Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Kuujjuaq,accident,1,La Presse,Deux morts et un blessé après une attaque à Kuujjuaq,2021-02-05,347,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-05/deux-morts-et-un-blesse-apres-une-attaque-a-kuujjuaq.php,2022-01-18 12:24:18,local
Kuujjuaq,accident,2,Radio-Canada.ca,Les Inuit « systématiquement privés » d'indemnités allouées aux victimes de violence,2021-09-01,139,https://ici.radio-canada.ca/nouvelle/1820655/inuit-victimes-violences-nunavik-indemnisation-quebec,2022-01-18 12:24:18,local
Kuujjuaq,décès OR mort,1,La Presse,Un premier décès de la COVID-19 au Nunavik,2021-11-24,55,https://www.lapresse.ca/covid-19/2021-11-24/un-premier-deces-de-la-covid-19-au-nunavik.php,2022-01-18 12:24:55,local
Kuujjuaq,décès OR mort,2,MédiAT,Le BEI enquête sur un décès lors d’une intervention policière à Kuujjuaq,2021-12-19,30,https://mediat.ca/nouvelles/le-bei-enquete-sur-un-deces-lors-dune-intervention-policiere-a-kuujjuaq/,2022-01-18 12:24:55,local
Kuujjuaq,décès OR mort,3,La Presse,Éclosion de COVID-19 au Nunavik | Un hôpital temporaire sera installé à Kuujjuaq,2021-11-05,74,https://www.lapresse.ca/covid-19/2021-11-05/eclosion-de-covid-19-au-nunavik/un-hopital-temporaire-sera-installe-a-kuujjuaq.php,2022-01-18 12:24:55,local
Kuujjuaq,décès OR mort,4,La Presse,Deux morts et un blessé après une attaque à Kuujjuaq,2021-02-05,347,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-05/deux-morts-et-un-blesse-apres-une-attaque-a-kuujjuaq.php,2022-01-18 12:24:55,local
Kuujjuaq,décès OR mort,5,ICI.Radio-Canada.ca,Une maison d'hébergement pour femmes déplore le décès prévisible d'une femme inuk,2021-02-26,326,https://ici.radio-canada.ca/espaces-autochtones/1773312/violence-conjugale-kuujjuaq-elisapee-angma,2022-01-18 12:24:56,local
Kuujjuaq,décès OR mort,6,Le Journal de Montréal,Horreur sur Le Plateau-Mont-Royal,2021-10-20,90,https://www.journaldemontreal.com/2021/10/20/un-meurtre-conjugal-commis-en-pleine-rue-a-montreal-1,2022-01-18 12:24:56,local
Kuujjuaq,décès OR mort,7,La Presse,COVID-19 | Éclosion sans précédent au Nunavik | La Presse,2021-10-22,88,https://www.lapresse.ca/covid-19/2021-10-22/covid-19/eclosion-sans-precedent-au-nunavik.php,2022-01-18 12:24:56,local
Kuujjuaq,décès OR mort,8,Ma Côte-Nord,Une expédition en motoneige jusqu'à Kuujjuaq en l'honneur de Joyce Echaquan,2021-10-05,105,https://macotenord.com/une-expedition-en-motoneige-jusqua-kuujjuaq-en-lhonneur-de-joyce-echaquan/,2022-01-18 12:24:56,local
