Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Malbaie,"""premier ministre""",1,CIMT-CHAU,Plusieurs Charlevoisiens en faveur du passeport vaccinal dans les grandes surfaces,2022-01-14,4,https://cimtchau.ca/nouvelles/les-charlevoisiens-en-faveur-du-passeport-vaccinal-dans-les-grandes-surfaces/,2022-01-18 13:35:27,national
La Malbaie,"""premier ministre""",2,CIMT-CHAU,Omicron : De nouvelles restrictions annoncées dès 18h - TVA CIMT CHAU,2021-12-22,27,https://cimtchau.ca/nouvelles/restrictions-covid-19-quebec-a-lheure-des-decisions/,2022-01-18 13:35:27,national
La Malbaie,"""premier ministre""",3,Sélection du Reader's Digest,Nostalgie: le Québec comme vous ne l'avez jamais vu,2022-01-14,4,https://www.selection.ca/arts-et-culture/nostalgie-le-quebec-comme-vous-ne-lavez-jamais-vu/,2022-01-18 13:35:27,national
La Malbaie,"""premier ministre""",4,Le Devoir,Le Parti québécois ne veut plus de la gouvernance par décrets,2021-09-08,132,https://www.ledevoir.com/politique/quebec/630663/le-parti-quebecois-ne-veut-plus-de-la-gouvernance-par-decrets-de-legault,2022-01-18 13:35:28,national
La Malbaie,"""premier ministre""",5,CIMT-CHAU,Une entrée remarquée pour Le Club Med Québec-Charlevoix,2021-11-29,50,https://cimtchau.ca/nouvelles/une-entree-remarquee-pour-le-club-med-quebec-charlevoix/,2022-01-18 13:35:28,national
La Malbaie,"""premier ministre""",6,La Presse,Environnement | Les péquistes veulent « un automne climatique » à Québec,2021-09-07,133,https://www.lapresse.ca/actualites/politique/2021-09-07/environnement/les-pequistes-veulent-un-automne-climatique-a-quebec.php,2022-01-18 13:35:28,national
La Malbaie,"""premier ministre""",7,Radio-Canada.ca,"« Ici, ce ne sont pas les jobs qui manquent »",2021-07-09,193,https://ici.radio-canada.ca/nouvelle/1807715/penurie-main-doeuvre-regions-malbaie,2022-01-18 13:35:28,national
La Malbaie,"""premier ministre""",8,Le Journal de Montréal,9 bonnes raisons de partir en road trip dans Charlevoix (même à ce temps-ci de l'année),2021-11-19,60,https://www.journaldemontreal.com/2021/11/19/9-bonnes-raisons-de-partir-en-road-trip-dans-charlevoix-meme-a-ce-temps-ci-de-lannee,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",9,Le Journal de Montréal,Tours et détours entre fleuve et montagnes | JDM,2021-07-10,192,https://www.journaldemontreal.com/2021/07/10/tours-et-detours-entre-fleuve-et-montagnes,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",10,Le Journal de Québec,9e féminicide: l'enquête préliminaire tenue 14 mois après le meurtre,2021-09-09,131,https://www.journaldequebec.com/2021/09/09/9e-feminicide-lenquete-preliminaire-tenue-14-mois-apres-le-meurtre,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",11,CIMT-CHAU,Le gym du Complexe Sportif à La Malbaie rouvrira ses portes lundi,2021-03-05,319,https://cimtchau.ca/nouvelles/le-gym-du-complexe-sportif-a-la-malbaie-rouvrira-ses-portes-lundi/,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",12,La Terre de chez nous,Cri du cœur d'un producteur porcin qui a « mal à sa relève » | La Terre de Chez Nous,2021-10-07,103,https://www.laterre.ca/actualites/cri-du-coeur-dun-producteur-porcin-qui-a-mal-a-sa-releve,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",13,Le Journal de Québec,Cahier motoneige: Un rendez-vous spécial au Manoir Richelieu,2021-12-04,45,https://www.journaldequebec.com/2021/12/04/cahier-motoneige-un-rendez-vous-special-au-manoir-richelieu,2022-01-18 13:35:29,national
La Malbaie,"""premier ministre""",14,ICI.Radio-Canada.ca,Déconfinement : Charlevoix et Portneuf veulent être traitées à part,2021-01-26,357,https://ici.radio-canada.ca/nouvelle/1766042/deconfinement-charlevoix-comme-est-du-quebec-covid19,2022-01-18 13:35:30,national
La Malbaie,climat,1,Radio-Canada.ca,Comment amener de l'innovation et du plaisir dans la salle d'urgence,2022-01-16,2,https://ici.radio-canada.ca/nouvelle/1853835/laboratoire-urgences-livinglab-charlevoix-etudiants-medecine-laval,2022-01-18 13:36:08,national
La Malbaie,climat,2,La Presse,Environnement | Les péquistes veulent « un automne climatique » à Québec,2021-09-07,133,https://www.lapresse.ca/actualites/politique/2021-09-07/environnement/les-pequistes-veulent-un-automne-climatique-a-quebec.php,2022-01-18 13:36:09,national
La Malbaie,climat,3,Agence Science-Presse,Conférences sur le climat: des émissions de gaz à effet de serre évitables ? Incertain,2021-11-01,78,https://www.sciencepresse.qc.ca/actualite/detecteur-rumeurs/2021/11/01/conferences-climat-emissions-gaz-effet-serre-evitables,2022-01-18 13:36:09,national
La Malbaie,climat,4,Journal Le Manic,Profiter de la vie à La Malbaie,2021-07-07,195,https://www.lemanic.ca/2021/07/07/profiter-de-la-vie-a-la-malbaie/,2022-01-18 13:36:09,national
La Malbaie,climat,5,CIMT-CHAU,Climat au Chic-Chocs: la députée de Gaspé rencontrera le ministre de l'Éducation,2021-05-11,252,https://cimtchau.ca/nouvelles/climat-au-chic-chocs-la-deputee-de-gaspe-rencontrera-le-ministre-de-leducation/,2022-01-18 13:36:10,national
La Malbaie,immigration,1,Radio-Canada.ca,"« Ici, ce ne sont pas les jobs qui manquent »",2021-07-09,193,https://ici.radio-canada.ca/nouvelle/1807715/penurie-main-doeuvre-regions-malbaie,2022-01-18 13:36:16,national
La Malbaie,immigration,2,Le Soleil,La relation difficile entre les jeunes immigrants et les autorités,2021-11-30,49,https://www.lesoleil.com/2021/11/30/la-relation-difficile-entre-les-jeunes-immigrants-et-les-autorites-7a98368ac1cac66585b0b76b12f48a6c,2022-01-18 13:36:17,national
