Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Les Îles-de-la-Madeleine,"""premier ministre""",1,ICI.Radio-Canada.ca,"Reprise du transport aérien régional, mais toujours pas de vision",2022-01-04,14,https://ici.radio-canada.ca/nouvelle/1847747/industrie-transport-aerien-aeroport-region-gaspesie-iles-madeleine-jonathan-lapierre-daniel-cote-joel-arseneau,2022-01-18 13:51:02,national
Les Îles-de-la-Madeleine,"""premier ministre""",2,La Presse,Vingt ans plus tard | L'impossible bilan des fusions municipales,2022-01-16,2,https://www.lapresse.ca/actualites/politique/2022-01-16/vingt-ans-plus-tard/l-impossible-bilan-des-fusions-municipales.php,2022-01-18 13:51:02,national
Les Îles-de-la-Madeleine,"""premier ministre""",3,ICI.Radio-Canada.ca,Plusieurs élus de l'Est-du-Québec rendent hommage au Dr Horacio Arruda,2022-01-12,6,https://ici.radio-canada.ca/nouvelle/1853555/demission-horacio-arruda-reactions-politiciens-sante-publique-independance,2022-01-18 13:51:02,national
Les Îles-de-la-Madeleine,"""premier ministre""",4,Le Journal de Québec,Plus de 3000 Québécois infectés à la COVID hospitalisés,2022-01-15,3,https://www.journaldequebec.com/2022/01/14/plus-de-3000-quebecois-infectes-a-la-covid-hospitalises-1,2022-01-18 13:51:02,national
Les Îles-de-la-Madeleine,"""premier ministre""",5,CIMT-CHAU,Vaccimpôt : Réactions mitigées en Gaspésie et aux Îles - TVA CIMT CHAU,2022-01-12,6,https://cimtchau.ca/nouvelles/vaccimpot-reactions-mitigees-en-gaspesie-et-aux-iles/,2022-01-18 13:51:03,national
Les Îles-de-la-Madeleine,"""premier ministre""",6,ICI.Radio-Canada.ca,Dix contaminations en Gaspésie et aux Îles : la COVID intensifie sa présence | Coronavirus,2021-12-22,27,https://ici.radio-canada.ca/nouvelle/1849605/bialn-cas-covid-19-gaspesie-iles-madeleine-22-decembre-2021,2022-01-18 13:51:03,national
Les Îles-de-la-Madeleine,"""premier ministre""",7,Le Journal de Québec,Prendre un virage dans sa vie,2021-12-31,18,https://www.journaldequebec.com/2021/12/31/prendre-un-virage-dans-sa-vie,2022-01-18 13:51:03,national
Les Îles-de-la-Madeleine,"""premier ministre""",8,Mon Matane,2021 fut une année tumultueuse sur la scène politique dans un contexte de pandémie,2021-12-29,20,https://monmatane.com/2021-fut-une-annee-tumultueuse-sur-la-scene-politique-dans-un-contexte-de-pandemie/,2022-01-18 13:51:03,national
Les Îles-de-la-Madeleine,"""premier ministre""",9,journal le soir,La pénurie de main-d'œuvre coûte des milliards$,2022-01-01,17,https://journallesoir.ca/2022/01/01/la-penurie-de-main-doeuvre-coute-des-milliards/,2022-01-18 13:51:03,national
Les Îles-de-la-Madeleine,"""premier ministre""",10,ICI.Radio-Canada.ca,Diane Lebouthillier réélue dans Gaspésie–Les Îles-de-la-Madeleine | Élections Canada 2021,2021-09-20,120,https://ici.radio-canada.ca/nouvelle/1825729/elections-federales-resultat-vote-diane-lebouthillier-liberal-gaspesie-iles-de-la-madeleine,2022-01-18 13:51:04,national
Les Îles-de-la-Madeleine,"""premier ministre""",11,ICI.Radio-Canada.ca,Le plan de relance du transport aérien régional déposé « très bientôt » par Québec,2021-12-10,39,https://ici.radio-canada.ca/nouvelle/1846477/transport-aerien-regional-echange-salon-bleu-assemblee-nationale-plan-relance-bientot-legault-arseneau,2022-01-18 13:51:04,national
