Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Maniwaki,"""premier ministre""",1,Le Droit - Groupe Capitales Médias,Un changement de gouvernance de la SOPFEU menace des emplois en Outaouais,2021-03-19,305,https://www.ledroit.com/2021/03/19/un-changement-de-gouvernance-de-la-sopfeu-menace-des-emplois-en-outaouais-878389dd1e2bf04df9ab8bf64998c4b2,2022-01-18 08:38:09,national
Maniwaki,"""premier ministre""",2,Le Droit,Un militant caquiste retourne sa veste et part en croisade contre Robert Bussière et le parti,2021-12-09,40,https://www.ledroit.com/2021/12/09/un-militant-caquiste-retourne-sa-veste-et-part-en-croisade-contre-robert-bussiere-et-le-parti-8b64d5cd7df9d3587d8ba9e73f513a5d,2022-01-18 08:38:09,national
Maniwaki,"""premier ministre""",3,Le Droit - Groupe Capitales Médias,Léger séisme à proximité de Maniwaki | Actualités,2021-08-27,144,https://www.ledroit.com/actualites/leger-seisme-a-proximite-de-maniwaki-957da0f30be42831e06407f72ac97bc8,2022-01-18 08:38:09,national
Maniwaki,"""premier ministre""",4,Le Journal de Montréal,L'adolescente disparue à Maniwaki est retrouvée,2021-07-12,190,https://www.journaldemontreal.com/2021/07/12/ladolescente-disparue-a-maniwaki-est-retrouvee,2022-01-18 08:38:09,national
Maniwaki,"""premier ministre""",5,Le Droit - Groupe Capitales Médias,Taux d'occupation au-dessus de 200% à l'urgence de Maniwaki,2021-09-15,125,https://www.ledroit.com/2021/09/15/taux-doccupation-au-dessus-de-200-a-lurgence-de-maniwaki-cbeeea76185f5ec53e5387951aea29cd,2022-01-18 08:38:09,national
Maniwaki,"""premier ministre""",6,Le Journal de Montréal,Horreur sur Le Plateau-Mont-Royal,2021-10-20,90,https://www.journaldemontreal.com/2021/10/20/un-meurtre-conjugal-commis-en-pleine-rue-a-montreal-1,2022-01-18 08:38:10,national
Maniwaki,"""premier ministre""",7,ICI.Radio-Canada.ca,Québec annonce de nouvelles restrictions en zone rouge qui toucheront l'Outaouais,2021-04-07,286,https://ici.radio-canada.ca/nouvelle/1782759/mesures-covid-restrictions-zone-rouge-outaouais,2022-01-18 08:38:10,national
Maniwaki,climat,1,Le Droit,Une équipe d'intervention mixte à Maniwaki | Gatineau | Actualités,2021-12-14,35,https://www.ledroit.com/2021/12/14/une-equipe-dintervention-mixte-a-maniwaki-d3167f2b381fc63af3a416c6609b3c39,2022-01-18 08:38:43,national
Maniwaki,immigration,1,Le Journal de Montréal,Main-d'œuvre: il est minuit moins une pour les régions face à la pénurie,2021-12-11,38,https://www.journaldemontreal.com/2021/12/11/main-duvre-il-est-minuit-moins-une-pour-les-regions-face-a-la-penurie,2022-01-18 08:38:49,national
Maniwaki,racisme,1,ICI.Radio-Canada.ca,"Soins de santé : des MRC éloignées et moins nanties, « parents pauvres » de l'Outaouais",2021-11-03,76,https://ici.radio-canada.ca/espaces-autochtones/1836878/iris-etude-iniquites-soins-sante-outaouais-regions-eloignees-autochones,2022-01-18 08:38:55,national
Maniwaki,racisme,2,Le Droit,Une équipe d'intervention mixte à Maniwaki | Gatineau | Actualités,2021-12-14,35,https://www.ledroit.com/2021/12/14/une-equipe-dintervention-mixte-a-maniwaki-d3167f2b381fc63af3a416c6609b3c39,2022-01-18 08:38:55,national
