Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mont-Laurier,élection OR campagne,1,TVA Nouvelles,Municipales 2021: les résultats d'une soirée forte en rebondissements,2021-11-07,72,https://www.tvanouvelles.ca/2021/11/07/en-direct--les-resultats-des-elections-municipales-2021,2022-01-18 08:21:59,mixte
Mont-Laurier,élection OR campagne,2,La Presse,Temps supplémentaire | Le Tribunal du travail rappelle à l'ordre des infirmières de Mont-Laurier,2021-07-16,186,https://www.lapresse.ca/actualites/sante/2021-07-16/temps-supplementaire/le-tribunal-du-travail-rappelle-a-l-ordre-des-infirmieres-de-mont-laurier.php,2022-01-18 08:21:59,mixte
Mont-Laurier,élection OR campagne,3,Journal Métro,Steven Guilbeault réélu dans Laurier-Sainte-Marie,2021-09-21,119,https://journalmetro.com/local/le-plateau-mont-royal/2698452/nouvelle-victoire-steven-guilbeault-laurier-sainte-marie/,2022-01-18 08:21:59,mixte
Mont-Laurier,élection OR campagne,4,TVA Nouvelles,«L'astronaute» du vox pop de Guy Nantel était candidat aux élections fédérales... et a perdu,2021-09-21,119,https://www.tvanouvelles.ca/2021/09/21/lastronaute-du-vox-pop-de-guy-nantel-etait-candidat-aux-elections-federales-et-a-perdu-1,2022-01-18 08:21:59,mixte
Mont-Laurier,élection OR campagne,5,Le Devoir,Les longues files d'attente empêchent des électeurs de voter dans Laurier–Sainte-Marie,2021-09-21,119,https://www.ledevoir.com/politique/canada/634044/longue-file-d-attente-pour-voter-dans-le-plateau,2022-01-18 08:22:00,mixte
Mont-Laurier,élection OR campagne,6,Le Devoir,"Le long de la route 117, la nature d'une région",2021-08-06,165,https://www.ledevoir.com/societe/transports-urbanisme/623055/routes-mythiques-le-long-de-la-route-117-la-nature-d-une-region,2022-01-18 08:22:00,mixte
Mont-Laurier,élection OR campagne,7,La Releve,Opération Nez rouge: de retour pour vos retours sur la Rive-Sud,2021-11-05,74,https://www.lareleve.qc.ca/2021/11/05/operation-nez-rouge-de-retour-pour-vos-retours-sur-la-rive-sud/,2022-01-18 08:22:00,mixte
Mont-Laurier,élection OR campagne,8,Radio-Canada.ca,Nimâ Machouf souhaite de nouveau être candidate pour le NPD,2021-03-28,296,https://ici.radio-canada.ca/nouvelle/1780499/nima-machouf-npd-election-laurier-sainte-marie,2022-01-18 08:22:00,mixte
Mont-Laurier,élection OR campagne,9,Le Soleil - Groupe Capitales Médias,Nez Rouge revient dans quelque 30 régions cette année,2021-10-13,97,https://www.lesoleil.com/2021/10/13/nez-rouge-revient-dans-quelque-30-regions-cette-annee-a17bb1472cd67a31cd306af4b3b22ce1,2022-01-18 08:22:00,mixte
Mont-Laurier,élection OR campagne,10,Journal Accès,Vaccination contre la grippe : prenez rendez-vous - Accès Laurentides,2021-10-14,96,https://www.journalacces.ca/vaccination-contre-la-grippe-prenez-rendez-vous/,2022-01-18 08:22:01,mixte
Mont-Laurier,député,1,Journal Métro,Steven Guilbeault réélu dans Laurier-Sainte-Marie,2021-09-21,119,https://journalmetro.com/local/le-plateau-mont-royal/2698452/nouvelle-victoire-steven-guilbeault-laurier-sainte-marie/,2022-01-18 08:22:36,mixte
Mont-Laurier,député,2,Journal Métro,Élections fédérales: Montréal reste libérale,2021-09-21,119,https://journalmetro.com/actualites/politique/2698581/elections-federales-montreal-reste-liberale/,2022-01-18 08:22:36,mixte
Mont-Laurier,député,3,La Presse,Justin Trudeau veut bâtir un Québec et un Canada « plus forts »,2021-09-12,128,https://www.lapresse.ca/elections-federales/2021-09-12/justin-trudeau-veut-batir-un-quebec-et-un-canada-plus-forts.php,2022-01-18 08:22:36,mixte
Mont-Laurier,député,4,TVA Nouvelles,Municipales 2021: les résultats d'une soirée forte en rebondissements,2021-11-07,72,https://www.tvanouvelles.ca/2021/11/07/en-direct--les-resultats-des-elections-municipales-2021,2022-01-18 08:22:36,mixte
Mont-Laurier,député,5,Journal Accès,Bilan parlementaire avec Marie-Hélène Gaudreau - Accès Laurentides,2021-07-14,188,https://www.journalacces.ca/bilan-parlementaire-avec-marie-helene-gaudreau/,2022-01-18 08:22:37,mixte
Mont-Laurier,député,6,Radio-Canada.ca,Nimâ Machouf souhaite de nouveau être candidate pour le NPD,2021-03-28,296,https://ici.radio-canada.ca/nouvelle/1780499/nima-machouf-npd-election-laurier-sainte-marie,2022-01-18 08:22:37,mixte
Mont-Laurier,"""arme à feu""",1,Le Nouvelliste,Un homme de 26 ans recherché pour crimes violents,2021-11-12,67,https://www.lenouvelliste.ca/2021/11/12/un-homme-de-26-ans-recherche-pour-crimes-violents-d70e0d57b90ec13a0a425cda4a4b5903,2022-01-18 08:22:44,mixte
Mont-Laurier,"""arme à feu""",2,Le Journal de Montréal,Embardée de VTT dans les Hautes-Laurentides: un enfant de cinq ans perd la vie,2021-08-06,165,https://www.journaldemontreal.com/2021/08/06/embardee-de-vtt-dans-les-hautes-laurentides-un-enfant-repose-dans-un-etat-critique,2022-01-18 08:22:44,mixte
Mont-Laurier,"""arme à feu""",3,Le Journal de Québec,Policière atteinte par balle en Beauce: une caméra aurait aidé à la recherche du suspect,2021-08-18,153,https://www.journaldequebec.com/2021/08/18/une-camera--aurait-aide-a-la-recherche-selon-dex-policiers,2022-01-18 08:22:44,mixte
