Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rimouski,"""premier ministre""",1,Info Dimanche,Infestation de TBE : le député Lebel interpelle directement le premier ministre | infodimanche.com,2022-01-16,2,https://www.infodimanche.com/actualites/actualite/449224/infestation-de-tbe-le-depute-lebel-interpelle-directement-le-premier-ministre,2022-01-18 09:00:49,national
Rimouski,"""premier ministre""",2,journal le soir,Le député interpelle le premier ministre: il y a urgence!,2022-01-14,4,https://journallesoir.ca/2022/01/14/le-depute-interpelle-le-premier-ministre-il-y-a-urgence/,2022-01-18 09:00:49,national
Rimouski,"""premier ministre""",3,La Presse,Vingt ans plus tard | L'impossible bilan des fusions municipales,2022-01-16,2,https://www.lapresse.ca/actualites/politique/2022-01-16/vingt-ans-plus-tard/l-impossible-bilan-des-fusions-municipales.php,2022-01-18 09:00:49,national
Rimouski,"""premier ministre""",4,L'Avantage Rimouski,Les messes du temps des fêtes dans le diocèse de Rimouski auront lieu sauf exceptions,2021-12-23,26,https://www.lavantage.qc.ca/article/2021/12/23/les-messes-du-temps-des-fetes-dans-le-diocese-de-rimouski-auront-lieu-sauf-exceptions,2022-01-18 09:00:50,national
Rimouski,"""premier ministre""",5,Info Dimanche,COVID-19 : la hausse se poursuit au Bas-Saint-Laurent | infodimanche.com,2022-01-03,15,https://www.infodimanche.com/actualites/covid-19/447935/covid-19-la-hausse-se-poursuit-au-bas-saint-laurent,2022-01-18 09:00:50,national
Rimouski,"""premier ministre""",6,journal le soir,La grogne des locataires n'a pas ralenti,2022-01-16,2,https://journallesoir.ca/2022/01/16/la-grogne-des-locataires-na-pas-ralenti/,2022-01-18 09:00:50,national
Rimouski,"""premier ministre""",7,journal le soir,"Les problèmes persistent, à l'assurance-emploi",2021-12-20,29,https://journallesoir.ca/2021/12/20/les-problemes-persistent-a-lassurance-emploi/,2022-01-18 09:00:50,national
Rimouski,"""premier ministre""",8,journal le soir,Que nous réservent les élections provinciales?,2022-01-02,16,https://journallesoir.ca/2022/01/02/que-nous-reservent-les-elections-provinciales/,2022-01-18 09:00:51,national
Rimouski,"""premier ministre""",9,Le Journal de Montréal,Les grands disparus de 2021,2021-12-31,18,https://www.journaldemontreal.com/2021/12/31/les-grands-disparus-de-2021,2022-01-18 09:00:51,national
Rimouski,"""premier ministre""",10,journal le soir,Dr Arruda quitte le navire,2022-01-11,7,https://journallesoir.ca/2022/01/10/dr-arruda-quitte-le-navire/,2022-01-18 09:00:52,national
Rimouski,"""premier ministre""",11,L'Avantage Rimouski,Le Bloc Québécois réclame justice pour les aînés,2021-12-26,23,https://www.lavantage.qc.ca/article/2021/12/26/le-bloc-quebecois-reclame-justice-pour-les-aines,2022-01-18 09:00:52,national
Rimouski,"""premier ministre""",12,Le journal de Lévis,Deux distinctions remises à des professeurs de l'UQAR,2022-01-04,14,https://www.journaldelevis.com/1120/Soci%C3%A9t%C3%A9_.html?id=92432,2022-01-18 09:00:52,national
Rimouski,"""premier ministre""",13,ICI.Radio-Canada.ca,Levée des mesures d'urgence dans la MRC de Rimouski-Neigette lundi prochain,2021-05-11,252,https://ici.radio-canada.ca/nouvelle/1792215/rouge-fonce-rimouski-neigette-mesures-urgence-levee-fin,2022-01-18 09:00:52,national
Rimouski,"""premier ministre""",14,ICI.Radio-Canada.ca,La Chambre de commerce de Rimouski-Neigette réitère l'importance de prolonger l'A-20,2021-11-18,61,https://ici.radio-canada.ca/nouvelle/1840983/impacts-economiques-autoroute-20-rimouski-neigette-chambre-commerce-trois-pistoles,2022-01-18 09:00:53,national
Rimouski,"""premier ministre""",15,Le Journal de Québec,Collision à Rimouski: un motocycliste grièvement blessé,2021-08-16,155,https://www.journaldequebec.com/2021/08/16/collision-a-rimouski-un-motocycliste-grievement-blesse,2022-01-18 09:00:53,national
Rimouski,"""premier ministre""",16,Le Soleil,Harold LeBel déçu d'avoir été écarté de la pelletée de terre du pavillon de médecine à Rimouski [PHOTOS],2021-11-17,62,https://www.lesoleil.com/2021/11/17/harold-lebel-decu-davoir-ete-ecarte-de-la-pelletee-de-terre-du-pavillon-de-medecine-a-rimouski-photos-68520866ca76683e3978021b85f52a90,2022-01-18 09:00:53,national
Rimouski,"""premier ministre""",17,Le Journal de Québec,Décès d'un motocycliste après un face-à-face à Saint-Valérien,2021-11-10,69,https://www.journaldequebec.com/2021/11/09/deces-dun-motocycliste-a-lors-dun-face-a-face-a-saint-valerien,2022-01-18 09:00:53,national
Rimouski,"""premier ministre""",18,ICI.Radio-Canada.ca,Le gouvernement Legault confirme le retour de l'A-20 au PQI avant la fin de son mandat,2021-05-12,251,https://ici.radio-canada.ca/nouvelle/1792603/autoroute-20-pqi-fin-mandat-promesse-legault-prolongement,2022-01-18 09:00:53,national
Rimouski,"""premier ministre""",19,Le Journal de Québec,Le procès du député de Rimouski prévu en avril,2021-12-06,43,https://www.journaldequebec.com/2021/12/06/le-proces-du-depute-de-rimouski-prevu-en-avril-1,2022-01-18 09:00:54,national
Rimouski,"""premier ministre""",20,ICI.Radio-Canada.ca,Fédérales : un débat marqué par la lutte contre les changements climatiques à Rimouski,2021-09-16,124,https://ici.radio-canada.ca/nouvelle/1824625/debat-elections-federales-2021-rimouski-neigette-temiscouata-basques-cegep,2022-01-18 09:00:54,national
Rimouski,"""premier ministre""",21,ICI.Radio-Canada.ca,Baie-Comeau en faveur d'un Espace bleu à la maison de l'ex-premier ministre Brian Mulroney,2021-09-21,119,https://ici.radio-canada.ca/nouvelle/1825954/espace-bleu-quebec-musee-brian-mulroney-baie-comeau,2022-01-18 09:00:54,national
Rimouski,"""premier ministre""",22,Le Journal de Québec,Trafic de stupéfiants: deux hommes arrêtés à Rimouski,2021-10-28,82,https://www.journaldequebec.com/2021/10/28/trafic-de-stupefiants-deux-hommes-arretes-a-rimouski,2022-01-18 09:00:55,national
Rimouski,"""premier ministre""",23,journal le soir,Le député de Rimouski trace le bilan de la dernière session,2021-12-13,36,https://journallesoir.ca/2021/12/13/le-depute-de-rimouski-trace-le-bilan-de-la-derniere-session/,2022-01-18 09:00:55,national
Rimouski,"""premier ministre""",24,Le Journal de Québec,Incroyable histoire de chasse,2021-12-01,48,https://www.journaldequebec.com/2021/12/01/incroyable-histoire-de-chasse,2022-01-18 09:00:55,national
Rimouski,"""premier ministre""",25,L'Avantage Rimouski,Le Parti conservateur dévoile sa candidate dans Rimouski-Neigette‒Témiscouata‒Les Basques,2021-08-10,161,https://www.lavantage.qc.ca/article/2021/08/10/le-parti-conservateur-devoile-sa-candidate-dans-rimouski-neigette%E2%80%92temiscouata%E2%80%92les-basques,2022-01-18 09:00:55,national
Rimouski,climat,1,TVA Nouvelles,"Climat: 2021, une année chaude",2022-01-02,16,https://www.tvanouvelles.ca/2022/01/02/climat-2021-une-annee-chaude,2022-01-18 09:01:30,national
Rimouski,climat,2,La Voix de l'est,La ruée vers le nord des espèces animales et végétales,2022-01-08,10,https://www.lavoixdelest.ca/2022/01/08/la-ruee-vers-le-nord-des-especes-animales-et-vegetales-e89ef1669076f80676e5c857fa988692,2022-01-18 09:01:31,national
Rimouski,climat,3,L'Avantage Rimouski,Réouverture de la cathédrale Saint-Germain de Rimouski,2021-12-23,26,https://www.lavantage.qc.ca/article/2021/12/23/reouverture-de-la-cathedrale-saint-germain-de-rimouski,2022-01-18 09:01:31,national
Rimouski,climat,4,Le Journal de Québec,"BOUCHARD, Valmont",2021-12-31,18,https://www.journaldequebec.com/2021/12/31/eaf8899b99/bouchard-valmont,2022-01-18 09:01:31,national
Rimouski,climat,5,L'Avantage Rimouski,Des étudiants marcheront pour le climat ce vendredi à Rimouski,2021-09-20,120,https://www.lavantage.qc.ca/article/2021/09/20/des-etudiants-marcheront-pour-le-climat-ce-vendredi-a-rimouski,2022-01-18 09:01:31,national
Rimouski,climat,6,L'Avantage Rimouski,Un citoyen de Rimouski produit un plan d'action pour lutter contre les changements climatiques,2021-08-03,168,https://www.lavantage.qc.ca/article/2021/08/03/un-citoyen-de-rimouski-produit-un-plan-d-action-pour-lutter-contre-les-changements-climatiques,2022-01-18 09:01:31,national
Rimouski,climat,7,Le Devoir,Le Devoir de cité: vers une pénurie de policiers au Québec?,2022-01-17,1,https://www.ledevoir.com/societe/660948/vers-une-penurie-de-policiers-au-quebec,2022-01-18 09:01:31,national
Rimouski,climat,8,TVA Nouvelles,Réchauffement climatique: une mine d'or pour les vendeurs de thermopompes,2021-06-24,208,https://www.tvanouvelles.ca/2021/06/24/rechauffement-climatique-une-mine-dor-pour-les-vendeurs-de-thermopompes,2022-01-18 09:01:32,national
Rimouski,climat,9,journal le soir,La grogne des locataires n'a pas ralenti,2022-01-16,2,https://journallesoir.ca/2022/01/16/la-grogne-des-locataires-na-pas-ralenti/,2022-01-18 09:01:32,national
Rimouski,climat,10,ICI.Radio-Canada.ca,Fédérales : un débat marqué par la lutte contre les changements climatiques à Rimouski,2021-09-16,124,https://ici.radio-canada.ca/nouvelle/1824625/debat-elections-federales-2021-rimouski-neigette-temiscouata-basques-cegep,2022-01-18 09:01:32,national
Rimouski,climat,11,journal le soir,Le député LeBel vise la relance du Conseil climat,2021-09-26,114,https://journallesoir.ca/2021/09/26/le-depute-lebel-vise-la-relance-du-conseil-climat/,2022-01-18 09:01:32,national
Rimouski,climat,12,La Presse,Un hiver sans glace dans le golfe du Saint-Laurent,2021-03-20,304,https://www.lapresse.ca/actualites/environnement/2021-03-20/un-hiver-sans-glace-dans-le-golfe-du-saint-laurent.php,2022-01-18 09:01:32,national
