Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Félicien,"""premier ministre""",1,Le Journal de Québec,Philippe Couillard a vendu sa maison de Saint-Félicien,2021-11-18,61,https://www.journaldequebec.com/2021/11/18/philippe-couillard-a-vendu-sa-maison-de-saint-felicien,2022-01-18 09:25:39,national
Saint-Félicien,"""premier ministre""",2,Le Quotidien,Luc Gibbons réélu à Saint-Félicien | Actualités,2021-11-08,71,https://www.lequotidien.com/2021/11/08/luc-gibbons-reelu-a-saint-felicien-1b1d837cb1b566daddc53f5ba062cf3f,2022-01-18 09:25:39,national
Saint-Félicien,"""premier ministre""",3,Le Journal de Québec,Accident mortel à Saint-Félicien: une victime éjectée de son véhicule lors d'un capotage,2021-08-02,169,https://www.journaldequebec.com/2021/08/02/un-homme-lutte-pour-sa-vie-apres-une-sortie-de-route-a-saint-felicien,2022-01-18 09:25:39,national
Saint-Félicien,"""premier ministre""",4,Le Quotidien,Saint-Félicien fait volte-face sur la fermeture des parcs pour l'hiver,2021-12-15,34,https://www.lequotidien.com/2021/12/16/saint-felicien-fait-volte-face-sur-la-fermeture-des-parcs-pour-lhiver-66f652a521acb4942af1a58b546c18e5,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",5,Radio-Canada.ca,Incendie à Roberval : le gouvernement reconstruira le palais de justice,2021-05-09,254,https://ici.radio-canada.ca/nouvelle/1791674/reconstruction-palais-justice-roberval,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",6,ICI.Radio-Canada.ca,Des réponses exigées de Québec dans le dossier de la conduite de PFR à Saint-Félicien,2021-07-14,188,https://ici.radio-canada.ca/nouvelle/1809119/deversement-riviere-usine,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",7,Le Quotidien - Groupe Capitales Médias,Plongeon dans l'histoire du Cégep de Saint-Félicien pour ses 50 ans,2021-09-23,117,https://www.lequotidien.com/2021/09/23/plongeon-dans-lhistoire-du-cegep-de-saint-felicien-pour-ses-50-ans-2446ab03f10e58919992918ddcb895c3,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",8,Le Quotidien,"Le Marché de Noël de Saint-Félicien, ça se passe samedi",2021-11-24,55,https://www.lequotidien.com/2021/11/24/le-marche-de-noel-de-saint-felicien-ca-se-passe-samedi-322ad0cb4fe02e2056b421d2888c5e9d,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",9,La Presse,Blanchet appelle les autres partis à durcir les lois sur les armes à feu,2021-09-04,136,https://www.lapresse.ca/elections-federales/2021-09-04/blanchet-appelle-les-autres-partis-a-durcir-les-lois-sur-les-armes-a-feu.php,2022-01-18 09:25:40,national
Saint-Félicien,"""premier ministre""",10,Le Quotidien,Deux nouveaux sites de vaccination à Alma et Saint-Félicien,2021-12-09,40,https://www.lequotidien.com/2021/12/09/deux-nouveaux-sites-de-vaccination-a-alma-et-saint-felicien-5391e582fbfe68c4a1f884e7d8f918cc,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",11,Le Quotidien,L'école primaire Hébert de Saint-Félicien fermée temporairement,2021-12-15,34,https://www.lequotidien.com/2021/12/15/lecole-primaire-hebert-de-saint-felicien-fermee-temporairement-c320b3235c02367ed04dbd1380c56775,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",12,Le Quotidien - Groupe Capitales Médias,Mairie de Saint-Félicien: au moins trois candidats dans la course,2021-06-21,211,https://www.lequotidien.com/2021/06/21/mairie-de-saint-felicien-au-moins-trois-candidats-dans-la-course-e872967908f13656df116334b11d1161,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",13,Le Quotidien - Groupe Capitales Médias,Gervais Laprise mûr pour prendre les rênes de Saint-Félicien,2021-10-06,104,https://www.lequotidien.com/2021/10/06/gervais-laprise-mur-pour-prendre-les-renes-de-saint-felicien-ae00b3bdfe6052bf1d446c4d0f6453e2,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",14,Le Quotidien,Hausse de 42 cas de COVID-19 au Saguenay-Lac-Saint-Jean,2021-12-17,32,https://www.lequotidien.com/2021/12/17/hausse-de-42-cas-de-covid-19-au-saguenay-lac-saint-jean-db198282422efd6b26b6ed9ff889e384,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",15,Le Quotidien,L'ADN environnemental fait son entrée au Cégep de Saint-Félicien,2021-11-16,63,https://www.lequotidien.com/2021/11/16/ladn-environnemental-fait-son-entree-au-cegep-de-saint-felicien-2b84768343b6d4c5efd4be3d47801ac1,2022-01-18 09:25:41,national
Saint-Félicien,"""premier ministre""",16,Le Quotidien - Groupe Capitales Médias,L'autodrome de Saint-Félicien en préparation pour le Mud Drag,2021-07-22,180,https://www.lequotidien.com/2021/07/22/lautodrome-de-saint-felicien-en-preparation-pour-le-mud-drag-dddf74d4803f391b1e7e6c01a0ef7733,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",17,Le Quotidien - Groupe Capitales Médias,La Maison du Bleuet inaugure ses nouvelles installations à Saint-Félicien,2021-05-07,256,https://www.lequotidien.com/2021/05/07/la-maison-du-bleuet-inaugure-ses-nouvelles-installations-a-saint-felicien-5d30b0727a115c05871ba21cbca17c62,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",18,Le Quotidien - Groupe Capitales Médias,Trois projets citoyens de développement durable à Saint-Félicien,2021-07-05,197,https://www.lequotidien.com/actualites/trois-projets-citoyens-de-developpement-durable-a-saint-felicien-7f809d6b0a57368cc4e07f970fd72047,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",19,Journal Nouvelles Hebdo,Rentrée automnale : Du boulot pour Nancy Guillemette,2021-08-27,144,https://www.nouvelleshebdo.com/actualite/rentree-automnale-du-boulot-pour-nancy-guillemette/,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",20,Le Quotidien - Groupe Capitales Médias,Une 22e année de compétition remplie de succès à Saint-Félicien [PHOTOS],2021-07-11,191,https://www.lequotidien.com/2021/07/12/une-22e-annee-de-competition-remplie-de-succes-a-saint-felicien-photos-fc3a5a0ca96b57fae665a9648e282edc,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",21,Le Journal de Québec,Saint-Félicien: un homme d'affaires bien connu meurt après une collision «majeure»,2021-02-04,348,https://www.journaldequebec.com/2021/02/03/saint-felicien-un-blesse-grave-dans-une-collision-majeure,2022-01-18 09:25:42,national
Saint-Félicien,"""premier ministre""",22,Le Quotidien - Groupe Capitales Médias,Une mini forêt-école au primaire | Actualités,2021-10-02,108,https://www.lequotidien.com/2021/10/02/une-mini-foret-ecole-au-primaire-d41d4b7ab2f4de4d2331ad999cc42574,2022-01-18 09:25:43,national
Saint-Félicien,"""premier ministre""",23,Le Quotidien,La MRC du Domaine-du-Roy veut se rapprocher de la population,2021-12-15,34,https://www.lequotidien.com/2021/12/15/la-mrc-du-domaine-du-roy-veut-se-rapprocher-de-la-population-2b82f34cd746039e51bd35566a389636,2022-01-18 09:25:43,national
Saint-Félicien,"""premier ministre""",24,Le Quotidien - Groupe Capitales Médias,Hôpital de Roberval: Laforest suit le dossier de près,2021-09-13,127,https://www.lequotidien.com/2021/09/13/hopital-de-roberval-laforest-suit-le-dossier-de-pres-6ffbb466d4288d2f3110fe202f1a3051,2022-01-18 09:25:43,national
Saint-Félicien,"""premier ministre""",25,Le Quotidien,Julie Dufour et Andrée Laforest sur la même longueur d'onde sur plusieurs enjeux,2021-12-14,35,https://www.lequotidien.com/2021/12/15/julie-dufour-et-andree-laforest-sur-la-meme-longueur-donde-sur-plusieurs-enjeux-0f428f51818366a6d4327a0d1bde767e,2022-01-18 09:25:43,national
Saint-Félicien,climat,1,Guy Bouchard,L'attrait récréotouristique des paysages | Journal Informes Affaires,2022-01-14,4,https://informeaffaires.com/chroniques/chronique-roger-boivin/lattrait-recreotouristique-des-paysages,2022-01-18 09:26:17,national
Saint-Félicien,climat,2,Le Quotidien,Bilan de Luc Gibbons: se distinguer avec la bioéconomie,2021-12-24,25,https://www.lequotidien.com/2021/12/24/bilan-de-luc-gibbons-se-distinguer-avec-la-bioeconomie-0e61c8d16dc5f2a8d6a977590e93ccbd,2022-01-18 09:26:17,national
Saint-Félicien,climat,3,L'Étoile du Lac,"Michel Simard, candidat à la mairie de Saint-Félicien : « On doit établir un climat de collaboration plutôt que de confrontation »",2021-10-20,90,https://www.letoiledulac.com/elections-municipales-2021/michel-simard-candidat-a-la-mairie-de-saint-felicien-on-doit-etablir-un-climat-de-collaboration-plutot-que-de-confrontation/,2022-01-18 09:26:17,national
Saint-Félicien,climat,4,Le Soleil,L'industrie forestière innove pour lutter contre les changements climatiques,2021-11-30,49,https://www.lesoleil.com/2021/11/30/lindustrie-forestiere-innove-pour-lutter-contre-les-changements-climatiques-18418eeeafea625bbb6c18b33897c536,2022-01-18 09:26:17,national
Saint-Félicien,climat,5,Le Quotidien,Un automne doux signe du réchauffement climatique? | Actualités,2021-11-14,65,https://www.lequotidien.com/2021/11/14/un-automne-doux-signe-du-rechauffement-climatique-a10b997e5d785cd067d49ce7527fe2d8,2022-01-18 09:26:17,national
Saint-Félicien,climat,6,Le Quotidien,Saint-Félicien fait volte-face sur la fermeture des parcs pour l'hiver,2021-12-15,34,https://www.lequotidien.com/2021/12/16/saint-felicien-fait-volte-face-sur-la-fermeture-des-parcs-pour-lhiver-66f652a521acb4942af1a58b546c18e5,2022-01-18 09:26:18,national
Saint-Félicien,climat,7,L'Étoile du Lac,Réfrigiration P. Taillon achète la Ferblanterie Cinq-Mars,2021-06-10,222,https://www.letoiledulac.com/economie/refrigiration-p-taillon-achete-la-ferblanterie-cinq-mars/,2022-01-18 09:26:18,national
Saint-Félicien,climat,8,L'Étoile du Lac,Michel Simard a Saint-Félicien tatoué sur le cœur,2021-07-02,200,https://www.letoiledulac.com/actualite/michel-simard-a-saint-felicien-tatoue-sur-le-coeur/,2022-01-18 09:26:18,national
Saint-Félicien,climat,9,Le Quotidien,Saint-Félicien Diesel déroule le tapis rouge pour des travailleurs philippins,2021-10-23,87,https://www.lequotidien.com/2021/10/23/saint-felicien-diesel-deroule-le-tapis-rouge-pour-des-travailleurs-philippins-f8d1e33a976381fb48cdc30d0fc27a48,2022-01-18 09:26:18,national
Saint-Félicien,climat,10,ICI.Radio-Canada.ca,Les émissions de GES ont augmenté au Québec,2021-12-15,34,https://ici.radio-canada.ca/nouvelle/1847843/emissions-ges-quebec-rapport-gaz-effet-serre-2018-2019,2022-01-18 09:26:18,national
Saint-Félicien,climat,11,ICI.Radio-Canada.ca,Des réponses exigées de Québec dans le dossier de la conduite de PFR à Saint-Félicien,2021-07-14,188,https://ici.radio-canada.ca/nouvelle/1809119/deversement-riviere-usine,2022-01-18 09:26:18,national
Saint-Félicien,climat,12,Le Quotidien,Luc Gibbons réélu à Saint-Félicien | Actualités,2021-11-08,71,https://www.lequotidien.com/2021/11/08/luc-gibbons-reelu-a-saint-felicien-1b1d837cb1b566daddc53f5ba062cf3f,2022-01-18 09:26:19,national
Saint-Félicien,climat,13,L'Étoile du Lac,Carrefour giratoire : Saint-Félicien s'engage à payer 500 000 $,2021-09-23,117,https://www.letoiledulac.com/actualite/carrefour-giratoire-saint-felicien-sengage-a-payer-500-000/,2022-01-18 09:26:19,national
