Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Rémi,élection OR campagne,1,Le Perche,Le conseil de Saint-Rémy-du-Val presque au complet,2022-01-18,0,https://actu.fr/pays-de-la-loire/saint-remy-du-val_72317/le-conseil-de-saint-remy-du-val-presque-au-complet_48009045.html,2022-01-18 09:09:05,mixte
Saint-Rémi,élection OR campagne,2,Ouest-France,Saint-Rémy-sur-Orne. Plus que quelques jours pour soutenir le projet du Gisement,2022-01-07,11,https://www.ouest-france.fr/normandie/saint-remy-14570/saint-remy-sur-orne-plus-que-quelques-jours-pour-soutenir-le-projet-du-gisement-28aefc62-6f9e-11ec-a655-a3b0065c2bef,2022-01-18 09:09:05,mixte
Saint-Rémi,élection OR campagne,3,Le Soleil,Les promesses d'un «nouveau» tramway | François Bourque | Chroniques,2022-01-15,3,https://www.lesoleil.com/2022/01/15/les-promesses-dun-nouveau-tramway-fc2713a55e0764ebb43237a9df9cdce4,2022-01-18 09:09:05,mixte
Saint-Rémi,élection OR campagne,4,ICI.Radio-Canada.ca,"Destination olympique : les skieurs s'illustrent aux bosses, en ski cross et en slopestyle | Vous avez vu?",2022-01-17,1,https://ici.radio-canada.ca/jeux-olympiques/nouvelle/1854989/destination-olympique-kingsbury-mahler-drury-thompson-rahneva-kripps-jeux-pekin,2022-01-18 09:09:06,mixte
Saint-Rémi,élection OR campagne,5,Ouest-France,"Montrevault-sur-Èvre. Monique, Colette, Matthieu, Ghislaine au recensement",2022-01-15,3,https://www.ouest-france.fr/pays-de-la-loire/montrevault-sur-evre-49110/monique-colette-matthieu-ghislaine-au-recensement-54d3acee-cede-418d-bda8-4692deeffad2,2022-01-18 09:09:06,mixte
Saint-Rémi,élection OR campagne,6,Showbizz.net,Quoi ne pas manquer à la télé cette semaine,2022-01-16,2,https://showbizz.net/tele/quoi-ne-186,2022-01-18 09:09:06,mixte
Saint-Rémi,élection OR campagne,7,La Gazette de Nîmes,Présidentielle : 40 grands élus lancent la campagne de Pécresse dans le Gard,2022-01-15,3,https://www.lagazettedenimes.fr/live/61e2b55547c4b7004294fc5e/presidentielle-40-grands-elus-lancent-la-campagne-de-pecresse-dans-le-gard,2022-01-18 09:09:06,mixte
Saint-Rémi,élection OR campagne,8,yvelines-infos,Profitez des Vaccy Bus pour vous faire vacciner,2022-01-04,14,https://www.yvelines-infos.fr/profitez-des-vaccy-bus-pour-vous-faire-vacciner/,2022-01-18 09:09:07,mixte
Saint-Rémi,élection OR campagne,9,Les Informations Dieppoises,"A Dieppe, ce couple vit dans l'angoisse face à des dégâts des eaux récurrents",2022-01-16,2,https://actu.fr/normandie/dieppe_76217/a-dieppe-ce-couple-vit-dans-l-angoisse-face-a-des-degats-des-eaux-recurrents_47806474.html,2022-01-18 09:09:07,mixte
Saint-Rémi,député,1,Mon Matane,Éphémérides du 19 octobre : Rémi Massé élu député fédéral libéral de la circonscription d'Avignon-La Mitis-Matane-Matapédia en 2015,2021-10-19,91,https://monmatane.com/ephemerides-du-19-octobre-remi-masse-elu-depute-federal-liberal-de-la-circonscription-davignon-la-mitis-matane-matapedia-en-2015/,2022-01-18 09:09:41,mixte
