Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Salaberry-de-Valleyfield,accident,1,Néomédia,Un conducteur blessé légèrement dans une impressionnante sortie de route | Vaudreuil-Soulanges - Néomedia,2022-01-06,12,https://www.neomedia.com/vaudreuil-soulanges/actualites/faits-divers/448408/un-conducteur-blesse-legerement-dans-une-impressionnante-sortie-de-route,2022-01-18 12:03:46,local
Salaberry-de-Valleyfield,accident,2,VIVA média,Décès du pilote d'hydroplane Yves Villeneuve | VIVA MÉDIA,2022-01-17,1,https://www.viva-media.ca/la-voix-regionale-beauharnois-salaberry-haut-saint-laurent/deces-du-pilote-dhydroplane-yves-villeneuve/,2022-01-18 12:03:46,local
Salaberry-de-Valleyfield,accident,3,Le Journal Saint-François,Un Scoope percuté à Saint-Timothée,2021-09-16,124,https://www.journalsaint-francois.ca/Un-Scoope-percute-a-Saint-Timothee/,2022-01-18 12:03:47,local
Salaberry-de-Valleyfield,accident,4,TVA Nouvelles,Une conductrice prend la fuite après une collision à Salaberry-de-Valleyfield,2021-03-20,304,https://www.tvanouvelles.ca/2021/03/20/une-conductrice-prend-la-fuite-apres-une-collision-a-salaberry-de-valleyfield,2022-01-18 12:03:47,local
Salaberry-de-Valleyfield,accident,5,Le Journal Saint-François,Une piétonne heurtée par une voiture,2021-12-14,35,https://www.journalsaint-francois.ca/Une-pietonne-heurtee-par-une-voiture/,2022-01-18 12:03:47,local
Salaberry-de-Valleyfield,accident,6,Le Journal de Montréal,La fille d'un Hells était à près du double de la limite permise,2021-09-07,133,https://www.journaldemontreal.com/2021/09/07/la-fille-dun-hells-etait-a-pres-du-double-de-la-limite-permise,2022-01-18 12:03:47,local
Salaberry-de-Valleyfield,accident,7,Le Journal de Montréal,Salaberry-de-Valleyfield: un blessé dans un braquage à domicile,2021-10-21,89,https://www.journaldemontreal.com/2021/10/21/salaberry-de-valleyfield-un-blesse-dans-une-invasion-de-domicile,2022-01-18 12:03:47,local
Salaberry-de-Valleyfield,accident,8,Le Journal Saint-François,Pont Madeleine-Parent : une panne vire en accident,2021-12-01,48,https://www.journalsaint-francois.ca/pont-madeleine-parent-une-panne-vire-en-accident/,2022-01-18 12:03:48,local
Salaberry-de-Valleyfield,accident,9,Le Journal de Montréal,Salaberry-de-Valleyfield: encore une explosion chez General Dynamics,2021-09-14,126,https://www.journaldemontreal.com/2021/09/14/salaberry-de-valleyfield-encore-une-explosion-chez-general-dynamics,2022-01-18 12:03:48,local
Salaberry-de-Valleyfield,accident,10,TVA Nouvelles,Happé mortellement à la fin de sa ronde de golf,2021-10-12,98,https://www.tvanouvelles.ca/2021/10/12/heurte-par-un-camion-un-pieton-est-tres-gravement-blesse-a-saint-anicet-1,2022-01-18 12:03:48,local
Salaberry-de-Valleyfield,accident,11,La Presse,Incendie mortel à Salaberry-de-Valleyfield | La Presse,2021-03-16,308,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-16/incendie-mortel-a-salaberry-de-valleyfield.php,2022-01-18 12:03:48,local
Salaberry-de-Valleyfield,accident,12,Le Journal Saint-François,Tragique accident de travail à Valleyfield,2021-03-08,316,https://www.journalsaint-francois.ca/tragique-accident-de-travail-a-valleyfield/,2022-01-18 12:03:48,local
Salaberry-de-Valleyfield,accident,13,Le Journal Saint-François,Collision sur le route 138,2021-12-08,41,https://www.journalsaint-francois.ca/Collision-sur-la-route-138-decembre-2021/,2022-01-18 12:03:49,local
Salaberry-de-Valleyfield,accident,14,Le Journal Saint-François,Accident à trois véhicules sur le boul. Mgr-Langlois,2021-11-12,67,https://www.journalsaint-francois.ca/Accident-a-trois-vehicules-sur-le-boul.-Mgr-Langlois/,2022-01-18 12:03:49,local
Salaberry-de-Valleyfield,accident,15,Le Journal Saint-François,Accident mortel à Saint-Anicet,2021-11-25,54,https://www.journalsaint-francois.ca/Accident-mortel-a-Saint-Anicet-novembre-2021/,2022-01-18 12:03:49,local
Salaberry-de-Valleyfield,accident,16,Le Journal Saint-François,Un motocycliste décède dans un accident à Sainte-Barbe,2021-09-12,128,https://www.journalsaint-francois.ca/motocycliste-decede-accident-sainte-barbe/,2022-01-18 12:03:49,local
Salaberry-de-Valleyfield,accident,17,Le Journal de Montréal,Fille d'un Hells sur le party avant un accident mortel,2021-02-01,351,https://www.journaldemontreal.com/2021/02/01/fille-dun-hells-sur-le-party-avant-un-accident-mortel,2022-01-18 12:03:49,local
Salaberry-de-Valleyfield,accident,18,TVA Nouvelles,Accidentée de la route: Le drame après la tragédie,2021-05-30,233,https://www.tvanouvelles.ca/2021/05/30/accidentee-de-la-route-le-drame-apres-la-tragedie,2022-01-18 12:03:50,local
Salaberry-de-Valleyfield,accident,19,Le Journal Saint-François,Une collision fait un blessé dans le secteur Saint-Timothée,2021-04-13,280,https://www.journalsaint-francois.ca/une-collision-fait-un-blesse-dans-le-secteur-saint-timothee/,2022-01-18 12:03:50,local
Salaberry-de-Valleyfield,accident,20,Le Journal Saint-François,Trois blessés dans une collision sur le boulevard Gérard-Cadieux,2021-10-10,100,https://www.journalsaint-francois.ca/Trois-blesses-dans-une-collision-sur-le-boulevard-Gerard-Cadieux-octobre-2021/,2022-01-18 12:03:50,local
Salaberry-de-Valleyfield,accident,21,Le Journal de Montréal,Procès de la fille d'un Hells Angel : Karell Tanguay aurait dévié de sa voie avant l'accident,2021-05-11,252,https://www.journaldemontreal.com/2021/05/11/karell-tanguay-aurait-devie-de-sa-voie,2022-01-18 12:03:50,local
Salaberry-de-Valleyfield,accident,22,Le Journal Saint-François,Collision auto vs moto sur le boulevard Mgr-Langlois,2021-09-17,123,https://www.journalsaint-francois.ca/Collision-auto-vs-moto-sur-le-boulevard-Mgr-Langlois/,2022-01-18 12:03:50,local
