Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Témiscouata-sur-le-Lac,élection OR campagne,1,Info Dimanche,Augmentation du compte de taxes de 3 % à Témiscouata-sur-le-Lac | infodimanche.com,2022-01-18,0,https://www.infodimanche.com/actualites/actualite/449541/augmentation-du-compte-de-taxes-de-3-a-temiscouata-sur-le-lac,2022-01-18 13:16:50,mixte
Témiscouata-sur-le-Lac,élection OR campagne,2,Info Dimanche,«On prend une décision et on l'assume» - Gaétan Ouellet | infodimanche.com,2022-01-03,15,https://www.infodimanche.com/actualites/actualite/447632/on-prend-une-decision-et-on-lassume-gaetan-ouellet,2022-01-18 13:16:50,mixte
Témiscouata-sur-le-Lac,élection OR campagne,3,Info Dimanche,"Rétrospective 2021, novembre (1ere partie) | infodimanche.com",2022-01-01,17,https://www.infodimanche.com/actualites/noel/447639/retrospective-2021-novembre-1ere-partie,2022-01-18 13:16:50,mixte
Témiscouata-sur-le-Lac,élection OR campagne,4,Info Dimanche,Gaétan Ouellet fier de son bilan à la mairie de Témiscouata-sur-le-Lac | infodimanche.com,2021-09-13,127,https://www.infodimanche.com/actualites/elections-municipales-2021/437029/gaetan-ouellet-fier-de-son-bilan-a-la-mairie-de-temiscouata-sur-le-lac,2022-01-18 13:16:51,mixte
Témiscouata-sur-le-Lac,élection OR campagne,5,CIMT-CHAU,Élections municipales 2021 : l'équipe « Ensemble Témiscouata-sur-le-Lac » unie sur la ligne de départ,2021-09-21,119,https://cimtchau.ca/nouvelles/elections-municipales-2021-lequipe-ensemble-temiscouata-sur-le-lac-unie-sur-la-ligne-de-depart/,2022-01-18 13:16:51,mixte
Témiscouata-sur-le-Lac,élection OR campagne,6,Info Dimanche,Denis Blais sera candidat à la mairie de Témiscouata-sur-le-Lac | infodimanche.com,2021-06-03,229,https://www.infodimanche.com/actualites/actualite/428018/denis-blais-sera-candidat-a-la-mairie-de-temiscouata-sur-le-lac,2022-01-18 13:16:51,mixte
Témiscouata-sur-le-Lac,élection OR campagne,7,ICI.Radio-Canada.ca,Nouveaux préfets des MRC : Serge Pelletier au Témiscouata et Sylvain Roy au Kamouraska | Élections municipales au Québec 2021,2021-11-08,71,https://ici.radio-canada.ca/nouvelle/1838307/elections-prefecture-prefet-kamouraska-temiscouata-serge-pelletier-sylvain-roy-elections-municipales-2021-resultats-gagnants,2022-01-18 13:16:51,mixte
Témiscouata-sur-le-Lac,élection OR campagne,8,ICI.Radio-Canada.ca,Les chantiers avancent bien à Témiscouata-sur-le-Lac,2021-11-19,60,https://ici.radio-canada.ca/nouvelle/1841260/temiscouata-sur-le-lac-cabano-notre-dame-arena-chantier-centre-recreatif,2022-01-18 13:16:51,mixte
Témiscouata-sur-le-Lac,élection OR campagne,9,ICI.Radio-Canada.ca,La moitié des municipalités et villes du Bas-Saint-Laurent connaissent leur prochain maire,2021-10-01,109,https://ici.radio-canada.ca/nouvelle/1828657/elections-municipales-2021-bas-saint-laurent-elus-sans-opposition,2022-01-18 13:16:52,mixte
Témiscouata-sur-le-Lac,élection OR campagne,10,ICI.Radio-Canada.ca,Portrait de circonscription : Rimouski-Neigette–Témiscouata–Les Basques | Élections Canada 2021,2021-08-17,154,https://ici.radio-canada.ca/nouvelle/1817166/circonscription-rimouski-neigette-temiscouata-basques-elections,2022-01-18 13:16:52,mixte
