Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Témiscouata-sur-le-Lac,"""premier ministre""",1,Info Dimanche,"Rétrospective 2021, novembre (1ere partie) | infodimanche.com",2022-01-01,17,https://www.infodimanche.com/actualites/noel/447639/retrospective-2021-novembre-1ere-partie,2022-01-18 13:52:02,national
Témiscouata-sur-le-Lac,"""premier ministre""",2,Info Dimanche,"Rétrospective 2021, mai (2e partie) | infodimanche.com",2021-12-29,20,https://www.infodimanche.com/actualites/noel/446468/retrospective-2021-mai-2e-partie,2022-01-18 13:52:03,national
Témiscouata-sur-le-Lac,"""premier ministre""",3,Radio-Canada.ca,Assouplissements en vue à la frontière du Nouveau-Brunswick,2021-05-27,236,https://ici.radio-canada.ca/nouvelle/1796650/deconfinement-nouveau-brunswick-plan-avignon-temiscouata-iles-madeleine,2022-01-18 13:52:03,national
Témiscouata-sur-le-Lac,"""premier ministre""",4,Le Journal de Québec,Témiscouata-sur-le-Lac: 8000$ d'amendes pour un party de mineurs,2021-05-12,251,https://www.journaldequebec.com/2021/05/12/pres-de-8000--damendes-pour-un-party-de-mineurs,2022-01-18 13:52:03,national
Témiscouata-sur-le-Lac,"""premier ministre""",5,ICI.Radio-Canada.ca,De la route 185 à l'autoroute 85,2021-11-03,76,https://ici.radio-canada.ca/nouvelle/1836647/construction-autoroute-85-route-185-quebec-nouveau-brunswick,2022-01-18 13:52:03,national
Témiscouata-sur-le-Lac,"""premier ministre""",6,Le Journal de Québec,Des élus qui en ont ras le bol d'être menacés et intimidés,2021-09-26,114,https://www.journaldequebec.com/2021/09/26/des-elus-qui-en-ont-ras-le-bol-detre-menaces-et-intimides,2022-01-18 13:52:04,national
Témiscouata-sur-le-Lac,"""premier ministre""",7,Info Dimanche,Sur les traces du Chemin du Portage | infodimanche.com,2021-05-05,258,https://www.infodimanche.com/actualites/actualite/425303/sur-les-traces-du-chemin-du-portage,2022-01-18 13:52:04,national
Témiscouata-sur-le-Lac,"""premier ministre""",8,Info Dimanche,Autoroute 20 : les élus municipaux demandent la réinscription du projet au PQI | infodimanche.com,2021-11-29,50,https://www.infodimanche.com/actualites/actualite/444565/autoroute-20-les-elus-municipaux-demandent-la-reinscription-du-projet-au-pqi,2022-01-18 13:52:04,national
Témiscouata-sur-le-Lac,"""premier ministre""",9,Le Journal de Québec,"Cahier motoneige: Le Bas-Saint-Laurent, une grande aventure",2021-12-04,45,https://www.journaldequebec.com/2021/12/04/cahier-motoneige-le-bas-saint-laurent-une-grande-aventure,2022-01-18 13:52:04,national
Témiscouata-sur-le-Lac,"""premier ministre""",10,Le Placoteux,Paramédics : Les Ambulances Chouinard craignent de ne pas être considérées - Journal Le Placoteux,2021-06-08,224,https://leplacoteux.com/paramedics-les-ambulances-chouinard-craignent-de-ne-pas-etre-considerees/,2022-01-18 13:52:05,national
Témiscouata-sur-le-Lac,"""premier ministre""",11,CIMT-CHAU,La pression s'accentue sur Québec pour l'abolition des horaires de faction des paramédics,2021-11-30,49,https://cimtchau.ca/nouvelles/la-pression-saccentue-sur-quebec-pour-labolition-des-horaires-de-faction-des-paramedics/,2022-01-18 13:52:05,national
Témiscouata-sur-le-Lac,"""premier ministre""",12,ICI.Radio-Canada.ca,Le retour du Corégone attendu pour la saison estivale 2021,,,https://ici.radio-canada.ca/nouvelle/1762829/coregone-retour-ete-2021-traversier-lac-temiscouata-covid-19,2022-01-18 13:52:05,national
Témiscouata-sur-le-Lac,"""premier ministre""",13,Le Devoir,Élections fédérales 2021: Le pari d'Yves-François Blanchet incertain,2021-09-21,119,https://www.ledevoir.com/politique/canada/634122/le-bloc-quebecois-pres-de-gagner-son-pari,2022-01-18 13:52:06,national
Témiscouata-sur-le-Lac,"""premier ministre""",14,Info Dimanche,Internet haute vitesse : 5300 nouveaux foyers seront branchés au KRTB | infodimanche.com,2021-07-10,192,https://www.infodimanche.com/actualites/actualite/431394/internet-haute-vitesse-5300-nouveaux-foyers-seront-branches-au-krtb,2022-01-18 13:52:06,national
Témiscouata-sur-le-Lac,"""premier ministre""",15,Le Journal de Québec,Incendie à Témiscouata-sur-le-Lac: l'identité du pompier décédé est dévoilée,,,https://www.journaldequebec.com/2018/05/02/un-homme-perd-la-vie-apres-un-incendie-a-temiscouata-sur-le-lac,2022-01-18 13:52:06,national
Témiscouata-sur-le-Lac,"""premier ministre""",16,ICI.Radio-Canada.ca,La campagne électorale fédérale s'amorce dans l'Est-du-Québec,2021-08-15,156,https://ici.radio-canada.ca/nouvelle/1814147/elections-federales-candidats-bas-saint-laurent-gaspesie-cote-nord-depute,2022-01-18 13:52:06,national
Témiscouata-sur-le-Lac,"""premier ministre""",17,L'Horizon,Les élus municipaux demandent la réinscription de l'autoroute 20 au PQI,2021-12-17,32,http://www.journalhorizon.com/les-elus-municipaux-demandent-la-reinscription-de-lautoroute-20-au-pqi/,2022-01-18 13:52:07,national
Témiscouata-sur-le-Lac,"""premier ministre""",18,Info Dimanche,C'est le retour de la vaccination contre la grippe | infodimanche.com,2021-10-18,92,https://www.infodimanche.com/actualites/actualite/440417/cest-le-retour-de-la-vaccination-contre-la-grippe,2022-01-18 13:52:07,national
Témiscouata-sur-le-Lac,"""premier ministre""",19,Radio-Canada.ca,Le chef innu de Nutashkuan « fier et surpris » par l'élection municipale à Natashquan,2021-12-04,45,https://ici.radio-canada.ca/espaces-autochtones/1844755/election-innu-maire-election-municipale-natashquan-quebec-2021,2022-01-18 13:52:08,national
Témiscouata-sur-le-Lac,"""premier ministre""",20,ICI.Radio-Canada.ca,Levée des mesures d'urgence dans la MRC de Rimouski-Neigette lundi prochain,2021-05-11,252,https://ici.radio-canada.ca/nouvelle/1792215/rouge-fonce-rimouski-neigette-mesures-urgence-levee-fin,2022-01-18 13:52:08,national
Témiscouata-sur-le-Lac,"""premier ministre""",21,Info Dimanche,Services de garde : 1087 nouvelles places subventionnées au Bas-Saint-Laurent | infodimanche.com,2021-11-01,78,https://www.infodimanche.com/actualites/actualite/441833/services-de-garde-1087-nouvelles-places-subventionnees-au-bas-saint-laurent,2022-01-18 13:52:08,national
Témiscouata-sur-le-Lac,"""premier ministre""",22,Le Soleil - Groupe Capitales Médias,Un Québécois sur trois restera en rouge [VIDÉO],2021-05-25,238,https://www.lesoleil.com/2021/05/25/un-quebecois-sur-trois-restera-en-rouge-video-ab7e5fc879771a62ba240d1db0062333,2022-01-18 13:52:08,national
Témiscouata-sur-le-Lac,"""premier ministre""",23,Mon Matane,Éphémérides du 18 juin : le premier ministre Jean Lesage annonce en 1965 que la CIP construira une cartonnerie,2021-06-18,214,https://monmatane.com/ephemerides-du-18-juin-le-premier-ministre-jean-lesage-annonce-en-1965-que-la-cip-construira-une-cartonnerie/,2022-01-18 13:52:08,national
Témiscouata-sur-le-Lac,"""premier ministre""",24,CIMT-CHAU,Maison René Lévesque: Un processus d'expropriation qui traîne en longueur,2021-07-22,180,https://cimtchau.ca/nouvelles/maison-rene-levesque-un-processus-dexpropriation-qui-traine-en-longueur/,2022-01-18 13:52:09,national
Témiscouata-sur-le-Lac,"""premier ministre""",25,ICI.Radio-Canada.ca,Le Bas-Saint-Laurent en jaune d'ouest en est dès lundi | Coronavirus,2021-06-08,224,https://ici.radio-canada.ca/nouvelle/1799855/palier-jaune-bas-saint-laurent-deconfinement-krtb-alerte-mesures,2022-01-18 13:52:09,national
Témiscouata-sur-le-Lac,climat,1,Le Placoteux,Revue de l'année 2021 : partie #4,2021-12-30,19,https://leplacoteux.com/revue-de-lannee-2021-partie-4/,2022-01-18 13:52:45,national
Témiscouata-sur-le-Lac,climat,2,CIMT-CHAU,Le CSSCC met à jour la démarche indépendante portant sur le climat organisationnel,2021-12-17,32,https://cimtchau.ca/nouvelles/le-csscc-met-a-jour-la-demarche-independante-portant-sur-le-climat-organisationnel/,2022-01-18 13:52:45,national
