Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Vaudreuil-Dorion,élection OR campagne,1,VIVA média,Rétrospective 2021 : les maires Yvon Chiasson et Andrée Brosseau réélus dans Vaudreuil-Soulanges | VIVA MÉDIA,2022-01-16,2,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/municipale-vs/retrospective-2021-les-maires-yvon-chiasson-et-andree-brosseau-reelus-dans-vaudreuil-soulanges/,2022-01-18 13:31:25,mixte
Vaudreuil-Dorion,élection OR campagne,2,Journal Métro,Rétrospective de l'année 2021 à Vaudreuil-Soulanges,2021-12-24,25,https://journalmetro.com/local/vaudreuil-soulanges/2750571/retrospective-de-lannee-2021-a-vaudreuil-soulanges/,2022-01-18 13:31:25,mixte
Vaudreuil-Dorion,élection OR campagne,3,Néomédia,Guy Pilon est réélu pour un cinquième mandat à la Ville de Vaudreuil-Dorion | Vaudreuil-Soulanges - Néomedia,2021-10-01,109,https://www.neomedia.com/vaudreuil-soulanges/actualites/elections/438929/guy-pilon-est-reelu-pour-un-cinquieme-mandat-a-la-ville-de-vaudreuil-dorion,2022-01-18 13:31:26,mixte
Vaudreuil-Dorion,élection OR campagne,4,VIVA média,Le Parti de l'action de Vaudreuil-Dorion présente ses candidats | VIVA MÉDIA,2021-07-27,175,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/municipale-vs/le-parti-de-laction-de-vaudreuil-dorion-presente-ses-candidats/,2022-01-18 13:31:26,mixte
Vaudreuil-Dorion,élection OR campagne,5,Néomédia,Quel est votre intérêt pour la campagne électorale jusqu'à présent? | Vaudreuil-Soulanges - Néomedia,2021-09-02,138,https://www.neomedia.com/vaudreuil-soulanges/actualites/elections/436174/quel-est-votre-interet-pour-la-campagne-electorale-jusqua-present,2022-01-18 13:31:26,mixte
Vaudreuil-Dorion,élection OR campagne,6,Néomédia,Lancement de campagne pour Guy Pilon et son équipe | Vaudreuil-Soulanges - Néomedia,2021-09-28,112,https://www.neomedia.com/vaudreuil-soulanges/actualites/elections/438237/lancement-de-campagne-pour-guy-pilon-et-son-equipe,2022-01-18 13:31:26,mixte
Vaudreuil-Dorion,élection OR campagne,7,INFOSuroit.com,Série de capsules vidéo sur les services de la STSV,2022-01-11,7,https://www.infosuroit.com/serie-de-capsules-video-sur-les-services-de-la-stsv/,2022-01-18 13:31:27,mixte
Vaudreuil-Dorion,élection OR campagne,8,VIVA média,La région de Vaudreuil-Soulanges compte 21 municipalités en élection | VIVA MÉDIA,2021-11-03,76,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/municipale-vs/la-region-de-vaudreuil-soulanges-compte-21-municipalites-en-election/,2022-01-18 13:31:27,mixte
Vaudreuil-Dorion,élection OR campagne,9,Néomédia,Le résultat pourrait être similaire à la précédente élection dans la région | Vaudreuil-Soulanges - Néomedia,2021-09-10,130,https://www.neomedia.com/vaudreuil-soulanges/actualites/elections/436840/le-resultat-pourrait-etre-similaire-a-la-precedente-election-dans-la-region,2022-01-18 13:31:27,mixte
Vaudreuil-Dorion,élection OR campagne,10,Journal Métro,Peter Schiefke réélu dans Vaudreuil-Soulanges,2021-09-21,119,https://journalmetro.com/local/2698371/peter-schiefke-reelu-dans-vaudreuil-soulanges/,2022-01-18 13:31:27,mixte
