Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Victoriaville,"""premier ministre""",1,Le Nouvelliste,COVID-19: Pas besoin de l'armée en Mauricie... pour l'instant,2021-12-21,28,https://www.lenouvelliste.ca/2021/12/21/covid-19-pas-besoin-de-larmee-en-mauricie-pour-linstant-f19572c0c25c72390a780b8c1ac646ad,2022-01-18 14:05:34,national
Victoriaville,"""premier ministre""",2,Le Nouvelliste,"Deux fois plus de cas, saturation aux soins intensifs en Mauricie-Centre-du-Québec",2021-12-22,27,https://www.lenouvelliste.ca/2021/12/22/deux-fois-plus-de-cas-saturation-aux-soins-intensifs-en-mauricie-centre-du-quebec-3e18e3062dd75418545a71dd21222448,2022-01-18 14:05:35,national
Victoriaville,"""premier ministre""",3,Le Nouvelliste,COVID-19: 177 hospitalisations en cours en Mauricie et au Centre-du-Québec,2022-01-11,7,https://www.lenouvelliste.ca/2022/01/11/covid-19-177-hospitalisations-en-cours-en-mauricie-et-au-centre-du-quebec-4fa76d6b7ce07e7deec3eea06ed05e1e,2022-01-18 14:05:35,national
Victoriaville,"""premier ministre""",4,Le Nouvelliste,Des visages et des vies derrière le délestage,2022-01-15,3,https://www.lenouvelliste.ca/2022/01/15/des-visages-et-des-vies-derriere-le-delestage-2bc2a447b376386a06a0856166e3dac0,2022-01-18 14:05:35,national
Victoriaville,"""premier ministre""",5,La Nouvelle Union,Justin Trudeau présente son nouveau Conseil des ministres,2021-10-26,84,https://www.lanouvelle.net/2021/10/26/justin-trudeau-presente-son-nouveau-conseil-des-ministres/,2022-01-18 14:05:35,national
Victoriaville,"""premier ministre""",6,Le Journal de Québec,Victoire convaincante des Remparts à Victoriaville | JDQ,2021-12-17,32,https://www.journaldequebec.com/2021/12/17/victoire-convaincante-des-remparts-a-victoriaville-1,2022-01-18 14:05:35,national
Victoriaville,"""premier ministre""",7,La Nouvelle Union,La ministre McCann de passage au Cégep,2021-12-08,41,https://www.lanouvelle.net/2021/12/08/la-ministre-mccann-de-passage-au-cegep/,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",8,La Nouvelle Union,Déversements d'eaux usées : Victoriaville affiche une amélioration significative,2021-10-27,83,https://www.lanouvelle.net/2021/10/27/deversements-deaux-usees-victoriaville-affiche-une-amelioration-significative/,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",9,La Nouvelle Union,Le premier ministre Legault dévoile le plan national économique du Québec,2021-11-12,67,https://www.lanouvelle.net/2021/11/12/le-premier-ministre-legault-devoile-le-plan-national-economique-du-quebec/,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",10,La Nouvelle Union,Communautés autochtones : Victoriaville affiche sa solidarité,2021-06-30,202,https://www.lanouvelle.net/2021/06/30/communautes-autochtones-victoriaville-affiche-sa-solidarite/,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",11,Le Journal de Québec,"Victoriaville: la polyvalente et le cégep confinés, un suspect arrêté",2021-09-02,138,https://www.journaldequebec.com/2021/09/02/victoriaville-une-operation-policiere-force-le-confinement-de-la-polyvalente-et-du-cegep,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",12,La Presse,Trudeau estime avoir reçu un « mandat clair » des Canadiens,2021-09-20,120,https://www.lapresse.ca/elections-federales/2021-09-20/trudeau-estime-avoir-recu-un-mandat-clair-des-canadiens.php,2022-01-18 14:05:36,national
Victoriaville,"""premier ministre""",13,La Nouvelle Union,Gilbert Perreault honoré par Archives Bois-Francs,2021-11-05,74,https://www.lanouvelle.net/2021/11/05/gilbert-perreault-honore-par-archives-bois-francs/,2022-01-18 14:05:37,national
Victoriaville,"""premier ministre""",14,La Presse,Place aux lecteurs | Votre bilan de la dernière session parlementaire,2021-12-11,38,https://www.lapresse.ca/debats/courrier-des-lecteurs/2021-12-11/place-aux-lecteurs/votre-bilan-de-la-derniere-session-parlementaire.php,2022-01-18 14:05:37,national
Victoriaville,"""premier ministre""",15,Le Quotidien,Antoine Tardif et la parfaite transition entre le sport et la politique,2021-12-07,42,https://www.lequotidien.com/2021/12/07/antoine-tardif-et-la-parfaite-transition-entre-le-sport-et-la-politique-34d617c4c155987c13a7ffcee8b47a7e,2022-01-18 14:05:37,national
