Type_media,hors Québec,hors Québec,hors Québec,local/regional,local/regional,local/regional,national,national,national,non media,non media,non media
type mot-clés,local,mixte,national,local,mixte,national,local,mixte,national,local,mixte,national
domaine,,,,,,,,,,,,
2424.mg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45enord.ca,0.0,0.0,0.0,0.0,0.0,0.0,7.25,4.0,14.222222222222221,0.0,0.0,0.0
45secondes.fr,2.0,12.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5minutes.rtl.lu,38.75,35.8,114.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7joursinfo.com,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7seizh.info,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.citoyens.com,45.2,14.0,73.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.telif.tv,262.6666666666667,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985fm.ca,0.0,0.0,0.0,0.0,0.0,0.0,77.17142857142858,74.70161290322581,126.61538461538461,0.0,0.0,0.0
abonne.lardennais.fr,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abonne.lunion.fr,2.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abp.bzh,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac-franchise.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acadienouvelle.com,42.07692307692308,3.0,75.16129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action-nationale.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,143.4,0.0,241.25,0.0,0.0,0.0
actu.fr,49.05425631431244,25.952662721893493,80.26063829787235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actu.orange.fr,0.0,1.0,53.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actu.orange.mg,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actu17.fr,3.75,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actualite.cd,12.333333333333334,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actualite.lachainemeteo.com,8.08695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actualitte.com,22.0,82.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actucameroun.com,11.1,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actusmedias.com,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
aeroemploi.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,1.0,20.0
africa.la-croix.com,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
africafootunited.com,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
africanmanager.com,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afriksoir.net,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afrimag.net,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afrique.latribune.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afrique.le360.ma,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afrique.tv5monde.com,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afriquequigagne.ca,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agefi.com,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agencedepressepanafricaine.com,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture.gouv.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,0.0,14.0
alencontre.org,13.666666666666666,14.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpesdusud.alpes1.com,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ameqenligne.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1698717948718,15.333333333333334,61.0
amomama.fr,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.elle.fr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.france24.com,2.0,4.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.lepoint.fr,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.melty.fr,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.ouest-france.fr,105.14285714285714,7.333333333333333,131.8695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.parismatch.com,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amp.rfi.fr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
androidfun.fr,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annonces-legales.leparisien.fr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aps.sn,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrondissement.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,13.8
asialyst.com,1.0,1.0,15.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
athleduweb.be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8125
atlantico.fr,27.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atpe-tchad.info,1.0,0.0,3.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automedia.ca,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.25,17.8,0.0,0.0,0.0
autosphere.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
avis-vin.lefigaro.fr,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azertag.az,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ballecourbe.ca,0.0,0.0,0.0,0.0,0.0,0.0,129.33333333333334,15.0,129.91666666666666,0.0,0.0,0.0
baronmag.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,31.26086956521739,11.773584905660377
basket-infos.com,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beaucemedia.ca,0.0,0.0,0.0,111.48216833095577,105.50709219858156,106.08620689655173,0.0,0.0,0.0,0.0,0.0,0.0
beninwebtv.com,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta-news.abidjan.net,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bieresetplaisirs.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,125.3,0.0,0.0,0.0
billetterie.ol.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
billie.ca,0.0,0.0,0.0,0.0,0.0,0.0,153.83333333333334,0.0,0.0,0.0,0.0,0.0
blog.bmykey.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blog.lefigaro.fr,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blogs.futura-sciences.com,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blogs.mediapart.fr,8.142857142857142,9.909090909090908,31.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonjourresidences.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
bordeaux.aujourdhui.fr,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bretagne-tele.fr,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bx1.be,1.3333333333333333,26.0,76.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caen.maville.com,121.66666666666667,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camping-car.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
canadafrancais.com,0.0,0.0,0.0,97.75595238095238,122.68152866242038,127.64137931034483,0.0,0.0,0.0,0.0,0.0,0.0
carabins.umontreal.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catch-newz.com,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdeacf.ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.333333333333336,27.5,154.66666666666666
cdurable.info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
centrenationaldulivre.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0
